	id	premises	h	label
20	271	Smith was present. ## Jones was present. ## Smith was present after Jones was present.	Jones was present before Smith was present.	unknown
21	272	Smith was present. ## Jones was present. ## Smith was present before Jones was present.	Jones was present after Smith was present.	unknown
22	273	Smith was writing a report. ## Jones was writing a report. ## Smith was writing a report before Jones was writing a report.	Jones was writing a report after Smith was writing a report.	unknown
23	274	Smith was writing a report. ## Jones was writing a report. ## Smith was writing a report after Jones was writing a report.	Jones was writing a report before Smith was writing a report.	unknown
24	275	Smith left the meeting before he lost his temper.	Smith lost his temper.	unknown
25	276	When they opened the M25, traffic increased.		undef
26	277	Smith lived in Birmingham in 1991.	Smith lived in Birmingham in 1992.	unknown
27	278	Smith wrote his first novel in 1991.	Smith wrote his first novel in 1992.	no
28	279	Smith wrote a novel in 1991.	Smith wrote it in 1992.	no
29	280	Smith wrote a novel in 1991.	Smith wrote a novel in 1992.	unknown
30	281	Smith was running a business in 1991.	Smith was running it in 1992.	unknown
31	282	Smith discovered a new species in 1991.	Smith discovered it in 1992.	no
32	283	Smith discovered a new species in 1991.	Smith discovered a new species in 1992.	unknown
33	284	Smith wrote a report in two hours. ## Smith started writing the report at 8 am.	Smith had finished writing the report by 11 am.	yes
34	285	Smith wrote a report in two hours.	Smith spent two hours writing the report.	unknown
35	286	Smith wrote a report in two hours.	Smith spent more than two hours writing the report.	no
36	287	Smith wrote a report in two hours.	Smith wrote a report in one hour.	unknown
37	288	Smith wrote a report in two hours.	Smith wrote a report.	yes
38	289	Smith discovered a new species in two hours.	Smith spent two hours discovering the new species.	no
39	290	Smith discovered a new species in two hours.	Smith discovered a new species.	yes
40	291	Smith discovered many new species in two hours.	Smith spent two hours discovering new species.	yes
41	292	Smith was running his own business in two years.	Smith spent two years running his own business.	unknown
42	293	Smith was running his own business in two years.	Smith spent more than two years running his own business.	unknown
43	294	Smith was running his own business in two years.	Smith ran his own business.	yes
44	295	In two years Smith owned a chain of businesses.	Smith owned a chain of business for two years.	unknown
45	296	In two years Smith owned a chain of businesses.	Smith owned a chain of business for more than two years.	unknown
46	297	In two years Smith owned a chain of businesses.	Smith owned a chain of business.	yes
47	298	Smith lived in Birmingham for two years.	Smith lived in Birmingham for a year.	yes
48	299	Smith lived in Birmingham for two years.	Smith lived in Birmingham for exactly a year.	no
49	300	Smith lived in Birmingham for two years.	Smith lived in Birmingham.	yes
50	301	Smith ran his own business for two years.	Smith ran his own business for a year.	yes
51	302	Smith ran his own business for two years.	Smith ran his own business.	yes
52	303	Smith wrote a report for two hours.	Smith wrote a report for an hour.	yes
53	304	Smith wrote a report for two hours.	Smith wrote a report.	unknown
54	305	Smith discovered a new species for an hour.		undef
55	306	Smith discovered new species for two years.	Smith discovered new species.	yes
56	307	In 1994 ITEL sent a progress report every month.	ITEL sent a progress report in July 1994.	yes
57	308	Smith wrote to a representative every week.	There is a representative that Smith wrote to every week.	undef
58	309	Smith left the house at a quarter past five. ## She took a taxi to the station and caught the first train to Luxembourg.		undef
59	310	Smith lost some files. ## They were destroyed when her hard disk crashed.		undef
60	311	Smith had left the house at a quarter past five. ## Then she took a taxi to the station.	Smith left the house before she took a taxi to the station.	yes
61	312	ITEL always delivers reports late. ## In 1993 ITEL delivered reports.	ITEL delivered reports late in 1993.	yes
62	313	ITEL never delivers reports late. ## In 1993 ITEL delivered reports.	ITEL delivered reports late in 1993.	no
63	314	Smith arrived in Paris on the 5th of May, 1995. ## Today is the 15th of May, 1995. ## She is still in Paris.	Smith was in Paris on the 7th of May, 1995.	yes
64	315	When Smith arrived in Katmandu she had been travelling for three days.	Smith had been travelling the day before she arrived in Katmandu.	yes
65	316	Jones graduated in March and has been employed ever since. ## Jones has been unemployed in the past.	Jones was unemployed at some time before he graduated.	yes
66	317	Every representative has read this report. ## No two representatives have read it at the same time. ## No representative took less than half a day to read the report. ## There are sixteen representatives.	It took the representatives more than a week to read the report.	yes
67	318	While Jones was updating the program, Mary came in and told him about the board meeting. ## She finished before he did.	Mary's story lasted as long as Jones's updating the program.	no
68	319	Before APCOM bought its present office building, it had been paying mortgage interest on the previous one for 8 years. ## Since APCOM bought its present office building it has been paying mortgage interest on it for more than 10 years.	APCOM has been paying mortgage interest for a total of 15 years or more.	yes
69	320	When Jones got his job at the CIA, he knew that he would never be allowed to write his memoirs.	It is the case that Jones is not and will never be allowed to write his memoirs.	yes
70	321	Smith has been to Florence twice in the past. ## Smith will go to Florence twice in the coming year.	Two years from now Smith will have been to Florence at least four times.	yes
71	322	Last week I already knew that when, in a month's time, Smith would discover that she had been duped she would be furious.	It will be the case that in a few weeks Smith will discover that she has been duped; and she will be furious.	yes
72	323	No one gambling seriously stops until he is broke. ## No one can gamble when he is broke.	Everyone who starts gambling seriously stops the moment he is broke.	yes
73	324	No one who starts gambling seriously stops until he is broke.	Everyone who starts gambling seriously continues until he is broke.	yes
74	325	Nobody who is asleep ever knows that he is asleep. ## But some people know that they have been asleep after they have been asleep.	Some people discover that they have been asleep.	yes
