	nl_ps	fol_ps	nl_h	fol_h	label	exception
20	All APCOM managers have company cars. ## Jones is an APCOM manager.	all x. (APCOMManager(x) -> HasCompanyCar(x)) ## all x. (APCOMManager(x) ↔ (Person(x) & Manager(x) & WorksForAPCOM(x)))	Jones has a company car.	HasCompanyCar(jones)	e	"Unexpected token: '↔'.  Expected token ')'.
all x. (APCOMManager(x) ↔ (Person(x) & Manager(x) & WorksForAPCOM(x)))
                        ^"
21	All APCOM managers have company cars. ## Jones is an APCOM manager.	all x. (APCOMManager(x) -> HasCompanyCar(x)) ## all x. (APCOMManager(x) ↔ (Person(x) & Manager(x) & WorksForAPCOM(x)))	Jones has more than one company car.	exists z500. exists x. ((Company(x, z500) & Car(z500)) & Owns(x, Jones))	n	"Unexpected token: '↔'.  Expected token ')'.
all x. (APCOMManager(x) ↔ (Person(x) & Manager(x) & WorksForAPCOM(x)))
                        ^"
22	Smith signed one contract. ## Jones signed another contract.	exists x. (Contract(x) & SignedBy(x, Smith)) ## exists x. (Contract(x) & SignedBy(x, Jones))	Smith and Jones signed two contracts.	exists x. exists y. (Smith(x) & Jones(y) & Contract(z) & Signed(x, z) & Signed(y, z))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Jones/1, Jones/0, Smith/1, Smith/0.


Fatal error:  The following symbols are used with multiple arities: Jones/1, Jones/0, Smith/1, Smith/0"
23	Smith signed two contracts. ## Jones also signed them.	exists x. exists y. (Smith(x) & Contract(y) & Signed(x, y)) ## all x. (Signed(x) -> (Jones(x) | Smith(x)))	Smith and Jones signed two contracts.	exists x. exists y. (Smith(x) & Jones(y) & Contract(z) & Signed(x, z) & Signed(y, z))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Signed/1, Signed/2.


Fatal error:  The following symbols are used with multiple arities: Signed/1, Signed/2"
24	Smith attended a meeting. ## She chaired it.	exists z500. (Attended(smith, z500) & Meeting(z500)) ## Chaired(she, it)	Smith chaired a meeting.	exists z500. (Chaired(smith, z500) & Meeting(z500))	e	"'she' is an illegal variable name.  Constants may not be quantified.
all she. all it. (Chaired(she, it) -> Chaired(she, it))
    ^"
25	Smith delivered a report to ITEL. ## She also delivered them an invoice. ## And she delivered them a project proposal.	DeliveredReport(smith, itel) ## all x.all y. (Woman(x) & Delivered(x, y) & Invoice(y) -> DeliveredInvoice(x, y)) ## all x.all y. (Woman(x) & Project(y) & DeliveredProposal(x, y) -> ProjectManager(x, y))	Smith delivered a report, an invoice and a project proposal to ITEL.	exists z500. all x.all y.all z. (Smith(x) & Report(y) & Invoice(z) & (Project(y, z500) & Proposal(z500)) -> DeliveredTo(x, y, z, ITEL))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Project/1, Project/2.


Fatal error:  The following symbols are used with multiple arities: Project/1, Project/2"
26	Every committee has a chairman. ## He is appointed its members.	all x. (Committee(x) -> exists y. (Chairman(y) & ChairmanOf(y, x))) ## all x.all y. (Appoints(x, y) ↔ (Member(y) & AppointedBy(y, x)))	Every committee has a chairman appointed by members of the committee.	all x. (Committee(x) -> exists y. (Chairman(y) & AppointedByMembers(y, x)))	e	"Unexpected token: '↔'.  Expected token ')'.
all x.all y. (Appoints(x, y) ↔ (Member(y) & AppointedBy(y, x)))
                             ^"
27	ITEL has sent most of the reports Smith needs. ## They are on her desk.	all x.all y. (ITEL(x) & Smith(y) -> SentReports(x, y)) ## exists x. (Desk(x) & On(x, her))	There are some reports from ITEL on Smith's desk.	exists x. (Report(x) & From(x, ITEL) & On(x, Smith))	e	"'her' is an illegal variable name.  Constants may not be quantified.
all x. all her. (On(x, her) -> On(x, her))
           ^"
28	Two out of ten machines are missing. ## They have been removed.	exists x. (Machine(x) & Missing(x)) & exists y. (Machine(y) & Missing(y)) & exists z. (Machine(z) & Missing(z)) & exists w. (Machine(w) & Missing(w)) & exists v. (Machine(v) & Missing(v)) & exists u. (Machine(u) & Missing(u)) & exists t. (Machine(t) & ## all x. (Removed(x))	Two machines have been removed.	exists x. exists y. (Machine(x) & Machine(y) & Removed(x) & Removed(y))	e	"End of input found.  Expression expected.
exists x. (Machine(x) & Missing(x)) & exists y. (Machine(y) & Missing(y)) & exists z. (Machine(z) & Missing(z)) & exists w. (Machine(w) & Missing(w)) & exists v. (Machine(v) & Missing(v)) & exists u. (Machine(u) & Missing(u)) & exists t. (Machine(t) &
                                                                                                                                                                                                                                                           ^"
29	Two out of ten machines are missing. ## They have been removed.	exists x. (Machine(x) & Missing(x)) & exists y. (Machine(y) & Missing(y)) & exists z. (Machine(z) & Missing(z)) & exists w. (Machine(w) & Missing(w)) & exists v. (Machine(v) & Missing(v)) & exists u. (Machine(u) & Missing(u)) & exists t. (Machine(t) & ## all x. (Removed(x))	Eight machines have been removed.	exists x. (Machine(x) & Removed(x)) & exists y. (Machine(y) & Removed(y)) & exists z. (Machine(z) & Removed(z)) & exists w. (Machine(w) & Removed(w)) & exists v. (Machine(v) & Removed(v)) & exists u. (Machine(u) & Removed(u)) & exists t. (Machine(t) &	n	"End of input found.  Expression expected.
exists x. (Machine(x) & Removed(x)) & exists y. (Machine(y) & Removed(y)) & exists z. (Machine(z) & Removed(z)) & exists w. (Machine(w) & Removed(w)) & exists v. (Machine(v) & Removed(v)) & exists u. (Machine(u) & Removed(u)) & exists t. (Machine(t) &
                                                                                                                                                                                                                                                           ^"
30	Two out of ten machines are missing. ## They were all here yesterday.	exists x. (Machine(x) & Missing(x)) & exists y. (Machine(y) & Missing(y)) & exists z. (Machine(z) & Missing(z)) & exists w. (Machine(w) & Missing(w)) & exists v. (Machine(v) & Missing(v)) & exists u. (Machine(u) & Missing(u)) & exists t. (Machine(t) & ## all x. (Person(x) -> exists y. (Yesterday(y) & Here(x, y)))	Ten machines were here yesterday.	exists x. (Machine(x) & Here(x, yest) & Machine(x) & Yesterday(yest))	e	"End of input found.  Expression expected.
exists x. (Machine(x) & Missing(x)) & exists y. (Machine(y) & Missing(y)) & exists z. (Machine(z) & Missing(z)) & exists w. (Machine(w) & Missing(w)) & exists v. (Machine(v) & Missing(v)) & exists u. (Machine(u) & Missing(u)) & exists t. (Machine(t) &
                                                                                                                                                                                                                                                           ^"
31	John and his colleagues went to a meeting. ## They hated it.	all x.all y. (John(x) & Colleague(y) -> WentToMeeting(x, y)) ## all x. (Hated(x) ↔ (They(x) & Hated(x)))	John's colleagues hated the meeting.	all x. (Colleague(x) & Meeting(m) & Attended(x, m) -> Hated(x, m))	e	"Unexpected token: '↔'.  Expected token ')'.
all x. (Hated(x) ↔ (They(x) & Hated(x)))
                 ^"
32	John and his colleagues went to a meeting. ## They hated it.	all x.all y. (John(x) & Colleague(y) -> WentToMeeting(x, y)) ## all x. (Hated(x) ↔ (They(x) & Hated(x)))	John hated the meeting.	Hated(john, meeting)	e	"Unexpected token: '↔'.  Expected token ')'.
all x. (Hated(x) ↔ (They(x) & Hated(x)))
                 ^"
33	John and his colleagues went to a meeting. ## They hated it.	all x.all y. (John(x) & Colleague(y) -> WentToMeeting(x, y)) ## all x. (Hated(x) ↔ (They(x) & Hated(x)))	John hated the meeting.	Hated(john, meeting)	n	"Unexpected token: '↔'.  Expected token ')'.
all x. (Hated(x) ↔ (They(x) & Hated(x)))
                 ^"
34	Each department has a dedicated line. ## They rent them from BT.	all x. (Department(x) -> HasDedicatedLine(x)) ## all x.all y. (RentFrom(x, y) ↔ (Rent(x, y) & From(y, BT)))	Every department rents a line from BT.	all x. (Department(x) -> RentsLineFromBT(x))	e	"Unexpected token: '↔'.  Expected token ')'.
all x.all y. (RentFrom(x, y) ↔ (Rent(x, y) & From(y, BT)))
                             ^"
35	There are 100 companies. ## ICM is one of the companies and owns 150 computers. ## It does not have service contracts for any of its computers. ## Each of the other 99 companies owns one computer. ## They have service contracts for them.	exists x. (Company(x) & NumberOfCompanies(x, 100)) ## all x. (ICM(x) -> (Company(x) & OwnsComputers(x, 150))) ## all x. (Computer(x) -> not HasServiceContracts(x)) ## all x. (OtherCompany(x) & ≠ 100 & ≠ 0 & ≠ 1 -> OwnsOneComputer(x)) ## exists z500. all x. ((Service(x, z500) & Contract(z500)) -> Have(x))	Most companies that own a computer have a service contract for it.	exists z500. all x. (Company(x) & (Owns(x, z500) & Computer(z500)) -> HasServiceContract(x))	e	"Unexpected token: '100'.  Expected token ')'.
all x. (OtherCompany(x) & ≠ 100 & ≠ 0 & ≠ 1 -> OwnsOneComputer(x))
                            ^"
36	Every report has a cover page. ## R-95-103 is a report. ## Smith signed the cover page.	all x. (Report(x) -> HasCoverPage(x)) ## all x. (Report(x) ↔ R_95_103(x)) ## SignedCoverPage(Smith)	Smith signed the cover page of R-95-103.	SignedCoverPage(smith, r95103)	e	"Unexpected token: '↔'.  Expected token ')'.
all x. (Report(x) ↔ R_95_103(x))
                  ^"
37	John said Bill had hurt himself.	Said(john, Bill, hurt)	John said Bill had been hurt.	Said(john, bill, hurt)	e	"'john' is an illegal variable name.  Constants may not be quantified.
all john. all Bill. all hurt. (Said(john, Bill, hurt) -> Said(john, Bill, hurt))
    ^"
38	John said Bill had hurt himself.	Said(john, Bill, hurt)	Someone said John had been hurt.	exists x. (Person(x) & Said(x, John) & Hurt(x, John))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Said/3, Said/2.


Fatal error:  The following symbols are used with multiple arities: Said/3, Said/2"
39	John went to Paris by car, and Bill by train.	all x. all y. (John(x) & Paris(y) -> WentByCar(x, y)) & (Bill(x) & Train(y) -> WentByTrain(x, y))	Bill went to Paris by train.	WentToParisByTrain(Bill)	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Bill/1, Bill/0.


Fatal error:  The following symbols are used with multiple arities: Bill/1, Bill/0"
40	John went to Paris by car, and Bill by train to Berlin.	all x.all y. (John(x) & Bill(y) -> (WentToParisByCar(x) & WentToBerlinByTrain(y)))	Bill went to Berlin by train.	WentTo(Bill, Berlin, Train)	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Bill/1, Bill/0.


Fatal error:  The following symbols are used with multiple arities: Bill/1, Bill/0"
41	John went to Paris by car, and Bill to Berlin.	all x. all y. (John(x) & Paris(y) -> WentByCar(x, y)) & (Bill(x) & Berlin(y) -> WentByCar(x, y))	Bill went to Berlin by car.	WentTo(Bill, Berlin, Car)	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Berlin/1, Berlin/0, Bill/1, Bill/0.


Fatal error:  The following symbols are used with multiple arities: Berlin/1, Berlin/0, Bill/1, Bill/0"
42	John went to Paris by car. ## Bill by train.	WentToParisByCar(john) ## all x. (Train(x) -> Bill(x))	Bill went to Paris by train.	WentToParisByTrain(Bill)	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Bill/1, Bill/0.


Fatal error:  The following symbols are used with multiple arities: Bill/1, Bill/0"
43	John owns a car. ## Bill owns one too.	exists z500. (Owns(john, z500) & Car(z500)) ## exists x. (Person(x) & Owns(x, 1))	Bill owns a car.	exists z500. (Owns(bill, z500) & Car(z500))	e	"'john' is an illegal variable name.  Constants may not be quantified.
all john. all z500. (Owns(john, z500) -> Owns(john, z500))
    ^"
44	John owns a red car. ## Bill owns a blue one.	Owns(john, redCar) ## exists x. (Person(x) & Owns(x, BlueOne))	Bill owns a blue car.	Owns(Bill, BlueCar)	e	"'john' is an illegal variable name.  Constants may not be quantified.
all john. all redCar. (Owns(john, redCar) -> Owns(john, redCar))
    ^"
45	John owns a red car. ## Bill owns a blue one.	Owns(john, redCar) ## exists x. (Person(x) & Owns(x, BlueOne))	Bill owns a red car.	Owns(Bill, RedCar)	n	"'john' is an illegal variable name.  Constants may not be quantified.
all john. all redCar. (Owns(john, redCar) -> Owns(john, redCar))
    ^"
46	John owns a red car. ## Bill owns a fast one.	Owns(john, redCar) ## exists z500. exists x. ((Fast(x, z500) & One(z500)) & Owns(Bill, x))	Bill owns a fast car.	exists x. (Car(x) & Fast(x) & Owns(bill, x))	e	"'john' is an illegal variable name.  Constants may not be quantified.
all john. all redCar. (Owns(john, redCar) -> Owns(john, redCar))
    ^"
47	John owns a red car. ## Bill owns a fast one.	Owns(john, redCar) ## exists z500. exists x. ((Fast(x, z500) & One(z500)) & Owns(Bill, x))	Bill owns a fast red car.	exists x. (Car(x) & Owns(bill, x) & Fast(x) & Red(x))	e	"'john' is an illegal variable name.  Constants may not be quantified.
all john. all redCar. (Owns(john, redCar) -> Owns(john, redCar))
    ^"
48	John owns a red car. ## Bill owns a fast one.	Owns(john, redCar) ## exists z500. exists x. ((Fast(x, z500) & One(z500)) & Owns(Bill, x))	Bill owns a fast red car.	exists x. (Car(x) & Owns(bill, x) & Fast(x) & Red(x))	n	"'john' is an illegal variable name.  Constants may not be quantified.
all john. all redCar. (Owns(john, redCar) -> Owns(john, redCar))
    ^"
49	John owns a fast red car. ## Bill owns a slow one.	Owns(john, fastRedCar) ## exists z500. exists x. (Person(x) & (Slow(x, z500) & One(z500)))	Bill owns a slow red car.	exists x. (Car(x) & Owns(bill, x) & Slow(x) & Red(x))	e	"'john' is an illegal variable name.  Constants may not be quantified.
all john. all fastRedCar. (Owns(john, fastRedCar) -> Owns(john, fastRedCar))
    ^"
50	Five men work part time. ## And forty five women.	exists x. exists y. exists z. exists w. exists v. (Man(x) & Man(y) & Man(z) & Man(w) & Man(v) & WorkPartTime(x) & WorkPartTime(y) & WorkPartTime(z) & WorkPartTime(w) & WorkPartTime(v)) ## all x. (Woman(x) & Age(x, 45))	Forty five women work part time.	exists x. (WorkPartTime(x) & Woman(x) & Age(x, 45))	e	"'45' is an illegal variable name.  Constants may not be quantified.
all x. all 45. (Age(x, 45) -> Age(x, 45))
           ^"
51	John found Mary before Bill.	Found(John, Mary) & Found(Bill, Mary) & not Found(John, Bill) & not Found(Bill, John)	John found Mary before Bill found Mary.	all x. all y. all z. (Person(x) & Person(y) & Person(z) & Found(x, z) & Found(y, z) -> FoundBefore(x, y))	e	"'John' is an illegal variable name.  Constants may not be quantified.
all John. all Mary. (Found(John, Mary) -> Found(John, Mary))
    ^"
52	John found Mary before Bill.	Found(John, Mary) & Found(Bill, Mary) & not Found(John, Bill) & not Found(Bill, John)	John found Mary before John found Bill.	all x. all y. all z. (Person(x) & Person(y) & Person(z) & Found(x, y) & Found(x, z) -> FoundBefore(y, z))	e	"'John' is an illegal variable name.  Constants may not be quantified.
all John. all Mary. (Found(John, Mary) -> Found(John, Mary))
    ^"
53	John said Mary wrote a report, and Bill did too.	all x. all y. all z. (John(x) & Mary(y) & Bill(z) -> (Said(x, y) & Said(x, z)))	Bill said Mary wrote a report.	Said(Bill, Mary, WroteReport)	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Said/2, Said/3, Mary/1, Mary/0, Bill/1, Bill/0.


Fatal error:  The following symbols are used with multiple arities: Said/2, Said/3, Mary/1, Mary/0, Bill/1, Bill/0"
54	John said Mary wrote a report, and Bill did too.	all x. all y. all z. (John(x) & Mary(y) & Bill(z) -> (Said(x, y) & Said(x, z)))	John said Bill wrote a report.	Said(john, bill, wroteReport)	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Said/2, Said/3.


Fatal error:  The following symbols are used with multiple arities: Said/2, Said/3"
55	John said that Mary wrote a report, and that Bill did too.	all x. all y. all z. (John(x) & Mary(y) & Bill(z) -> (Said(x, y, Report) & Said(x, z, Report)))	Bill said Mary wrote a report.	Said(Bill, Mary, WroteReport)	n	"'Report' is an illegal variable name.  Constants may not be quantified.
all x. all y. all Report. (Said(x, y, Report) -> Said(x, y, Report))
                  ^"
56	John wrote a report, and Bill said Peter did too.	all x. all y. all z. (John(x) & Report(y) & Bill(z) -> (Wrote(x, y) & Said(z, Peter, DidToo)))	Bill said Peter wrote a report.	Said(bill, peter, wroteReport)	e	"'Peter' is an illegal variable name.  Constants may not be quantified.
all z. all Peter. all DidToo. (Said(z, Peter, DidToo) -> Said(z, Peter, DidToo))
           ^"
57	If John wrote a report, then Bill did too. ## John wrote a report.	exists z500. all x.all y. ((Wrote(x, z500) & Report(z500)) & WroteReport(y) & Person(x) & Person(y) -> DidReport(x, y)) ## exists x. (Report(x) & Wrote(John, x))	Bill wrote a report.	exists x. (Report(x) & Wrote(bill, x))	e	"'John' is an illegal variable name.  Constants may not be quantified.
all John. all x. (Wrote(John, x) -> Wrote(John, x))
    ^"
58	John wanted to buy a car, and he did.	exists z500. WantedToBuyCar(john) & (Bought(john, z500) & Car(z500))	John bought a car.	exists x. (Car(x) & BoughtBy(x, John))	e	"'john' is an illegal variable name.  Constants may not be quantified.
all john. (Car(john) -> Car(john))
    ^"
59	Smith represents his company and so does Jones.	all x.all y. (Smith(x) & Company(y) -> Represents(x, y)) & (Jones(x) & Company(y) -> Represents(x, y))	Jones represents Jones' company.	Represents(Jones, JonesCompany)	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Jones/1, Jones/0.


Fatal error:  The following symbols are used with multiple arities: Jones/1, Jones/0"
60	Smith represents his company and so does Jones.	all x.all y. (Smith(x) & Company(y) -> Represents(x, y)) & (Jones(x) & Company(y) -> Represents(x, y))	Jones represents Smith's company.	Represents(Jones, Smith) & Represents(Jones, Company)	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Company/1, Company/0, Smith/1, Smith/0, Jones/1, Jones/0.


Fatal error:  The following symbols are used with multiple arities: Company/1, Company/0, Smith/1, Smith/0, Jones/1, Jones/0"
61	Smith represents his company and so does Jones.	all x.all y. (Smith(x) & Company(y) -> Represents(x, y)) & (Jones(x) & Company(y) -> Represents(x, y))	Smith represents Jones' company.	Represents(Smith, Jones)	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Jones/1, Jones/0, Smith/1, Smith/0.


Fatal error:  The following symbols are used with multiple arities: Jones/1, Jones/0, Smith/1, Smith/0"
