	nl_ps	fol_ps	nl_h	fol_h	label	e_pred	c_pred
10	A man with a jersey is dunking the ball at a basketball game	exists x. (Man(x) & Wears(x) & Jersey(x) & DunkingBallAtBasketballGame(x))	The ball is being dunked by a man with a jersey at a basketball game	exists x. exists y. exists z. (Ball(x) & Man(y) & Jersey(z) & Dunking(y, x) & AtBasketballGame(y))	e	False	False
11	A man with a jersey is dunking the ball at a basketball game	exists x. (Man(x) & Wears(x) & Jersey(x) & DunkingBallAtBasketballGame(x))	A man who is playing dunks the basketball into the net and a crowd is in background	exists x.exists y. (Man(x) & Basketball(y) & PlaysDunks(x, y) & CrowdInBackground(x))	n	False	False
12	The player is dunking the basketball into the net and a crowd is in background	exists x.exists y. (Player(x) & Basketball(y) & Dunking(x, y) & CrowdInBackground(x))	A man with a jersey is dunking the ball at a basketball game	exists x. (Man(x) & Wears(x) & Jersey(x) & DunkingBallAtBasketballGame(x))	n	False	False
13	Two people are kickboxing and spectators are not watching	exists x.exists y. (Person(x) & Person(y) & Kickboxing(x) & not Spectator(y))	Two people are kickboxing and spectators are watching	exists x. exists y. (Person(x) & Person(y) & Kickboxing(x) & Kickboxing(y) & exists z. (Spectator(z) & Watching(z)))	c	False	False
14	Two young women are sparring in a kickboxing fight	exists x. exists y. (Young(x) & Woman(x) & YoungWoman(y) & Sparring(x, y) & KickboxingFight(x, y))	Two women are sparring in a kickboxing match	exists x. exists y. (Woman(x) & Woman(y) & Sparring(x, y) & KickboxingMatch(x, y))	e	False	False
15	Two young women are not sparring in a kickboxing fight	not (exists x. exists y. (Young(x) & Woman(x) & YoungWoman(y) & Sparring(x, y) & KickboxingFight(x, y)))	Two women are sparring in a kickboxing match	exists x. exists y. (Woman(x) & Woman(y) & Sparring(x, y) & KickboxingMatch(x, y))	n	False	False
16	Two people are kickboxing and spectators are watching	exists x. exists y. (Person(x) & Person(y) & Kickboxing(x) & Kickboxing(y) & exists z. (Spectator(z) & Watching(z)))	Two young women are not sparring in a kickboxing fight	not (exists x. exists y. (Young(x) & Woman(x) & YoungWoman(y) & Sparring(x, y) & KickboxingFight(x, y)))	n	False	False
17	Two women are sparring in a kickboxing match	exists x. exists y. (Woman(x) & Woman(y) & Sparring(x, y) & KickboxingMatch(x, y))	Two people are kickboxing and spectators are not watching	exists x.exists y. (Person(x) & Person(y) & Kickboxing(x) & not Spectator(y))	n	False	False
18	Three boys are jumping in the leaves	exists x. exists y. exists z. (Boy(x) & Boy(y) & Boy(z) & JumpingInLeaves(x) & JumpingInLeaves(y) & JumpingInLeaves(z))	Three kids are jumping in the leaves	exists x. exists y. exists z. (Kid(x) & Kid(y) & Kid(z) & JumpingInLeaves(x) & JumpingInLeaves(y) & JumpingInLeaves(z))	e	False	False
19	Three kids are sitting in the leaves	exists x.exists y.exists z. (Kid(x) & Kid(y) & Kid(z) & SittingInLeaves(x) & SittingInLeaves(y) & SittingInLeaves(z))	Three kids are jumping in the leaves	exists x. exists y. exists z. (Kid(x) & Kid(y) & Kid(z) & JumpingInLeaves(x) & JumpingInLeaves(y) & JumpingInLeaves(z))	n	False	False
20	Children in red shirts are playing in the leaves	exists x. (Child(x) & WearsRedShirt(x) & PlaysInLeaves(x))	Three kids are sitting in the leaves	exists x.exists y.exists z. (Kid(x) & Kid(y) & Kid(z) & SittingInLeaves(x) & SittingInLeaves(y) & SittingInLeaves(z))	n	False	False
21	Children in red shirts are playing in the leaves	exists x. (Child(x) & WearsRedShirt(x) & PlaysInLeaves(x))	Three kids are jumping in the leaves	exists x. exists y. exists z. (Kid(x) & Kid(y) & Kid(z) & JumpingInLeaves(x) & JumpingInLeaves(y) & JumpingInLeaves(z))	n	False	False
22	Two angels are making snow on the lying children	exists x. exists y. (Angel(x) & Angel(y) & MakingSnow(x, y) & Lying(z) & Child(z) & On(z))	Two children are lying in the snow and are making snow angels	exists x. exists y. (Child(x) & Child(y) & LyingInSnow(x) & LyingInSnow(y) & MakingSnowAngels(x) & MakingSnowAngels(y))	n	False	False
23	Two children are lying in the snow and are drawing angels	exists x. exists y. (Child(x) & Child(y) & LyingInSnow(x) & LyingInSnow(y) & Drawing(x) & Angels(x) & DrawingAngels(y))	Two people in snowsuits are lying in the snow and making snow angels	exists x.exists y.exists z. (Person(x) & Person(y) & Snowsuit(x) & Snowsuit(y) & Snow(z) & (LyingIn(x, z) & LyingIn(y, z) & MakingSnowAngels(x, y)))	n	False	False
24	Two people in snowsuits are lying in the snow and making snow angels	exists x.exists y.exists z. (Person(x) & Person(y) & Snowsuit(x) & Snowsuit(y) & Snow(z) & (LyingIn(x, z) & LyingIn(y, z) & MakingSnowAngels(x, y)))	Two angels are making snow on the lying children	exists x. exists y. (Angel(x) & Angel(y) & MakingSnow(x, y) & Lying(z) & Child(z) & On(z))	n	False	False
25	People wearing costumes are gathering in a forest and are looking in the same direction	exists x.exists y.exists z. (Person(x) & Costume(x) & Forest(y) & Direction(z) & Wearing(x, y) & LookingInDirection(x, z) & Gathering(x, y))	Masked people are looking in the same direction in a forest	exists x.exists y.exists z. (Masked(x) & Person(x) & Person(y) & Forest(z) & LookingInSameDirection(x, y, z))	e	False	False
26	People are looking at some costumes gathered in the vicinity of the forest	exists x.exists y.exists z. (Person(x) & Costume(y) & Forest(z) & LookingAtInVicinity(x, y, z))	People wearing costumes are gathering in a forest and are looking in the same direction	exists x.exists y.exists z. (Person(x) & Costume(x) & Forest(y) & Direction(z) & Wearing(x, y) & LookingInDirection(x, z) & Gathering(x, y))	n	False	False
27	A little girl is looking at a woman in costume	exists x. exists y. (Little(x) & Girl(x) & Woman(y) & Costume(y) & LookingAt(x, y))	People wearing costumes are scattering in a forest and are looking in different directions	exists x. (Person(x) & Wearing(x) & Costume(x) & (ScatteringInForest(x) & LookingInDifferentDirections(x)))	n	False	False
28	A little girl is looking at a woman in costume	exists x. exists y. (Little(x) & Girl(x) & Woman(y) & Costume(y) & LookingAt(x, y))	People are looking at some costumes gathered in the vicinity of the forest	exists x.exists y.exists z. (Person(x) & Costume(y) & Forest(z) & LookingAtInVicinity(x, y, z))	n	False	False
29	A young girl is looking at a woman in costume	exists x. exists y. (Young(x) & Girl(x) & Woman(y) & Costume(y) & LookingAt(x, y))	People wearing costumes are gathering in a forest and are looking in the same direction	exists x.exists y.exists z. (Person(x) & Costume(x) & Forest(y) & Direction(z) & Wearing(x, y) & LookingInDirection(x, z) & Gathering(x, y))	n	False	False
30	People wearing costumes are gathering in a forest and are looking in the same direction	exists x.exists y.exists z. (Person(x) & Costume(x) & Forest(y) & Direction(z) & Wearing(x, y) & LookingInDirection(x, z) & Gathering(x, y))	The little girl is looking at a man in costume	exists x.exists y. (Little(x) & Girl(x) & ManInCostume(y) & LookingAt(x, y))	n	False	False
31	People wearing costumes are gathering in a forest and are looking in the same direction	exists x.exists y.exists z. (Person(x) & Costume(x) & Forest(y) & Direction(z) & Wearing(x, y) & LookingInDirection(x, z) & Gathering(x, y))	A little girl in costume looks like a woman	exists x. (LittleGirlInCostume(x) & LooksLikeWoman(x))	n	False	False
32	A lone biker is jumping in the air	exists x. (Biker(x) & JumpingInAir(x))	A biker is jumping in the air, alone	exists x. (Biker(x) & JumpingInAir(x))	e	True	False
33	There is no biker jumping in the air	not exists x. (Biker(x) & JumpingInAir(x))	A lone biker is jumping in the air	exists x. (Biker(x) & JumpingInAir(x))	c	False	True
34	A man is jumping into an empty pool	exists x. exists y. (Man(x) & Pool(y) & JumpsInto(x, y) & Empty(y))	A man is jumping into a full pool	exists x. exists y. (Man(x) & Pool(y) & Full(y) & JumpsInto(x, y))	c	False	False
35	A man is jumping into an empty pool	exists x. exists y. (Man(x) & Pool(y) & JumpsInto(x, y) & Empty(y))	The man's jumper is in the empty pool	exists x.exists y. (Man(x) & Jumper(x, y) & Pool(y) & Empty(y))	n	False	False
36	A lone biker is jumping in the air	exists x. (Biker(x) & JumpingInAir(x))	A man is jumping into a full pool	exists x. exists y. (Man(x) & Pool(y) & Full(y) & JumpsInto(x, y))	n	False	False
37	The man's jumper is in the empty pool	exists x.exists y. (Man(x) & Jumper(x, y) & Pool(y) & Empty(y))	A lone biker is jumping in the air	exists x. (Biker(x) & JumpingInAir(x))	n	False	False
38	A lone biker is jumping in the air	exists x. (Biker(x) & JumpingInAir(x))	A man is jumping into an empty pool	exists x. exists y. (Man(x) & Pool(y) & JumpsInto(x, y) & Empty(y))	n	False	False
39	Four kids are doing backbends in the park	exists x. exists y. exists z. exists w. (Kid(x) & Kid(y) & Kid(z) & Kid(w) & Park(p) & Backbend(x) & Backbend(y) & Backbend(z) & Backbend(w) & In(x, y, z, w, p))	Four children are doing backbends in the park	exists x. exists y. exists z. exists w. (Child(x) & Child(y) & Child(z) & Child(w) & Park(p) & DoingBackbend(x, p) & DoingBackbend(y, p) & DoingBackbend(z, p) & DoingBackbend(w, p))	e	False	False
40	A man who is playing is running with the ball in his hands	exists x. (Man(x) & Playing(x) & RunningWithBallInHands(x))	A player is running with the ball	exists x. (Player(x) & Running(x) & With(x) & Ball(x))	e	False	False
41	Two groups of people are playing football	exists x. exists y. (Group(x) & Group(y) & Playing(x) & Football(x) & PlayingFootball(y))	A player is running with the ball	exists x. (Player(x) & Running(x) & With(x) & Ball(x))	n	False	False
42	Two teams are competing in a baseball game	exists x. exists y. (Team(x) & Team(y) & BaseballGame(x, y) & Competing(x, y))	A player is running with the ball	exists x. (Player(x) & Running(x) & With(x) & Ball(x))	n	False	False
43	A player is running with the ball	exists x. (Player(x) & Running(x) & With(x) & Ball(x))	Two teams are competing in a football match	exists x. exists y. (Team(x) & Team(y) & FootballMatch(x, y))	n	False	False
44	Five wooden stands are in front of each child's hut	exists x.exists y. (Child(x) & Hut(y) & WoodenStandInFront(x, y))	Five children are standing in front of a wooden hut	exists x. exists y. (Child(x) & Child(y) & Wooden(z) & Hut(z) & StandingInFrontOf(x, z) & StandingInFrontOf(y, z))	n	False	False
45	Five children are standing in a wooden hut	exists x. exists y. exists z. exists w. exists v. (Child(x) & Child(y) & Child(z) & Child(w) & Child(v) & Wooden(h) & Hut(h) & StandingIn(x, h) & StandingIn(y, h) & StandingIn(z, h) & StandingIn(w, h) & StandingIn(v, h))	Five kids are standing close together and one kid has a gun	exists x.exists y.exists z.exists w.exists v. (Kid(x) & Kid(y) & Kid(z) & Kid(w) & Kid(v) & StandingCloseTogether(x, y, z) & Has(v) & Gun(v))	n	False	False
46	Five wooden stands are in front of each child's hut	exists x.exists y. (Child(x) & Hut(y) & WoodenStandInFront(x, y))	Five kids are standing close together and one kid has a gun	exists x.exists y.exists z.exists w.exists v. (Kid(x) & Kid(y) & Kid(z) & Kid(w) & Kid(v) & StandingCloseTogether(x, y, z) & Has(v) & Gun(v))	n	False	False
47	An old man is sitting in a field	exists x. (Old(x) & Man(x) & SittingInField(x))	A man is sitting in a field	exists x. exists y. (Man(x) & Field(y) & SittingIn(x, y))	e	False	False
48	A man is sitting in a field	exists x. exists y. (Man(x) & Field(y) & SittingIn(x, y))	A man is running in a field	exists x. exists y. (Man(x) & Field(y) & RunningIn(x, y))	n	False	False
49	A person is wearing a hat and is sitting on the grass	exists x. (Person(x) & Wearing(x) & Hat(x) & SittingOnGrass(x))	A person is sitting in a field and is wearing a hat	exists x. (Person(x) & SittingInField(x) & Wearing(x) & Hat(x))	n	False	False
50	A person is sitting and wearing a grass hat	exists x. (Person(x) & Sitting(x) & WearingGrassHat(x))	A person is wearing a hat and is sitting on the grass	exists x. (Person(x) & Wearing(x) & Hat(x) & SittingOnGrass(x))	n	False	False
51	A person is sitting and wearing a grass hat	exists x. (Person(x) & Sitting(x) & WearingGrassHat(x))	A man is sitting in a field	exists x. exists y. (Man(x) & Field(y) & SittingIn(x, y))	n	False	False
52	A man is sitting in a field	exists x. exists y. (Man(x) & Field(y) & SittingIn(x, y))	A person is wearing a hat and is sitting on the grass	exists x. (Person(x) & Wearing(x) & Hat(x) & SittingOnGrass(x))	n	False	False
53	The current is being ridden by a group of friends in a raft	exists x.exists y.exists z. (Current(x) & GroupOfFriends(y) & Raft(z) & Riding(y, x, z))	A group of friends are riding the current in a raft	exists x.exists y.exists z. (Friend(x) & Group(x) & Raft(y) & Current(z) & Riding(x, y, z))	e	False	False
54	A group of friends are riding the current in a raft	exists x.exists y.exists z. (Friend(x) & Group(x) & Raft(y) & Current(z) & Riding(x, y, z))	A group is not riding the current in a raft	exists x. (Group(x) & not RidingCurrentInRaft(x))	c	False	False
55	The current is being ridden by a group of friends in a raft	exists x.exists y.exists z. (Current(x) & GroupOfFriends(y) & Raft(z) & Riding(y, x, z))	This group of people is practicing water safety and wearing preservers	exists x. (Group(x) & PracticesWaterSafety(x) & Wears(x) & Preservers(x))	n	False	False
56	A group of friends are riding the current in a raft	exists x.exists y.exists z. (Friend(x) & Group(x) & Raft(y) & Current(z) & Riding(x, y, z))	This group of people is practicing water safety and wearing preservers	exists x. (Group(x) & PracticesWaterSafety(x) & Wears(x) & Preservers(x))	n	False	False
57	A deer is jumping over a fence	exists x. exists y. (Deer(x) & Fence(y) & JumpsOver(x, y))	A deer isn't jumping over the fence	exists x. (Deer(x) & not JumpingOverFence(x))	c	False	False
58	People are walking inside a building that has many murals on it	exists x.exists y. (Person(x) & Building(y) & WalkingInside(x, y) & HasManyMurals(y))	People are walking outside a building that has many murals on it	exists x.exists y. (Person(x) & Building(y) & WalkingOutside(x, y) & HasManyMurals(y) & WalkingOutsideMuralBuilding(x, y))	n	False	False
59	People are walking outside a building that has many murals on it	exists x.exists y. (Person(x) & Building(y) & WalkingOutside(x, y) & HasManyMurals(y) & WalkingOutsideMuralBuilding(x, y))	Nobody is in front of the colorful building	not exists x. (Person(x) & InFrontOf(x, ColorfulBuilding))	n	False	False
60	People are walking outside the building that has several murals on it	exists x.exists y. (Person(x) & Building(y) & Outside(x, y) & Has(y) & Murals(y) & Walking(x, y))	Several people are in front of a colorful building	exists x. exists y. exists z. (Person(x) & Person(y) & Person(z) & Building(b) & Colorful(b) & InFrontOf(x, y, z, b))	e	False	False
61	A family is watching a little boy who is hitting a baseball	exists x. exists y. exists z. (Family(x) & Little(y) & Boy(y) & Baseball(z) & Watching(x, y) & Hitting(y, z))	A family is watching a little boy who is missing a baseball	exists x.exists y. (Family(x) & Little(y) & Boy(y) & Missing(y) & Baseball(y) & Watching(x, y))	n	False	False
62	A child is hitting a baseball	exists x. exists y. (Child(x) & Baseball(y) & Hitting(x, y))	A family is watching a little boy who is missing a baseball	exists x.exists y. (Family(x) & Little(y) & Boy(y) & Missing(y) & Baseball(y) & Watching(x, y))	n	False	False
63	A child is missing a baseball	exists x. (Child(x) & Missing(x) & Baseball(x))	A family is watching a little boy who is hitting a baseball	exists x. exists y. exists z. (Family(x) & Little(y) & Boy(y) & Baseball(z) & Watching(x, y) & Hitting(y, z))	n	False	False
64	A purple crowd of people is eating on various red lit restaurant tables	exists x.exists y.exists z. (Purple(x) & Crowd(x) & RedLitRestaurantTable(y) & Person(z) & EatingOn(x, y, z))	Various people are eating at red tables in a crowded restaurant with purple lights	exists x. exists y. exists z. (Person(x) & Person(y) & Person(z) & Red(x) & Table(x) & RedTable(y) & RedTable(z) & Crowded(x) & Restaurant(x) & CrowdedRestaurant(y) & CrowdedRestaurant(z) & Purple(x) & Lights(x) & PurpleLights(y) & PurpleLights(z))	n	False	False
65	A large group of Asian people is eating at a restaurant	exists x. exists y. (Asian(x) & Person(x) & Group(x) & Restaurant(y) & EatingAt(x, y))	Various customers are eating in a crowded restaurant with purple lights	exists x. exists y. (Customer(x) & Restaurant(y) & Crowded(y) & Purple(y) & Lights(y) & Eating(x, y))	n	False	False
66	A purple crowd of people is eating on various red lit restaurant tables	exists x.exists y.exists z. (Purple(x) & Crowd(x) & RedLitRestaurantTable(y) & Person(z) & EatingOn(x, y, z))	A large group of Asian people is eating at a restaurant	exists x. exists y. (Asian(x) & Person(x) & Group(x) & Restaurant(y) & EatingAt(x, y))	n	False	False
67	Various people are eating at red tables in a crowded restaurant with purple lights	exists x. exists y. exists z. (Person(x) & Person(y) & Person(z) & Red(x) & Table(x) & RedTable(y) & RedTable(z) & Crowded(x) & Restaurant(x) & CrowdedRestaurant(y) & CrowdedRestaurant(z) & Purple(x) & Lights(x) & PurpleLights(y) & PurpleLights(z))	A small group of people is waiting to eat in a restaurant	exists x.exists y. (Small(x) & Group(x) & Person(y) & WaitingToEat(y, x))	n	False	False
68	A motorcycle rider is standing up on the seat of a white motorcycle	exists x.exists y. (Motorcycle(x) & Rider(x) & Motorcycle(y) & White(y) & StandingUpOnSeat(x, y))	No motorcycle rider is standing up on the seat of a motorcycle	exists x.exists y. (Motorcycle(x) & Rider(x) & Motorcycle(y) & not StandingUpOnSeat(x, y))	c	False	False
69	Nobody is on a motorcycle and is standing on the seat	not exists x. (Motorcycle(x) & On(x)) & exists y. (StandingOnSeat(y))	Someone is on a black and white motorcycle and is standing on the seat	exists x. (Motorcycle(x) & BlackAndWhite(x) & StandingOnSeat(x))	c	False	False
70	A motorcyclist is riding a motorbike dangerously along a roadway	exists x.exists y.exists z. (Motorcyclist(x) & Motorbike(y) & Roadway(z) & RidesDangerously(x, y, z))	A motorcyclist is riding a motorbike along a roadway	exists x.exists y.exists z. (Motorcyclist(x) & Motorbike(y) & Roadway(z) & Riding(x, y, z))	e	False	False
71	A motorcyclist without a helmet is waiting on a blue motorcycle near the road	exists x.exists y.exists z. (Motorcyclist(x) & Motorcycle(y) & Road(z) & not Wears(x) & Helmet(x) & Owns(x, y) & Near(x, z) & Waiting(x, y))	A motorcyclist is riding a motorbike along a roadway	exists x.exists y.exists z. (Motorcyclist(x) & Motorbike(y) & Roadway(z) & Riding(x, y, z))	n	False	False
72	Two dogs are playing by a tree	exists x.exists y.exists z. (Dog(x) & Dog(y) & Tree(z) & PlayingBy(x, y, z))	A dog is catching a stick in the air and another is watching	exists x. exists y. (Dog(x) & Dog(y) & Catching(x) & Stick(x) & Watching(y, x))	n	False	False
73	Two dogs are playing by a tree	exists x.exists y.exists z. (Dog(x) & Dog(y) & Tree(z) & PlayingBy(x, y, z))	There is no dog leaping in the air	not exists x. (Dog(x) & LeapingInAir(x))	n	False	False
74	Two dogs are playing by a tree	exists x.exists y.exists z. (Dog(x) & Dog(y) & Tree(z) & PlayingBy(x, y, z))	A dog is leaping high in the air and another is watching	exists x. exists y. (Dog(x) & Dog(y) & Leaping(x) & High(x) & Watching(y, x))	n	False	False
75	A girl in white is dancing	exists x. (Girl(x) & Wearing(x) & White(x) & Dancing(x))	The dancer is dancing in front of the sound equipment	Dancer(dancer) & DancingInFrontOf(dancer, soundEquipment)	n	False	False
76	A girl in white is dancing	exists x. (Girl(x) & Wearing(x) & White(x) & Dancing(x))	The blond girl is dancing behind the sound equipment	exists x. (Girl(x) & Blond(x) & DancingBehind(x, SoundEquipment))	n	False	False
77	A girl is wearing white clothes and is dancing	exists x. (Girl(x) & WearingWhiteClothes(x) & Dancing(x))	The blond girl is dancing in front of the sound equipment	DancingInFrontOfSoundEquipment(blondGirl)	n	False	False
78	The blond girl is dancing in front of the sound equipment	DancingInFrontOfSoundEquipment(blondGirl)	There is no girl in white dancing	not exists x. (Girl(x) & White(x) & Dancing(x))	n	False	False
79	Three Asian kids are dancing and a man is looking	exists x. exists y. exists z. (Asian(x) & Kid(x) & AsianKid(y) & AsianKid(z) & Dancing(x) & Dancing(y) & Dancing(z) & Man(x) & Looking(x))	Three Asian kids are dancing and there is no man looking	exists x. exists y. exists z. (Asian(x) & Kid(x) & AsianKid(y) & AsianKid(z) & Dancing(x) & Dancing(y) & Dancing(z) & not exists w. (Man(w) & Looking(w)))	c	False	True
80	Three Asian kids are dancing and a man is looking	exists x. exists y. exists z. (Asian(x) & Kid(x) & AsianKid(y) & AsianKid(z) & Dancing(x) & Dancing(y) & Dancing(z) & Man(x) & Looking(x))	An Asian man is dancing and three kids are looking	exists x. exists y. exists z. (Asian(x) & Man(x) & Dancing(x) & Kid(y) & Kid(z) & LookingAt(y, x) & LookingAt(z, x))	n	False	False
81	The children of a family are playing and waiting	exists x.exists y. (Family(x) & Child(y, x) & (Plays(y) & Waits(y)))	Three Asian kids are dancing and a serious man is looking	exists x. exists y. exists z. (Asian(x) & Kid(x) & AsianKid(y) & AsianKid(z) & Dancing(x) & Dancing(y) & Dancing(z) & Serious(x) & Man(x) & Looking(x))	n	False	False
82	The children of a family are patiently playing and waiting	exists x. (Family(x) & (exists y. (Child(y) & Patiently(y) & Playing(y) & Waiting(y))))	Three Asian kids are dancing and a man is looking	exists x. exists y. exists z. (Asian(x) & Kid(x) & AsianKid(y) & AsianKid(z) & Dancing(x) & Dancing(y) & Dancing(z) & Man(x) & Looking(x))	n	False	False
83	There are no children playing and waiting	not exists x. (Child(x) & Playing(x) & Waiting(x))	Three Asian kids are dancing and a man is looking	exists x. exists y. exists z. (Asian(x) & Kid(x) & AsianKid(y) & AsianKid(z) & Dancing(x) & Dancing(y) & Dancing(z) & Man(x) & Looking(x))	n	False	False
84	A woman is wearing an Egyptian hat on her head	exists x. (Woman(x) & exists y. (Egyptian(y) & Hat(y) & WearingOnHead(x, y)))	A woman is wearing an Egyptian headdress	exists x. (Woman(x) & exists y. (Egyptian(y) & Headdress(y) & Wearing(x, y)))	e	False	False
85	A woman is wearing an Egyptian headdress	exists x. (Woman(x) & exists y. (Egyptian(y) & Headdress(y) & Wearing(x, y)))	A woman is wearing an Indian headdress	exists x. (Woman(x) & exists y. (Indian(y) & Headdress(y) & Wearing(x, y)))	n	False	False
86	The black woman is wearing glasses over the headdress	exists x. (Black(x) & Woman(x) & WearsGlassesOverHeaddress(x))	A woman is wearing an Egyptian headdress	exists x. (Woman(x) & exists y. (Egyptian(y) & Headdress(y) & Wearing(x, y)))	n	False	False
87	A woman is wearing an Egyptian hat on her head	exists x. (Woman(x) & exists y. (Egyptian(y) & Hat(y) & WearingOnHead(x, y)))	The woman is wearing glasses and a black headdress	exists x. (Woman(x) & Wearing(x) & Glasses(x) & WearingBlackHeaddress(x))	n	False	False
88	A hiker is on top of the mountain and is dancing	exists x. (Hiker(x) & OnTopOfMountain(x) & Dancing(x))	There is no hiker dancing on top of the mountain	not exists x. (Hiker(x) & DancingOnTopOfMountain(x))	c	False	False
89	There is no man on a rock high above some trees standing in a strange position	not exists x. (Man(x) & On(x) & Rock(x) & HighAboveTrees(x) & StandingInStrangePosition(x))	A man is on a rock high above some trees and is standing in a strange position	exists x. (Man(x) & On(x) & Rock(x) & HighAboveTrees(x) & StandingInStrangePosition(x))	c	False	True
90	A hiker is on top of the mountain and is dancing	exists x. (Hiker(x) & OnTopOfMountain(x) & Dancing(x))	A man is on a rock high above some trees and is standing in an uncomfortable position	exists x. (Man(x) & On(x) & Rock(x) & HighAboveTrees(x) & StandingInUncomfortablePosition(x))	n	False	False
91	A hiker is on top of the mountain and is dancing	exists x. (Hiker(x) & OnTopOfMountain(x) & Dancing(x))	There is no man on a rock high above some trees standing in a strange position	not exists x. (Man(x) & On(x) & Rock(x) & HighAboveTrees(x) & StandingInStrangePosition(x))	n	False	False
92	A man is on a rock high above some trees and is standing in a strange position	exists x. (Man(x) & On(x) & Rock(x) & HighAboveTrees(x) & StandingInStrangePosition(x))	A hiker is on top of the mountain and is doing a joyful dance	exists x. (Hiker(x) & (OnTopOfMountain(x) & Joyful(x) & Dance(x)))	n	False	False
93	There is no hiker dancing on top of the mountain	not exists x. (Hiker(x) & DancingOnTopOfMountain(x))	A man is on a rock high above some trees and is standing in a strange position	exists x. (Man(x) & On(x) & Rock(x) & HighAboveTrees(x) & StandingInStrangePosition(x))	n	False	False
94	The brown horse is very near a red barrel at the rodeo	exists x.exists y. (Brown(x) & Horse(x) & Red(y) & Barrel(y) & VeryNear(x, y))	The brown horse is near a red barrel at the rodeo	exists x. exists y. (Horse(x) & Red(y) & Barrel(y) & Near(x, y))	e	False	False
95	The brown horse is near a red barrel at the rodeo	exists x. exists y. (Horse(x) & Red(y) & Barrel(y) & Near(x, y))	The brown horse is far from a red barrel at the rodeo	exists x.exists y. (Brown(x) & Horse(x) & Red(y) & Barrel(y) & FarFrom(x, y))	c	False	False
96	A cowgirl is riding a brown horse and is cornering a barrel	exists x.exists y.exists z. (Cowgirl(x) & Horse(y) & Barrel(z) & (Riding(x, y) & Cornering(x, z)))	The brown horse is near a red barrel at the rodeo	exists x. exists y. (Horse(x) & Red(y) & Barrel(y) & Near(x, y))	n	False	False
97	A cowgirl is riding a horse and corners a barrel	exists x.exists y.exists z. (Cowgirl(x) & Horse(y) & Barrel(z) & (Riding(x, y) & Corners(x, z)))	The brown horse is near a red barrel at the rodeo	exists x. exists y. (Horse(x) & Red(y) & Barrel(y) & Near(x, y))	n	False	False
