	nl_ps	fol_ps	nl_h	fol_h	label	e_pred	c_pred
11	At most two tenors will contribute their fees to charity.	exists x.exists y. (Tenor(x) & Tenor(y) & ContributesFeesToCharity(x) & ContributesFeesToCharity(y))	There are tenors who will contribute their fees to charity.	exists x. (Tenor(x) & ContributesFeesToCharity(x))	n	True	False
12	Every European has the right to live in Europe. ## Every European is a person. ## Every person who has the right to live in Europe can travel freely within Europe.	all x. (European(x) -> RightToLiveInEurope(x)) ## all x. (European(x) -> Person(x)) ## all x. (RightToLiveInEurope(x) -> CanTravelFreelyWithinEurope(x))	Every European can travel freely within Europe.	all x. (European(x) -> CanTravelFreelyWithinEurope(x))	e	True	False
13	All Europeans have the right to live in Europe. ## Every European is a person. ## Every person who has the right to live in Europe can travel freely within Europe.	all x. (European(x) -> RightToLiveInEurope(x)) ## all x. (European(x) -> Person(x)) ## all x. (RightToLiveInEurope(x) -> CanTravelFreelyWithinEurope(x))	All Europeans can travel freely within Europe.	all x. (European(x) -> CanTravelFreelyWithinEurope(x))	e	True	False
14	Each European has the right to live in Europe. ## Every European is a person. ## Every person who has the right to live in Europe can travel freely within Europe.	all x. (European(x) -> RightToLiveInEurope(x)) ## all x. (European(x) -> Person(x)) ## all x. (RightToLiveInEurope(x) -> CanTravelFreelyWithinEurope(x))	Each European can travel freely within Europe.	all x. (European(x) -> CanTravelFreelyWithinEurope(x))	e	True	False
15	The residents of member states have the right to live in Europe. ## All residents of member states are individuals. ## Every individual who has the right to live in Europe can travel freely within Europe.	all x. (ResidentOfMemberState(x) -> RightToLiveInEurope(x)) ## all x. (ResidentOfMemberState(x) -> Individual(x)) ## all x. (RightToLiveInEurope(x) -> CanTravelFreelyWithinEurope(x))	The residents of member states can travel freely within Europe.	all x. (ResidentOfMemberState(x) -> CanTravelFreelyWithinEurope(x))	e	True	False
16	No delegate finished the report on time.	not exists x. (Delegate(x) & FinishedReportOnTime(x))	No delegate finished the report.	exists z500. not exists x. (Delegate(x) & (Finished(x, z500) & Report(z500)))	n	False	False
17	Some delegates finished the survey on time.	exists x. (Delegate(x) & FinishedSurveyOnTime(x))	Some delegates finished the survey.	exists z500. exists x. (Delegate(x) & (Finished(x, z500) & Survey(z500)))	e	False	False
18	Many delegates obtained interesting results from the survey.	all x. (Delegate(x) & ObtainedInterestingResults(x) -> Survey(x))	Many delegates obtained results from the survey.	all x. (Delegate(x) -> ObtainedResultsFromSurvey(x))	e	False	False
19	Several delegates got the results published in major national newspapers.	exists z500. exists x. exists y. exists z. (Delegate(x) & Delegate(y) & Delegate(z) & (National(n, z500) & Newspaper(z500)) & Major(m) & PublishedIn(x, n, m) & PublishedIn(y, n, m) & PublishedIn(z, n, m))	Several delegates got the results published.	exists z500. exists x. exists y. exists z. (Delegate(x) & Delegate(y) & Delegate(z) & (Published(x, z500) & Results(z500)) & PublishedResults(y) & PublishedResults(z))	e	False	False
20	Most Europeans are resident in Europe. ## All Europeans are people. ## All people who are resident in Europe can travel freely within Europe.	all x. (European(x) -> ResidentIn(x, Europe)) ## all x. (European(x) -> Person(x)) ## all x. (Person(x) & ResidentInEurope(x) -> CanTravelFreelyWithinEurope(x))	Most Europeans can travel freely within Europe.	all x. (European(x) -> CanTravelFreelyWithinEurope(x))	e	False	False
21	A few committee members are from Sweden. ## All committee members are people. ## All people who are from Sweden are from Scandinavia.	exists z500. exists z500. exists x.exists y. ((Committee(x, z500) & Member(z500)) & CommitteeMember(y) & (From(x, z500) & Sweden(z500)) & FromSweden(y)) ## exists z500. all x. ((Committee(x, z500) & Member(z500)) -> Person(x)) ## exists z500. exists z500. all x. (Person(x) & (From(x, z500) & Sweden(z500)) -> (From(x, z500) & Scandinavia(z500)))	At least a few committee members are from Scandinavia.	exists z500. exists z500. exists x. ((Committee(x, z500) & Member(z500)) & (From(x, z500) & Scandinavia(z500)))	e	False	False
22	Few committee members are from Portugal. ## All committee members are people. ## All people who are from Portugal are from southern Europe.	exists z500. exists z500. exists x. ((Committee(x, z500) & Member(z500)) & (From(x, z500) & Portugal(z500))) ## exists z500. all x. ((Committee(x, z500) & Member(z500)) -> Person(x)) ## exists z500. exists z500. all x. (Person(x) & (From(x, z500) & Portugal(z500)) -> (Southern(x, z500) & European(z500)))	There are few committee members from southern Europe.	exists z500. exists x. ((Committee(x, z500) & Member(z500)) & FromSouthernEurope(x))	n	False	False
23	Both commissioners used to be leading businessmen.	all x.all y. (Commissioner(x) & Commissioner(y) -> (UsedToBeLeadingBusinessman(x) & UsedToBeLeadingBusinessman(y)))	Both commissioners used to be businessmen.	all x.all y. (Commissioner(x) & Commissioner(y) -> (UsedToBeBusinessman(x) & UsedToBeBusinessman(y)))	e	False	False
24	At least three commissioners spend a lot of time at home.	exists x.exists y.exists z. (Commissioner(x) & Commissioner(y) & Commissioner(z) & (SpendsTimeAtHome(x) & SpendsTimeAtHome(y) & SpendsTimeAtHome(z)))	At least three commissioners spend time at home.	exists x.exists y.exists z. (Commissioner(x) & Commissioner(y) & Commissioner(z) & SpendsTimeAtHome(x) & SpendsTimeAtHome(y) & SpendsTimeAtHome(z))	e	True	False
25	Every European can travel freely within Europe. ## Every European is a person. ## Every person who has the right to live in Europe can travel freely within Europe.	all x. (European(x) -> CanTravelFreelyWithinEurope(x)) ## all x. (European(x) -> Person(x)) ## all x. (RightToLiveInEurope(x) -> CanTravelFreelyWithinEurope(x))	Every European has the right to live in Europe.	all x. (European(x) -> RightToLiveInEurope(x))	n	False	False
26	All Europeans can travel freely within Europe. ## Every European is a person. ## Every person who has the right to live in Europe can travel freely within Europe.	all x. (European(x) -> CanTravelFreelyWithinEurope(x)) ## all x. (European(x) -> Person(x)) ## all x. (RightToLiveInEurope(x) -> CanTravelFreelyWithinEurope(x))	All Europeans have the right to live in Europe.	all x. (European(x) -> RightToLiveInEurope(x))	n	False	False
27	Each European can travel freely within Europe. ## Every European is a person. ## Every person who has the right to live in Europe can travel freely within Europe.	all x. (European(x) -> CanTravelFreelyWithinEurope(x)) ## all x. (European(x) -> Person(x)) ## all x. (RightToLiveInEurope(x) -> CanTravelFreelyWithinEurope(x))	Each European has the right to live in Europe.	all x. (European(x) -> RightToLiveInEurope(x))	n	False	False
28	The residents of member states can travel freely within Europe. ## All residents of member states are individuals. ## Every individual who has the right to live anywhere in Europe can travel freely within Europe.	all x. (ResidentOfMemberState(x) -> CanTravelFreelyWithinEurope(x)) ## all x. (ResidentOfMemberState(x) -> Individual(x)) ## all x. (RightToLiveInEurope(x) -> CanTravelFreelyInEurope(x))	The residents of member states have the right to live anywhere in Europe.	all x. (ResidentOfMemberState(x) -> RightToLiveAnywhereInEurope(x))	n	False	False
29	No delegate finished the report.	exists z500. not exists x. (Delegate(x) & (Finished(x, z500) & Report(z500)))	Some delegate finished the report on time.	exists x. (Delegate(x) & FinishedReportOnTime(x))	c	False	False
30	Some delegates finished the survey.	exists z500. exists x. (Delegate(x) & (Finished(x, z500) & Survey(z500)))	Some delegates finished the survey on time.	exists x. (Delegate(x) & FinishedSurveyOnTime(x))	n	False	False
31	Many delegates obtained results from the survey.	all x. (Delegate(x) -> ObtainedResultsFromSurvey(x))	Many delegates obtained interesting results from the survey.	all x. (Delegate(x) & ObtainedInterestingResults(x) -> Survey(x))	n	False	False
32	Several delegates got the results published.	exists z500. exists x. exists y. exists z. (Delegate(x) & Delegate(y) & Delegate(z) & (Published(x, z500) & Results(z500)) & PublishedResults(y) & PublishedResults(z))	Several delegates got the results published in major national newspapers.	exists z500. exists x. exists y. exists z. (Delegate(x) & Delegate(y) & Delegate(z) & (National(n, z500) & Newspaper(z500)) & Major(m) & PublishedIn(x, n, m) & PublishedIn(y, n, m) & PublishedIn(z, n, m))	n	False	False
33	Most Europeans can travel freely within Europe. ## All Europeans are people. ## All people who are resident in Europe can travel freely within Europe.	all x. (European(x) -> CanTravelFreelyWithinEurope(x)) ## all x. (European(x) -> Person(x)) ## all x. (Person(x) & ResidentInEurope(x) -> CanTravelFreelyWithinEurope(x))	Most Europeans are resident in Europe.	all x. (European(x) -> ResidentIn(x, Europe))	n	False	False
34	A few committee members are from Scandinavia. ## All committee members are people. ## All people who are from Sweden are from Scandinavia.	exists z500. exists x.exists y.exists z. ((Committee(x, z500) & Member(z500)) & Scandinavia(y) & CommitteeMember(z) & From(x, y) & From(z, y)) ## exists z500. all x. ((Committee(x, z500) & Member(z500)) -> Person(x)) ## exists z500. exists z500. all x. (Person(x) & (From(x, z500) & Sweden(z500)) -> (From(x, z500) & Scandinavia(z500)))	At least a few committee members are from Sweden.	exists z500. exists z500. exists x. ((Committee(x, z500) & Member(z500)) & (From(x, z500) & Sweden(z500)))	n	False	False
35	Both commissioners used to be businessmen.	all x.all y. (Commissioner(x) & Commissioner(y) -> (UsedToBeBusinessman(x) & UsedToBeBusinessman(y)))	Both commissioners used to be leading businessmen.	all x.all y. (Commissioner(x) & Commissioner(y) -> (UsedToBeLeadingBusinessman(x) & UsedToBeLeadingBusinessman(y)))	n	False	False
36	Neither commissioner spends time at home.	all x. all y. (Commissioner(x) & Commissioner(y) -> not SpendsTimeAtHome(x) & not SpendsTimeAtHome(y))	One of the commissioners spends a lot of time at home.	exists x. (Commissioner(x) & SpendsTimeAtHome(x))	c	False	True
37	At least three commissioners spend time at home.	exists x.exists y.exists z. (Commissioner(x) & Commissioner(y) & Commissioner(z) & SpendsTimeAtHome(x) & SpendsTimeAtHome(y) & SpendsTimeAtHome(z))	At least three commissioners spend a lot of time at home.	exists x.exists y.exists z. (Commissioner(x) & Commissioner(y) & Commissioner(z) & (SpendsTimeAtHome(x) & SpendsTimeAtHome(y) & SpendsTimeAtHome(z)))	n	True	False
38	A Swede won a Nobel prize. ## Every Swede is a Scandinavian.	exists x. (Swede(x) & WonNobelPrize(x)) ## all x. (Swedish(x) -> Scandinavian(x))	A Scandinavian won a Nobel prize.	exists x. (Scandinavian(x) & WonNobelPrize(x))	e	False	False
39	Every Canadian resident can travel freely within Europe. ## Every Canadian resident is a resident of the North American continent.	exists z500. all x. ((Canadian(x, z500) & Resident(z500)) -> CanTravelFreelyWithinEurope(x)) ## exists z500. all x. ((Canadian(x, z500) & Resident(z500)) -> ResidentOfNorthAmericanContinent(x))	Every resident of the North American continent can travel freely within Europe.	all x. (ResidentOfNorthAmericanContinent(x) -> CanTravelFreelyWithinEurope(x))	n	False	False
40	All Canadian residents can travel freely within Europe. ## Every Canadian resident is a resident of the North American continent.	exists z500. all x. ((Canadian(x, z500) & Resident(z500)) -> CanTravelFreelyWithinEurope(x)) ## exists z500. all x. ((Canadian(x, z500) & Resident(z500)) -> ResidentOfNorthAmericanContinent(x))	All residents of the North American continent can travel freely within Europe.	all x. (ResidentOfNorthAmericanContinent(x) -> CanTravelFreelyWithinEurope(x))	n	False	False
41	Each Canadian resident can travel freely within Europe. ## Every Canadian resident is a resident of the North American continent.	exists z500. all x. ((Canadian(x, z500) & Resident(z500)) -> CanTravelFreelyWithinEurope(x)) ## exists z500. all x. ((Canadian(x, z500) & Resident(z500)) -> ResidentOfNorthAmericanContinent(x))	Each resident of the North American continent can travel freely within Europe.	all x. (ResidentOfNorthAmericanContinent(x) -> CanTravelFreelyWithinEurope(x))	n	False	False
42	The residents of major western countries can travel freely within Europe. ## All residents of major western countries are residents of western countries.	all x. (ResidentOfMajorWesternCountry(x) -> CanTravelFreelyWithinEurope(x)) ## all x. (ResidentOfMajorWesternCountry(x) -> ResidentOfWesternCountry(x))	The residents of western countries have the right to live in Europe.	all x. (ResidentOfWesternCountry(x) -> RightToLiveInEurope(x))	n	False	False
43	No Scandinavian delegate finished the report on time.	exists z500. not exists x. ((Scandinavian(x, z500) & Delegate(z500)) & FinishedReportOnTime(x))	Some delegate finished the report on time.	exists x. (Delegate(x) & FinishedReportOnTime(x))	n	False	False
44	Some Irish delegates finished the survey on time.	exists z500. exists x. ((Irish(x, z500) & Delegate(z500)) & FinishedSurveyOnTime(x))	Some delegates finished the survey on time.	exists x. (Delegate(x) & FinishedSurveyOnTime(x))	e	False	False
45	Many British delegates obtained interesting results from the survey.	exists z500. exists x. ((British(x, z500) & Delegate(z500)) & ObtainedInterestingResults(x))	Many delegates obtained interesting results from the survey.	all x. (Delegate(x) & ObtainedInterestingResults(x) -> Survey(x))	n	False	False
46	Most Europeans who are resident in Europe can travel freely within Europe.	all x. (European(x) & ResidentInEurope(x) -> CanTravelFreelyWithinEurope(x))	Most Europeans can travel freely within Europe.	all x. (European(x) -> CanTravelFreelyWithinEurope(x))	n	False	False
47	A few female committee members are from Scandinavia.	exists z500. exists x. (FemaleCommitteeMember(x) & (From(x, z500) & Scandinavia(z500)))	At least a few committee members are from Scandinavia.	exists z500. exists z500. exists x. ((Committee(x, z500) & Member(z500)) & (From(x, z500) & Scandinavia(z500)))	e	False	False
48	Few female committee members are from southern Europe.	exists x. (FemaleCommitteeMember(x) & FromSouthernEurope(x))	Few committee members are from southern Europe.	exists z500. exists x. ((Committee(x, z500) & Member(z500)) & FromSouthernEurope(x))	n	False	False
49	Both female commissioners used to be in business.	all x. (Commissioner(x) & Female(x) -> UsedToBeInBusiness(x))	Both commissioners used to be in business.	all x.all y. (Commissioner(x) & Commissioner(y) -> UsedToBeInBusiness(x) & UsedToBeInBusiness(y))	n	False	False
50	At least three female commissioners spend time at home.	exists z500. exists x.exists y.exists z. ((Female(x, z500) & Commissioner(z500)) & FemaleCommissioner(y) & FemaleCommissioner(z) & SpendsTimeAtHome(x) & SpendsTimeAtHome(y) & SpendsTimeAtHome(z))	At least three commissioners spend time at home.	exists x.exists y.exists z. (Commissioner(x) & Commissioner(y) & Commissioner(z) & SpendsTimeAtHome(x) & SpendsTimeAtHome(y) & SpendsTimeAtHome(z))	e	False	False
51	At most ten female commissioners spend time at home.	exists x. (Commissioner(x) & Female(x) & SpendsTimeAtHome(x, 10))	At most ten commissioners spend time at home.	exists x. (Commissioner(x) & SpendsTimeAtHome(x, 10))	n	True	False
52	A Scandinavian won a Nobel prize. ## Every Swede is a Scandinavian.	exists x. (Scandinavian(x) & WonNobelPrize(x)) ## all x. (Swedish(x) -> Scandinavian(x))	A Swede won a Nobel prize.	exists x. (Swede(x) & WonNobelPrize(x))	n	False	False
53	Every resident of the North American continent can travel freely within Europe. ## Every Canadian resident is a resident of the North American continent.	all x. (ResidentOfNorthAmericanContinent(x) -> CanTravelFreelyWithinEurope(x)) ## exists z500. all x. ((Canadian(x, z500) & Resident(z500)) -> ResidentOfNorthAmericanContinent(x))	Every Canadian resident can travel freely within Europe.	exists z500. all x. ((Canadian(x, z500) & Resident(z500)) -> CanTravelFreelyWithinEurope(x))	e	True	False
54	All residents of the North American continent can travel freely within Europe. ## Every Canadian resident is a resident of the North American continent.	all x. (ResidentOfNorthAmericanContinent(x) -> CanTravelFreelyWithinEurope(x)) ## exists z500. all x. ((Canadian(x, z500) & Resident(z500)) -> ResidentOfNorthAmericanContinent(x))	All Canadian residents can travel freely within Europe.	exists z500. all x. ((Canadian(x, z500) & Resident(z500)) -> CanTravelFreelyWithinEurope(x))	e	True	False
55	Each resident of the North American continent can travel freely within Europe. ## Every Canadian resident is a resident of the North American continent.	all x. (ResidentOfNorthAmericanContinent(x) -> CanTravelFreelyWithinEurope(x)) ## exists z500. all x. ((Canadian(x, z500) & Resident(z500)) -> ResidentOfNorthAmericanContinent(x))	Each Canadian resident can travel freely within Europe.	exists z500. all x. ((Canadian(x, z500) & Resident(z500)) -> CanTravelFreelyWithinEurope(x))	e	True	False
56	The residents of western countries can travel freely within Europe. ## All residents of major western countries are residents of western countries.	all x. (ResidentOfWesternCountry(x) -> CanTravelFreelyWithinEurope(x)) ## all x. (ResidentOfMajorWesternCountry(x) -> ResidentOfWesternCountry(x))	The residents of major western countries have the right to live in Europe.	all x. (ResidentOfMajorWesternCountry(x) -> RightToLiveInEurope(x))	e	False	False
57	No delegate finished the report on time.	not exists x. (Delegate(x) & FinishedReportOnTime(x))	Some Scandinavian delegate finished the report on time.	exists z500. exists x. ((Scandinavian(x, z500) & Delegate(z500)) & FinishedReportOnTime(x))	c	False	False
58	Some delegates finished the survey on time.	exists x. (Delegate(x) & FinishedSurveyOnTime(x))	Some Irish delegates finished the survey on time.	exists z500. exists x. ((Irish(x, z500) & Delegate(z500)) & FinishedSurveyOnTime(x))	n	False	False
59	Many delegates obtained interesting results from the survey.	all x. (Delegate(x) & ObtainedInterestingResults(x) -> Survey(x))	Many British delegates obtained interesting results from the survey.	exists z500. exists x. ((British(x, z500) & Delegate(z500)) & ObtainedInterestingResults(x))	n	False	False
60	Most Europeans can travel freely within Europe.	all x. (European(x) -> CanTravelFreelyWithinEurope(x))	Most Europeans who are resident outside Europe can travel freely within Europe.	all x. (European(x) & ResidentOutsideEurope(x) -> CanTravelFreelyWithinEurope(x))	n	True	False
61	A few committee members are from Scandinavia.	exists z500. exists x.exists y.exists z. ((Committee(x, z500) & Member(z500)) & Scandinavia(y) & CommitteeMember(z) & From(x, y) & From(z, y))	At least a few female committee members are from Scandinavia.	exists z500. exists x. (FemaleCommitteeMember(x) & (From(x, z500) & Scandinavia(z500)))	n	False	False
62	Few committee members are from southern Europe.	exists z500. exists x. ((Committee(x, z500) & Member(z500)) & FromSouthernEurope(x))	Few female committee members are from southern Europe.	exists x. (FemaleCommitteeMember(x) & FromSouthernEurope(x))	e	False	False
63	Both commissioners used to be in business.	all x.all y. (Commissioner(x) & Commissioner(y) -> UsedToBeInBusiness(x) & UsedToBeInBusiness(y))	Both female commissioners used to be in business.	all x. (Commissioner(x) & Female(x) -> UsedToBeInBusiness(x))	n	True	False
64	At least three commissioners spend time at home.	exists x.exists y.exists z. (Commissioner(x) & Commissioner(y) & Commissioner(z) & SpendsTimeAtHome(x) & SpendsTimeAtHome(y) & SpendsTimeAtHome(z))	At least three male commissioners spend time at home.	exists x. (Commissioner(x) & Male(x) & SpendsTimeAtHome(x))	n	False	False
65	At most ten commissioners spend time at home.	exists x. (Commissioner(x) & SpendsTimeAtHome(x, 10))	At most ten female commissioners spend time at home.	exists x. (Commissioner(x) & Female(x) & SpendsTimeAtHome(x, 10))	e	False	False
66	Every representative and client was at the meeting.	all x.all y. (Representative(x) & Client(y) -> AtMeeting(x, y))	Every representative was at the meeting.	all x. (Representative(x) -> exists y. (Meeting(y) & Attended(x, y)))	e	False	False
67	Every representative and client was at the meeting.	all x.all y. (Representative(x) & Client(y) -> AtMeeting(x, y))	Every representative was at the meeting.	all x. (Representative(x) -> exists y. (Meeting(y) & Attended(x, y)))	n	False	False
68	Every representative or client was at the meeting.	exists z500. all x. (Representative(x) | Client(x) -> (At(x, z500) & Meeting(z500)))	Every representative and every client was at the meeting.	all x. all y. (Representative(x) & Client(y) -> AtMeeting(x, y))	e	False	False
69	The chairman read out the items on the agenda.	all x.all y. (Chairman(x) & Agenda(y) -> ReadsOutItems(x, y))	The chairman read out every item on the agenda.	all x.all y. (Chairman(x) & Agenda(y) -> ReadOutEveryItem(x, y))	e	False	False
70	The people who were at the meeting voted for a new chairman.	exists z500. all x. (Person(x) & (At(x, z500) & Meeting(z500)) -> VotedForNewChairman(x))	Everyone at the meeting voted for a new chairman.	all x. (PersonAtMeeting(x) -> VotedForNewChairman(x))	n	False	False
71	All the people who were at the meeting voted for a new chairman.	exists z500. all x. (Person(x) & (At(x, z500) & Meeting(z500)) -> VotedForNewChairman(x))	Everyone at the meeting voted for a new chairman.	all x. (PersonAtMeeting(x) -> VotedForNewChairman(x))	e	False	False
72	The people who were at the meeting all voted for a new chairman.	exists z500. all x. (Person(x) & (At(x, z500) & Meeting(z500)) -> VotedForNewChairman(x))	Everyone at the meeting voted for a new chairman.	all x. (PersonAtMeeting(x) -> VotedForNewChairman(x))	e	False	False
73	The inhabitants of Cambridge voted for a Labour MP.	all x. (InhabitantOfCambridge(x) -> VotedForLabourMP(x))	Every inhabitant of Cambridge voted for a Labour MP.	all x. (InhabitantOfCambridge(x) -> VotedForLabourMP(x))	n	True	False
74	The Ancient Greeks were noted philosophers.	exists z500. all x. ((Ancient(x, z500) & Greek(z500)) -> Philosophers(x))	Every Ancient Greek was a noted philosopher.	exists z500. all x. ((Ancient(x, z500) & Greek(z500)) -> Philosopher(x))	n	True	False
75	The Ancient Greeks were all noted philosophers.	exists z500. all x. ((Ancient(x, z500) & Greek(z500)) -> Philosopher(x))	Every Ancient Greek was a noted philosopher.	exists z500. all x. ((Ancient(x, z500) & Greek(z500)) -> Philosopher(x))	e	True	False
76	Software faults were blamed for the system failure.	exists z500. all x. ((Software(x, z500) & Fault(z500)) -> BlamedForSystemFailure(x))	The system failure was blamed on one or more software faults.	exists z500. exists z500. all x. ((System(x, z500) & Failure(z500)) -> exists y. ((Software(y, z500) & Fault(z500)) & BlamedOn(x, y)))	e	False	False
77	Software faults were blamed for the system failure. ## Bug # 32-985 is a known software fault.	exists z500. all x. ((Software(x, z500) & Fault(z500)) -> BlamedForSystemFailure(x)) ## KnownSoftwareFault(bug32985)	Bug # 32-985 was blamed for the system failure.	exists z500. exists x. (Bug(x) & (System(y, z500) & Failure(z500)) & BlamedFor(x, y))	n	False	False
78	Clients at the demonstration were all impressed by the system's performance. ## Smith was a client at the demonstration.	exists z500. all x. (Client(x) & (At(x, z500) & Demonstration(z500)) -> ImpressedBySystem(x)) ## exists x. exists y. (Smith(x) & Demonstration(y) & ClientAt(x, y))	Smith was impressed by the system's performance.	ImpressedByPerformance(smith, system)	e	False	False
79	Clients at the demonstration were impressed by the system's performance.	exists z500. all x. (Client(x) & (At(x, z500) & Demonstration(z500)) -> ImpressedBySystemPerformance(x))	Most clients at the demonstration were impressed by the system's performance.	exists z500. all x. (Client(x) & (At(x, z500) & Demonstration(z500)) -> ImpressedBySystemPerformance(x))	e	True	False
80	University graduates make poor stock-market traders. ## Smith is a university graduate.	exists z500. all x. ((University(x, z500) & Graduate(z500)) -> PoorStockMarketTrader(x)) ## exists z500. (University(smith, z500) & Graduate(z500))	Smith is likely to make a poor stock market trader.	all x. (Smith(x) -> PoorStockMarketTrader(x))	e	False	False
81	University graduates make poor stock-market traders. ## Smith is a university graduate.	exists z500. all x. ((University(x, z500) & Graduate(z500)) -> PoorStockMarketTrader(x)) ## exists z500. (University(smith, z500) & Graduate(z500))	Smith will make a poor stock market trader.	all x. (Smith(x) -> PoorStockMarketTrader(x))	n	False	False
82	Just one accountant attended the meeting.	exists z500. exists x. (Accountant(x) & (Attended(x, z500) & Meeting(z500)))	No accountants attended the meeting.	exists z500. not exists x. (Accountant(x) & (Attended(x, z500) & Meeting(z500)))	c	False	False
83	Just one accountant attended the meeting.	exists z500. exists x. (Accountant(x) & (Attended(x, z500) & Meeting(z500)))	No accountant attended the meeting.	exists z500. not exists x. (Accountant(x) & (Attended(x, z500) & Meeting(z500)))	c	False	False
84	Just one accountant attended the meeting.	exists z500. exists x. (Accountant(x) & (Attended(x, z500) & Meeting(z500)))	Some accountants attended the meeting.	exists z500. exists x. (Accountant(x) & (Attended(x, z500) & Meeting(z500)))	e	True	False
85	Just one accountant attended the meeting.	exists z500. exists x. (Accountant(x) & (Attended(x, z500) & Meeting(z500)))	Some accountant attended the meeting.	exists z500. exists x. (Accountant(x) & (Attended(x, z500) & Meeting(z500)))	e	True	False
86	Just one accountant attended the meeting.	exists z500. exists x. (Accountant(x) & (Attended(x, z500) & Meeting(z500)))	Some accountants attended the meeting.	exists z500. exists x. (Accountant(x) & (Attended(x, z500) & Meeting(z500)))	c	True	False
87	Just one accountant attended the meeting.	exists z500. exists x. (Accountant(x) & (Attended(x, z500) & Meeting(z500)))	Some accountant attended the meeting.	exists z500. exists x. (Accountant(x) & (Attended(x, z500) & Meeting(z500)))	e	True	False
88	Smith signed two contracts. ## Jones signed two contracts.	exists x. exists y. (Smith(x) & Contract(y) & Signed(x, y)) ## exists x. exists y. (Jones(x) & Contract(y) & Signed(x, y))	Smith and Jones signed two contracts.	exists x. exists y. (Smith(x) & Jones(y) & Contract(z) & Signed(x, z) & Signed(y, z))	e	False	False
89	Mary used her workstation.	exists z500. (Used(mary, z500) & Workstation(z500))	Mary's workstation was used.	exists x. (Workstation(x) & UsedBy(x, Mary))	e	False	False
90	Mary used her workstation.	exists z500. (Used(mary, z500) & Workstation(z500))	Mary has a workstation.	exists x. (Workstation(x) & OwnedBy(x, Mary))	e	False	False
91	Mary used her workstation.	exists z500. (Used(mary, z500) & Workstation(z500))	Mary is female.	Female(mary)	e	False	False
92	Every student used her workstation. ## Mary is a student.	exists z500. all x. (Student(x) -> (Used(x, z500) & Workstation(z500))) ## Student(mary)	Mary used her workstation.	exists z500. (Used(mary, z500) & Workstation(z500))	e	True	False
93	Every student used her workstation. ## Mary is a student.	exists z500. all x. (Student(x) -> (Used(x, z500) & Workstation(z500))) ## Student(mary)	Mary has a workstation.	exists x. (Workstation(x) & OwnedBy(x, Mary))	e	False	False
