	nl_ps	fol_ps	nl_h	fol_h	label	e_pred	c_pred
28	One white dog is staring at the black street	exists z500. exists x. ((White(x, z500) & Dog(z500)) & StaringAt(x, BlackStreet))	Two dogs of different breeds are looking at each other across a street	exists x. exists y. (Dog(x) & Dog(y) & BreedDifferent(x, y) & LookingAtEachOther(x, y))	n	False	False
29	A dog which is furry and black is in a back yard and is carrying a basket in its mouth	exists z500. all x. (Dog(x) & Furry(x) & Black(x) -> (InBackYard(x) & (Carrying(x, z500) & Basket(z500))))	A dog next to a tree, which is probably a pine, is biting a bucket	exists z500. all x.all y.all z. (Dog(x) & Tree(y) & Bucket(z) & NextTo(x, y) & (Probably(y, z500) & Pine(z500)) -> Biting(x, z))	n	False	False
30	A few men in a competition are running outside	exists x.exists y.exists z. (Man(x) & Man(y) & Man(z) & Competition(x) & Competition(y) & Competition(z) & not (Competition(x) & Competition(y) & Competition(z)) & exists w. (Outside(w) & Running(x, w) & Running(y, w) & Running(z, w)))	A few men in a competition are running indoors	exists x.exists y.exists z. (Man(x) & Man(y) & Man(z) & Competition(x) & Competition(y) & Competition(z) & not (Indoors(x) & Indoors(y) & Indoors(z)))	c	True	True
31	A few men in a competition are running outside	exists x.exists y.exists z. (Man(x) & Man(y) & Man(z) & Competition(x) & Competition(y) & Competition(z) & not (Competition(x) & Competition(y) & Competition(z)) & exists w. (Outside(w) & Running(x, w) & Running(y, w) & Running(z, w)))	A few men are running competitions outside	exists x.exists y. (Man(x) & Man(y) & RunningCompetition(x, y) & Outside(y))	n	True	True
32	The kid is happily sliding in the snow	exists z500. all x. (Kid(x) & SlidingInSnow(x) -> (Happily(x, z500) & Sliding(z500)))	A boy on a hill covered in snow is wearing a red jacket and a black hat and is sliding on his knees	exists z500. all x. (Boy(x) & (On(x, z500) & Hill(z500)) & CoveredInSnow(x) -> (WearsRedJacket(x) & WearsBlackHat(x) & SlidesOnKnees(x)))	n	False	False
33	A woman, who is old, is near a white dog	all x. (Woman(x) & Old(x) -> NearWhiteDog(x))	A woman and a dog are sitting on a tree stump	exists z500. exists x. exists y. exists z. (Woman(x) & Dog(y) & (Tree(z, z500) & Stump(z500)) & SittingOn(x, z) & SittingOn(y, z))	n	False	False
34	A group of people is equipped with protective gear	all x. (GroupOfPeople(x) -> EquippedWithProtectiveGear(x))	A group of people is equipped with gear used for protection	exists z500. all x.all y. (Group(x) & Person(y) & (Uses(y, z500) & Gear(z500)) -> Protection(x, y))	e	False	False
35	One white dog and one black one are running side by side on the grass	exists z500. exists z500. exists x.exists y. ((White(x, z500) & Dog(z500)) & (Black(y, z500) & Dog(z500)) & RunningOnGrass(x) & RunningOnGrass(y))	A dog, which has a black coat, and a white dog are running on the grass	exists z500. exists z500. all x. all y. (Dog(x) & Dog(y) & (Black(x, z500) & Coat(z500)) & (White(y, z500) & Coat(z500)) -> RunOnGrass(x, y))	e	False	False
36	Not a lot of people are in an ice skating park	not (exists x. (Person(x) & InIceSkatingPark(x)))	An ice skating rink placed outdoors is full of people	all x. (IceSkatingRink(x) & Outdoors(x) -> FullOfPeople(x))	n	False	False
37	The girl in the blue and white uniform is cheering	Cheering(girl, blueAndWhiteUniform)	The girl is cheering the man in the blue and white uniform	Cheer(girl, man, blueAndWhiteUniform)	n	False	False
38	A woman is being kissed by a man	exists x. exists y. (Woman(x) & Man(y) & Kissing(y, x))	There is no woman being kissed by a man	not exists x. (Woman(x) & Man(y) & Kissing(y, x))	c	False	False
39	The girl in the red shirt is blowing a bubble 	exists z500. all x. (Girl(x) & WearsRedShirt(x) -> (Blowing(x, z500) & Bubble(z500)))	The young girl is blowing a bubble that is huge	exists z500. all x. all y. ((Young(x, z500) & Girl(z500)) & Bubble(y) & Blowing(x, y) -> Huge(y))	n	False	False
40	Some corndogs are being eaten by two toddlers who are in a wagon, which is really small	exists x.exists y.exists z. (Corndog(x) & Toddler(y) & Toddler(z) & Eating(y, x) & Eating(z, x) & Wagon(w) & Small(w))	Two toddlers are eating corndogs in a wagon, which is really small	exists x. exists y. exists z. (Toddler(x) & Toddler(y) & Corndog(z) & Eating(x, z) & Eating(y, z) & Wagon(w) & Small(w))	e	True	False
41	A man is getting on a horse on a track laid in the wild	exists x. exists y. exists z. (Man(x) & Horse(y) & Track(z) & LaidInWild(z) & GetsOn(x, y, z))	A horse is tossing the cowboy wearing pants of blue and red color	all x.all y. (Horse(x) & Cowboy(y) -> Tossing(x, y, BluePants, RedPants))	n	False	False
42	An adult is in the amphitheater and is talking to a boy	exists x. exists y. (Adult(x) & Amphitheater(y) & In(x, y) & TalkingTo(x, y))	There is no adult in the amphitheater talking to a boy	exists z500. not exists x. (Adult(x) & (In(x, z500) & Amphitheater(z500)) & TalkingToBoy(x))	c	False	False
43	A talk about an adult and a boy is given in the amphitheater	all x.all y.all z. (Adult(x) & Boy(y) & Amphitheater(z) -> TalkGiven(x, y, z))	An adult is in the amphitheater and is talking to a boy	exists x. exists y. (Adult(x) & Amphitheater(y) & In(x, y) & TalkingTo(x, y))	n	False	False
44	The snowboarder isn't leaping over white snow	not exists x. (Snowboarder(x) & LeapingOverWhiteSnow(x))	A person who is practicing snowboarding jumps into the air	exists z500. all x. ((Practices(x, z500) & Snowboarding(z500)) -> JumpsIntoAir(x))	n	False	False
45	A woman is riding a horse	exists x. exists y. (Woman(x) & Horse(y) & Riding(x, y))	A man is opening a small package that contains headphones	exists z500. exists z500. exists x. exists y. (Man(x) & (Small(y, z500) & Package(z500)) & (Contains(y, z500) & Headphones(z500)) & Opens(x, y))	n	False	False
46	A fish is hunting for a turtle in the sea	exists x. exists y. (Fish(x) & Turtle(y) & Hunting(x, y) & InSea(x, y))	The turtle is following the fish	exists x. exists y. (Turtle(x) & Fish(y) & Follows(x, y))	n	False	False
47	A potato is being sliced by a woman	exists x. exists y. (Potato(x) & Woman(y) & Slicing(y, x))	A woman is slicing a carrot	exists x. exists y. (Woman(x) & Carrot(y) & Slicing(x, y))	n	False	False
48	A woman is combing her hair	exists z500. exists x. (Woman(x) & (Combing(x, z500) & Hair(z500)))	A woman is arranging her hair	exists z500. exists x. (Woman(x) & (Arranging(x, z500) & Hair(z500)))	n	False	False
49	A woman is combing her hair	exists z500. exists x. (Woman(x) & (Combing(x, z500) & Hair(z500)))	There is no woman combing her hair	exists z500. not exists x. (Woman(x) & (Combing(x, z500) & Hair(z500)))	c	False	False
50	A man and a woman are hiking through a wooded area	exists x. exists y. (Man(x) & Woman(y) & Hiking(x, y) & WoodedArea(x, y))	A man and a woman are walking together through the woods	exists x. exists y. (Man(x) & Woman(y) & WalkingTogether(x, y) & InWoods(x, y))	e	False	False
51	A man and a woman are walking together through the woods	exists x. exists y. (Man(x) & Woman(y) & WalkingTogether(x, y) & InWoods(x, y))	A man and a woman are walking through a wooded area	exists x. exists y. (Man(x) & Woman(y) & Walking(x, y) & WoodedArea(x, y))	e	False	False
52	A man is slicing a bun	exists x. exists y. (Man(x) & Bun(y) & Slicing(x, y))	A man is slicing a tomato	exists x. exists y. (Man(x) & Tomato(y) & Slicing(x, y))	n	False	False
53	Some women are dancing and singing 	exists x. (Woman(x) & Dancing(x) & Singing(x))	A woman is dancing and singing in the rain	exists z500. exists x. (Woman(x) & Dancing(x) & Singing(x) & (In(x, z500) & Rain(z500)))	n	False	False
54	A band is playing on a stage	all x.all y. (Band(x) & Stage(y) -> PlayingOn(x, y))	A band is playing onstage	exists z500. exists x. (Band(x) & (Playing(x, z500) & Onstage(z500)))	e	False	False
55	A man is playing flute	exists z500. exists x. (Man(x) & (Playing(x, z500) & Flute(z500)))	A man is playing a game with a ball	exists x. exists y. exists z. (Man(x) & Ball(y) & Game(z) & Plays(x, z, y))	n	False	False
56	The woman is measuring the other woman	exists x. exists y. (Woman(x) & Woman(y) & Measuring(x, y))	A woman is being measured by another woman	exists x. exists y. (Woman(x) & Woman(y) & Measuring(x, y))	e	True	False
57	A person is standing near a motorcycle	exists x. exists y. (Person(x) & Motorcycle(y) & StandingNear(x, y))	A person is chopping an onion	exists x. (Person(x) & Chopping(x, Onion))	n	False	False
58	A man is screaming	exists x. (Man(x) & Screaming(x))	A man is scared	exists x. (Man(x) & Scared(x))	n	False	False
59	A sad man is crying	all x. (Man(x) & Sad(x) -> Crying(x))	A man is screaming	exists x. (Man(x) & Screaming(x))	n	False	False
60	A woman is cutting shrimps	exists x. (Woman(x) & Cutting(x, shrimps))	A man is chopping butter into a small container	exists z500. exists x. exists y. exists z. (Man(x) & Butter(y) & (Small(z, z500) & Container(z500)) & Chopping(x, y, z))	n	False	False
61	Men are sawing logs	exists z500. all x. (Man(x) -> (Sawing(x, z500) & Logs(z500)))	Men are cutting wood	exists z500. all x. (Man(x) -> (Cutting(x, z500) & Wood(z500)))	e	False	False
62	A man is talking on the radio	exists x. (Man(x) & TalkingOnRadio(x))	A man is spitting	exists x. (Man(x) & Spitting(x))	n	False	False
63	Three young men are running, jumping and kicking near a vending machine	exists z500. exists x. exists y. exists z. ((Young(x, z500) & Man(z500)) & YoungMan(y) & YoungMan(z) & Running(x) & Jumping(x) & Kicking(x) & NearVendingMachine(x))	There is no man running, jumping and kicking near a vending machine	exists z500. exists x. (Man(x) & exists y. ((Vending(y, z500) & Machine(z500)) & Near(x, y) & Running(x) & Jumping(x) & Kicking(x)))	c	False	False
64	Three men are jumping off a wall	exists x. exists y. exists z. (Man(x) & Man(y) & Man(z) & JumpingOffWall(x) & JumpingOffWall(y) & JumpingOffWall(z))	Three young men are furiously running, jumping and kicking near a vending machine	exists z500. exists z500. exists x. exists y. exists z. ((Young(x, z500) & Man(z500)) & YoungMan(y) & YoungMan(z) & ((Furiously(x, z500) & Running(z500)) & FuriouslyRunning(y) & FuriouslyRunning(z) & NearVendingMachine(x) & NearVendingMachine(y) & NearVendingMachine(z)))	n	False	False
65	The man is not stirring the sauce for the chicken	not exists x. (Man(x) & StirringSauce(x, chicken))	The man is stirring the sauce for the chicken	all x.all y. (Man(x) & Sauce(y) & Chicken(z) -> Stirring(x, y, z))	c	False	False
66	A man is playing a guitar	exists z500. exists x. (Man(x) & (Playing(x, z500) & Guitar(z500)))	A man is strumming a guitar	exists z500. exists x. (Man(x) & (Strumming(x, z500) & Guitar(z500)))	e	False	False
67	Three boys in karate costumes aren't fighting	exists z500. not exists x.exists y.exists z. (Boy(x) & Boy(y) & Boy(z) & (Karate(x, z500) & Costume(z500)) & KarateCostume(y) & KarateCostume(z) & Fighting(x, y, z))	Three boys in karate costumes are fighting	exists z500. exists x. exists y. exists z. (Boy(x) & Boy(y) & Boy(z) & (Karate(x, z500) & Costume(z500)) & KarateCostume(y) & KarateCostume(z) & Fighting(x, y, z))	c	False	False
68	A woman is planting some flowers	exists z500. exists x. (Woman(x) & (Planting(x, z500) & Flowers(z500)))	A woman is cutting broccoli	exists x. (Woman(x) & Cutting(x, Broccoli))	n	False	False
69	A hole is being burrowed by the badger	exists x. exists y. (Hole(x) & Badger(y) & Burrowing(y, x))	A badger is shrewdly digging the earth	all x. (Badger(x) -> ShrewdlyDiggingEarth(x))	e	False	False
70	A snake is being fed a mouse by a man	exists x. exists y. exists z. (Snake(x) & Mouse(y) & Man(z) & Feeds(z, x, y))	No snake is being fed a mouse by a man	not exists x. (Snake(x) & Mouse(y) & Man(z) & Feeds(z, x, y))	c	False	False
71	Some ingredients are being mixed in a bowl by a person	exists x. exists y. exists z. (Ingredient(x) & Bowl(y) & Person(z) & MixingIn(x, y, z))	Some ingredients are being separated in a bowl by a person	exists x.exists y.exists z. (Ingredient(x) & Bowl(y) & Person(z) & SeparatesIn(x, y, z))	n	False	False
72	A boat is sailing peacefully over the water	all x. (Boat(x) -> SailingPeacefullyOverWater(x))	The guitar is being played by the man	exists x. exists y. (Guitar(x) & Man(y) & Playing(y, x))	n	False	False
73	The milk is being drunk by a cat	exists x.exists y. (Milk(x) & Cat(y) & Drinking(y, x))	The cat is drinking some milk	exists x. (Cat(x) & Drinking(x, milk))	e	False	False
74	A man is emptying a container made of plastic completely	all x. all y. (Man(x) & Container(y) & MadeOfPlastic(y) -> Emptying(x, y))	A man is emptying a container made of plastic	exists x. exists y. (Man(x) & Container(y) & MadeOfPlastic(y) & Emptying(x, y))	e	False	False
75	A man is emptying a container made of plastic	exists x. exists y. (Man(x) & Container(y) & MadeOfPlastic(y) & Emptying(x, y))	A man is carelessly holding a frog	exists x. exists y. (Man(x) & Frog(y) & CarelesslyHolding(x, y))	n	False	False
76	A flute is being played in a lovely way by a girl	exists x.exists y. (Flute(x) & Girl(y) & Playing(y, x) & Lovely(y))	A flute is being played by a girl	exists x. exists y. (Flute(x) & Girl(y) & Playing(y, x))	e	True	False
77	The adult is playing the guitar loudly	exists z500. all x. (Adult(x) & (Playing(x, z500) & Guitar(z500)) -> PlayingGuitarLoudly(x))	A flute is being played by a man	exists x. exists y. (Flute(x) & Man(y) & Playing(y, x))	n	False	False
78	A man is playing the guitar loudly	exists z500. exists x. (Man(x) & (Playing(x, z500) & Guitar(z500)) & PlayingGuitarLoudly(x))	A flute isn't being played by a man	exists z500. not exists x. (Man(x) & (Plays(x, z500) & Flute(z500)))	n	False	False
79	The girl, who is little, is carefully combing her hair into a pony tail	all x. (Girl(x) & Little(x) -> CarefullyCombingHairIntoPonyTail(x))	The girl, who is little, is combing her hair into a pony tail.	all x. (Girl(x) & Little(x) -> CombingPonyTail(x))	e	False	False
80	One man is sitting on the chair	exists x. exists y. (Man(x) & Chair(y) & SittingOn(x, y))	The girl, who is little, is ruffling her hair	exists z500. all x. (Girl(x) & Little(x) -> (Ruffling(x, z500) & Hair(z500)))	n	False	False
81	The microphone in front of the talking parrot is being muted	all x.all y. (Microphone(x) & Parrot(y) & InFrontOf(x, y) -> Muted(x))	The parrot is talking into the microphone	exists x. exists y. (Parrot(x) & Microphone(y) & TalkingInto(x, y))	n	False	False
82	The kittens on the trays are being eaten as food for an advertisement	all x.all y.all z. (Kitten(x) & Tray(y) & Advertisement(z) -> EatenAsFood(x, y, z))	The food on the trays is being eaten by the kittens	all x.all y.all z. (Food(x) & Tray(y) & Kitten(z) -> Eats(z, x, y))	n	False	False
83	The food on the trays is being eaten by the kittens	all x.all y.all z. (Food(x) & Tray(y) & Kitten(z) -> Eats(z, x, y))	A few kittens are eating	exists x.exists y.exists z. (Kitten(x) & Eating(x) & Eating(y) & Eating(z) & not (Eating(x) & Eating(y) & Eating(z)))	e	False	True
84	One person is playing the guitar and singing	exists z500. exists x. (Person(x) & (Playing(x, z500) & Guitar(z500)) & Singing(x))	A person is playing a guitar and singing	exists z500. exists x. (Person(x) & (Playing(x, z500) & Guitar(z500)) & Singing(x))	e	True	False
85	The horse is being ridden by a man	exists x.exists y. (Horse(x) & Man(y) & Riding(y, x))	A man is riding the horse	exists x. exists y. (Man(x) & Horse(y) & Riding(x, y))	e	True	False
86	A man is dangerously throwing knives at a tree	exists x. exists y. exists z. (Man(x) & Knife(y) & Tree(z) & ThrowsAt(x, y, z))	Some dangerous men with knives are throwing a bike against a tree	exists z500. exists x. ((Dangerous(x, z500) & Man(z500)) & Knife(x) & ThrowingBikeAgainstTree(x))	n	False	False
87	A lady is cutting up some meat precisely	all x. all y. (Lady(x) & Meat(y) -> CuttingUp(x, y))	Some meat is being cut into pieces by a woman	exists x.exists y. (Meat(x) & Woman(y) & CutsIntoPieces(y, x))	e	False	False
88	The man is denying an interview	exists z500. exists x. (Man(x) & (Denying(x, z500) & Interview(z500)))	The man is granting an interview	exists z500. (Grant(man, z500) & Interview(z500))	c	False	False
89	The man is granting an interview	exists z500. (Grant(man, z500) & Interview(z500))	A man's white car is being driven away	exists z500. all x. (Man(x) & (White(x, z500) & Car(z500)) -> BeingDrivenAway(x))	n	False	False
90	A small boy is scolding a dog	exists z500. exists x. exists y. ((Small(x, z500) & Boy(z500)) & Dog(y) & Scolding(x, y))	A small boy is playing with a dog	exists z500. exists x.exists y. ((Small(x, z500) & Boy(z500)) & Dog(y) & PlayingWith(x, y))	n	False	False
91	The picture of a camera set up is being taken by a man on the beach at the sunset	exists z500. exists z500. all x.all y.all z. (Camera(x) & Picture(y) & Man(z) & (Set(x, z500) & Up(z500)) & (On(z, z500) & Beach(z500)) & Sunset(y) -> Taking(z, y))	A man is taking pictures of a lake	exists x. exists y. (Man(x) & Lake(y) & TakingPictures(x, y))	n	False	False
92	A woman is sewing with a machine	exists z500. exists x. (Woman(x) & (Sewing(x, z500) & Machine(z500)))	A woman is using a machine made for sewing	all x.all y. (Woman(x) & Machine(y) & MadeForSewing(y) -> Using(x, y))	e	False	False
93	Someone is falling off a horse	exists x. (FallingOffHorse(x))	The man is not knocked off of a horse	all x. all y. (Man(x) & Horse(y) -> not KnockedOff(x, y))	n	False	False
94	A woman is tapping her fingers on a table	exists z500. exists x. (Woman(x) & (Tapping(x, z500) & Fingers(z500)))	A woman is resting her fingers on a table	exists x. exists y. (Woman(x) & Table(y) & RestingFingersOn(x, y))	n	False	False
95	A woman is tapping her fingers	exists z500. exists x. (Woman(x) & (Tapping(x, z500) & Fingers(z500)))	A woman is resting her fingers on a table	exists x. exists y. (Woman(x) & Table(y) & RestingFingersOn(x, y))	n	False	False
96	The cat is playing passionately with a watermelon	exists x. exists y. (Cat(x) & Watermelon(y) & Playing(x, y) & Passionate(x))	The cat is playing with a watermelon	exists x. exists y. (Cat(x) & Watermelon(y) & PlayingWith(x, y))	e	False	False
97	The cat is playing passionately with a watermelon	exists x. exists y. (Cat(x) & Watermelon(y) & Playing(x, y) & Passionate(x))	A cat is playing with a watermelon	exists x. exists y. (Cat(x) & Watermelon(y) & PlayingWith(x, y))	e	False	False
98	A person is burning some cameras with a blow torch	exists z500. exists x. exists y. exists z. (Person(x) & Camera(y) & (Blow(z, z500) & Torch(z500)) & BurnsWith(x, y, z))	The tall person is setting fire to the cameras	exists z500. all x. ((Tall(x, z500) & Person(z500)) -> SetsFireToCameras(x))	n	False	False
99	Some cameras are being burned by a person with a blow torch	exists z500. exists x.exists y.exists z. (Camera(x) & Person(y) & (Blow(z, z500) & Torch(z500)) & Burns(y, x, z))	The person is setting fire to the cameras	all x. (Person(x) & SetsFireTo(x, cameras))	e	False	False
100	A person by some cameras is blowing on a burning torch	all x. all y. all z. (Person(x) & Camera(y) & Torch(z) & BlowingOn(x, z) -> Burning(z))	The person is setting fire to the cameras	all x. (Person(x) & SetsFireTo(x, cameras))	n	False	False
101	A person is cutting an onion into pieces	exists z500. exists x. (Person(x) & Cutting(x, Onion) & (Into(x, z500) & Pieces(z500)))	A person is slicing a carrot into pieces	exists x. exists y. (Person(x) & Carrot(y) & Slicing(x, y))	n	False	False
102	Someone is cutting a tomato	exists x. (Person(x) & Cutting(x, tomato))	The woman is holding a whole tomato	exists x. (Woman(x) & exists y. (Tomato(y) & Whole(y) & Holds(x, y)))	n	False	False
103	The lady is slicing a tomato	exists x. exists y. (Lady(x) & Tomato(y) & Slicing(x, y))	There is no one cutting a tomato	not exists x. (Cutting(x) & Tomato(x))	c	False	False
104	The lady is slicing a tomato	exists x. exists y. (Lady(x) & Tomato(y) & Slicing(x, y))	Someone is cutting a tomato	exists x. (Person(x) & Cutting(x, tomato))	e	False	False
105	A man is preparing some dish	exists z500. exists x. (Man(x) & (Preparing(x, z500) & Dish(z500)))	An onion is being sliced with a knife by the woman	exists x. exists y. exists z. (Onion(x) & Knife(y) & Woman(z) & Slicing(z, x, y))	n	False	False
106	One man is running down the road	exists x. (Man(x) & Running(x))	A man is running	exists x. (Man(x) & Running(x))	e	True	False
