	p_1_nl	p_1_fol	p_2_nl	p_2_fol	h_nl	h_fol	label	e_pred	c_pred
10	The equipment in front of the blond dancing girl is sound	all x. (Equipment(x) & InFrontOfBlondDancingGirl(x) -> Sound(x))			A girl in white is dancing	all x. (Girl(x) & WearingWhite(x) -> Dancing(x))	n		
11	A girl in white is dancing	all x. (Girl(x) & WearingWhite(x) -> Dancing(x))			The blond girl is dancing in front of the sound equipment	DancingInFrontOfSoundEquipment(blondGirl)	n		
12	The children of a family are playing and waiting	all x.all y. (Family(x) & Child(y, x) -> (Plays(y) & Waits(y)))			An Asian man is dancing and three kids are looking	exists x. exists y. exists z. (AsianMan(x) & Dancing(x) & Kid(y) & Kid(z) & LookingAt(y, x) & LookingAt(z, x))	n		
13	A hiker is on top of the mountain and is doing a joyful dance	all x. (Hiker(x) -> (OnTopOfMountain(x) & JoyfulDance(x)))			A hiker is on top of the mountain and is dancing	exists x. (Hiker(x) & OnTopOfMountain(x) & Dancing(x))	e		
14	A boy is standing outside the water	exists x. (Boy(x) & StandingOutsideWater(x))			The boy is wading through the blue ocean	Boy(x) & Wading(x) & BlueOcean(y) & Through(x, y)	n		
15	A bald person is playing a guitar	all x. (Bald(x) -> exists y. (Guitar(y) & Playing(x, y)))			A person has blonde and flyaway hair and is playing a guitar	exists x. (Person(x) & BlondeHair(x) & FlyawayHair(x) & PlayingGuitar(x))	n		
16	An old, topless woman is covered in paint	exists x. (Woman(x) & Old(x) & Topless(x) & CoveredInPaint(x))			A young, topless woman is covered in paint	all x. (Young(x) & Topless(x) -> CoveredInPaint(x))	n		
17	A group of children in uniforms is standing at a gate and there is no one kissing the mother	all x.all y.all z. (GroupOfChildren(x) & Uniforms(y) & Gate(z) -> (StandingAt(x, z) & not KissingMother(x)))			A crowd of people is near the water	exists x. (Crowd(x) & Near(x, Water))	n		
18	A brown and white dog is running through the tall grass	exists x. (Dog(x) & Brown(x) & White(x) & Running(x) & Through(x, tallGrass))			A brown and white dog is moving through the wild grass	all x. (Dog(x) & Brown(x) & White(x) -> MovingThroughWildGrass(x))	n		
19	A white and tan dog is running through the tall and green grass	all x. (Dog(x) & White(x) & Tan(x) -> exists y. (TallGrass(y) & Green(y) & RunningThrough(x, y)))			A white and tan dog is running through a field	all x. (Dog(x) & White(x) & Tan(x) -> exists y. (Field(y) & RunningThrough(x, y)))	e		
20	A man is sitting near a bike and is writing a note	exists x. exists y. exists z. (Man(x) & Bike(y) & Note(z) & SittingNear(x, y) & Writing(x, z))			A man is standing near a bike and is writing on a piece paper	exists x. exists y. exists z. (Man(x) & Bike(y) & Paper(z) & StandingNear(x, y) & WritingOn(x, z))	n		
21	A group of scouts are hiking through the grass	all x.all y. (ScoutGroup(x) & Grass(y) -> HikingThrough(x, y))			A group of explorers are walking through the grass	exists x. exists y. (Explorer(x) & Grass(y) & WalkingThrough(x, y))	n		
22	Two men are taking a break from a trip on a snowy road	exists x. exists y. (Man(x) & Man(y) & TakingBreak(x, y) & Trip(x, y) & SnowyRoad(x, y))			Two men with cars are on the side of a snowy road	exists x. exists y. (Man(x) & Man(y) & Car(x) & Car(y) & OnSideOfRoad(x, y) & Snowy(x, y))	n		
23	A lady is surfing and riding a wave	all x. (Lady(x) -> (Surfing(x) & RidingWave(x)))			A blond girl is looking at the waves	exists x. (Girl(x) & Blond(x) & LookingAtWaves(x))	n		
24	The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike	all x. (Woman(x) & WearingSilverPants(x) & WearingPinkBellbottoms(x) & WearingPinkScarf(x) -> RidingBike(x))			Pink bellbottoms and a pink scarf aren't to be worn by women with silver pants or bike riding people	all x. all y. (PinkBellbottoms(x) & PinkScarf(y) -> not (Woman(x) & SilverPants(x) & BikeRiding(x)))	n		
25	The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike	all x. (Woman(x) & WearingSilverPants(x) & WearingPinkBellbottoms(x) & WearingPinkScarf(x) -> RidingBike(x))			A pedestrian woman is building pink bicycles for boa wearing riders	all x.all y.all z. (Pedestrian(x) & Woman(x) & PinkBicycle(y) & BoaWearingRider(z) -> BuildsFor(x, y, z))	n		
26	A biker is wearing gear which is black	all x. (Biker(x) -> WearingBlackGear(x))			A biker wearing black is breaking the gears	all x. (Biker(x) & WearingBlack(x) -> BreakingGears(x))	n		
27	A woman is taking off a cloak, which is very large, and revealing an extravagant dress	all x.all y. (Woman(x) & Cloak(y) & VeryLarge(y) -> (TakesOff(x, y) & RevealsExtravagantDress(x)))			A woman is putting on a cloak, which is very large, and concealing an extravagant dress	all x.all y. (Woman(x) & Cloak(y) & Wears(x, y) -> (VeryLarge(y) & ConcealsExtravagantDress(x)))	c		
28	A boy is climbing up a wall artificially built for climbing and is attached to a rope	all x.all y.all z. (Boy(x) & Wall(y) & Rope(z) & ClimbsUp(x, y) & AttachedTo(x, z) -> ArtificialClimbing(x, y))			A little boy, who looks fearful, is on a climbing wall.	all x. (LittleBoy(x) & LooksFearful(x) -> OnClimbingWall(x))	n		
29	A man isn't tossing a kid into the swimming pool that is near the ocean	not exists x. (Man(x) & Tossing(x, y) & Kid(y) & Near(y, ocean) & Near(y, swimmingPool))			The man is tossing a kid into the swimming pool that is near the ocean	exists x. exists y. exists z. (Man(x) & Kid(y) & SwimmingPool(z) & TossesInto(x, y, z) & NearOcean(z))	c		
30	One man is climbing a cliff with a rope	exists x. exists y. exists z. (Man(x) & Cliff(y) & Rope(z) & Climbing(x, y, z))			A person with pink climbing gear roped the rock	all x. (Person(x) & PinkClimbingGear(x) -> RopeRock(x))	n		
31	A person is climbing a rock with a rope, which is pink	all x.all y.all z. (Person(x) & Rock(y) & Rope(z) & Climbing(x, y, z) -> (Pink(y)))			One man is climbing a cliff with a rope	exists x. exists y. exists z. (Man(x) & Cliff(y) & Rope(z) & Climbing(x, y, z))	n		
32	One white dog is staring at the black street	exists x. (WhiteDog(x) & StaringAt(x, BlackStreet))			Two dogs of different breeds are looking at each other across a street	exists x. exists y. (Dog(x) & Dog(y) & BreedDifferent(x, y) & LookingAtEachOther(x, y))	n		
33	A dog which is furry and black is in a back yard and is carrying a basket in its mouth	all x. (Dog(x) & Furry(x) & Black(x) -> (InBackYard(x) & CarryingBasket(x)))			A dog next to a tree, which is probably a pine, is biting a bucket	all x.all y.all z. (Dog(x) & Tree(y) & Bucket(z) & NextTo(x, y) & ProbablyPine(y) -> Biting(x, z))	n		
34	A few men in a competition are running outside	exists x.exists y.exists z. (Man(x) & Man(y) & Man(z) & Competition(x) & Competition(y) & Competition(z) & not (Competition(x) & Competition(y) & Competition(z)) & exists w. (Outside(w) & Running(x, w) & Running(y, w) & Running(z, w)))			A few men in a competition are running indoors	exists x.exists y.exists z. (Man(x) & Man(y) & Man(z) & Competition(x) & Competition(y) & Competition(z) & not (Indoors(x) & Indoors(y) & Indoors(z)))	c		
35	A few men in a competition are running outside	exists x.exists y.exists z. (Man(x) & Man(y) & Man(z) & Competition(x) & Competition(y) & Competition(z) & not (Competition(x) & Competition(y) & Competition(z)) & exists w. (Outside(w) & Running(x, w) & Running(y, w) & Running(z, w)))			A few men are running competitions outside	exists x.exists y. (Man(x) & Man(y) & RunningCompetition(x, y) & Outside(y))	n		
36	The kid is happily sliding in the snow	all x. (Kid(x) & SlidingInSnow(x) -> HappilySliding(x))			A boy on a hill covered in snow is wearing a red jacket and a black hat and is sliding on his knees	all x. (Boy(x) & OnHill(x) & CoveredInSnow(x) -> (WearsRedJacket(x) & WearsBlackHat(x) & SlidesOnKnees(x)))	n		
37	A woman, who is old, is near a white dog	all x. (Woman(x) & Old(x) -> NearWhiteDog(x))			A woman and a dog are sitting on a tree stump	exists x. exists y. exists z. (Woman(x) & Dog(y) & TreeStump(z) & SittingOn(x, z) & SittingOn(y, z))	n		
38	A group of people is equipped with protective gear	all x. (GroupOfPeople(x) -> EquippedWithProtectiveGear(x))			A group of people is equipped with gear used for protection	all x.all y. (Group(x) & Person(y) & UsesGear(y) -> Protection(x, y))	e		
39	One white dog and one black one are running side by side on the grass	exists x.exists y. (WhiteDog(x) & BlackDog(y) & RunningOnGrass(x) & RunningOnGrass(y))			A dog, which has a black coat, and a white dog are running on the grass	all x. all y. (Dog(x) & Dog(y) & BlackCoat(x) & WhiteCoat(y) -> RunOnGrass(x, y))	e		
40	Not a lot of people are in an ice skating park	not (exists x. (Person(x) & InIceSkatingPark(x)))			An ice skating rink placed outdoors is full of people	all x. (IceSkatingRink(x) & Outdoors(x) -> FullOfPeople(x))	n		
41	The girl in the blue and white uniform is cheering	Cheering(girl, blueAndWhiteUniform)			The girl is cheering the man in the blue and white uniform	Cheer(girl, man, blueAndWhiteUniform)	n		
42	A woman is being kissed by a man	exists x. exists y. (Woman(x) & Man(y) & Kissing(y, x))			There is no woman being kissed by a man	not exists x. (Woman(x) & Man(y) & Kissing(y, x))	c		
43	The girl in the red shirt is blowing a bubble 	all x. (Girl(x) & WearsRedShirt(x) -> BlowingBubble(x))			The young girl is blowing a bubble that is huge	all x. all y. (YoungGirl(x) & Bubble(y) & Blowing(x, y) -> Huge(y))	n		
44	Some corndogs are being eaten by two toddlers who are in a wagon, which is really small	exists x.exists y.exists z. (Corndog(x) & Toddler(y) & Toddler(z) & Eating(y, x) & Eating(z, x) & Wagon(w) & Small(w))			Two toddlers are eating corndogs in a wagon, which is really small	exists x. exists y. exists z. (Toddler(x) & Toddler(y) & Corndog(z) & Eating(x, z) & Eating(y, z) & Wagon(w) & Small(w))	e		
45	A man is getting on a horse on a track laid in the wild	exists x. exists y. exists z. (Man(x) & Horse(y) & Track(z) & LaidInWild(z) & GetsOn(x, y, z))			A horse is tossing the cowboy wearing pants of blue and red color	all x.all y. (Horse(x) & Cowboy(y) -> Tossing(x, y, BluePants, RedPants))	n		
46	An adult is in the amphitheater and is talking to a boy	exists x. exists y. (Adult(x) & Amphitheater(y) & In(x, y) & TalkingTo(x, y))			There is no adult in the amphitheater talking to a boy	not exists x. (Adult(x) & InAmphitheater(x) & TalkingToBoy(x))	c		
47	A talk about an adult and a boy is given in the amphitheater	all x.all y.all z. (Adult(x) & Boy(y) & Amphitheater(z) -> TalkGiven(x, y, z))			An adult is in the amphitheater and is talking to a boy	exists x. exists y. (Adult(x) & Amphitheater(y) & In(x, y) & TalkingTo(x, y))	n		
48	The snowboarder isn't leaping over white snow	not exists x. (Snowboarder(x) & LeapingOverWhiteSnow(x))			A person who is practicing snowboarding jumps into the air	all x. (PracticesSnowboarding(x) -> JumpsIntoAir(x))	n		
49	A woman is riding a horse	exists x. exists y. (Woman(x) & Horse(y) & Riding(x, y))			A man is opening a small package that contains headphones	exists x. exists y. (Man(x) & SmallPackage(y) & ContainsHeadphones(y) & Opens(x, y))	n		
50	A fish is hunting for a turtle in the sea	exists x. exists y. (Fish(x) & Turtle(y) & Hunting(x, y) & InSea(x, y))			The turtle is following the fish	exists x. exists y. (Turtle(x) & Fish(y) & Follows(x, y))	n		
51	A potato is being sliced by a woman	exists x. exists y. (Potato(x) & Woman(y) & Slicing(y, x))			A woman is slicing a carrot	exists x. exists y. (Woman(x) & Carrot(y) & Slicing(x, y))	n		
52	A woman is combing her hair	exists x. (Woman(x) & CombingHair(x))			A woman is arranging her hair	exists x. (Woman(x) & ArrangingHair(x))	n		
53	A woman is combing her hair	exists x. (Woman(x) & CombingHair(x))			There is no woman combing her hair	not exists x. (Woman(x) & CombingHair(x))	c		
54	A man and a woman are hiking through a wooded area	exists x. exists y. (Man(x) & Woman(y) & Hiking(x, y) & WoodedArea(x, y))			A man and a woman are walking together through the woods	exists x. exists y. (Man(x) & Woman(y) & WalkingTogether(x, y) & InWoods(x, y))	e		
55	A man and a woman are walking together through the woods	exists x. exists y. (Man(x) & Woman(y) & WalkingTogether(x, y) & InWoods(x, y))			A man and a woman are walking through a wooded area	exists x. exists y. (Man(x) & Woman(y) & Walking(x, y) & WoodedArea(x, y))	e		
56	A man is slicing a bun	exists x. exists y. (Man(x) & Bun(y) & Slicing(x, y))			A man is slicing a tomato	exists x. exists y. (Man(x) & Tomato(y) & Slicing(x, y))	n		
57	A woman is dancing and singing alone	exists x. (Woman(x) & Dancing(x) & Singing(x) & Alone(x))			A woman is dancing and singing with other women	all x.all y.all z. (Woman(x) & Woman(y) & Woman(z) -> (Dancing(x, y) & Singing(x, z)))	c		
58	Some women are dancing and singing 	exists x. (Woman(x) & Dancing(x) & Singing(x))			A woman is dancing and singing in the rain	exists x. (Woman(x) & Dancing(x) & Singing(x) & InRain(x))	n		
59	A woman is dancing and singing with other women	all x.all y.all z. (Woman(x) & Woman(y) & Woman(z) -> (Dancing(x, y) & Singing(x, z)))			A woman is dancing and singing in the rain	exists x. (Woman(x) & Dancing(x) & Singing(x) & InRain(x))	n		
60	A band is playing on a stage	all x.all y. (Band(x) & Stage(y) -> PlayingOn(x, y))			A band is playing onstage	exists x. (Band(x) & PlayingOnstage(x))	e		
61	A man is playing flute	exists x. (Man(x) & PlayingFlute(x))			A man is playing a game with a ball	exists x. exists y. exists z. (Man(x) & Ball(y) & Game(z) & Plays(x, z, y))	n		
62	The woman is measuring the other woman	exists x. exists y. (Woman(x) & Woman(y) & Measuring(x, y))			A woman is being measured by another woman	exists x. exists y. (Woman(x) & Woman(y) & Measuring(x, y))	e		
63	A person is standing near a motorcycle	exists x. exists y. (Person(x) & Motorcycle(y) & StandingNear(x, y))			A person is chopping an onion	exists x. (Person(x) & Chopping(x, Onion))	n		
64	A man is screaming	exists x. (Man(x) & Screaming(x))			A man is scared	exists x. (Man(x) & Scared(x))	n		
65	A sad man is crying	all x. (Man(x) & Sad(x) -> Crying(x))			A man is screaming	exists x. (Man(x) & Screaming(x))	n		
66	A woman is cutting shrimps	exists x. (Woman(x) & Cutting(x, shrimps))			A man is chopping butter into a small container	exists x. exists y. exists z. (Man(x) & Butter(y) & SmallContainer(z) & Chopping(x, y, z))	n		
67	Men are sawing logs	all x. (Man(x) -> SawingLogs(x))			Men are cutting wood	all x. (Man(x) -> CuttingWood(x))	e		
68	A man is talking on the radio	exists x. (Man(x) & TalkingOnRadio(x))			A man is spitting	exists x. (Man(x) & Spitting(x))	n		
69	Three young men are running, jumping and kicking near a vending machine	exists x. exists y. exists z. (YoungMan(x) & YoungMan(y) & YoungMan(z) & Running(x) & Jumping(x) & Kicking(x) & NearVendingMachine(x))			There is no man running, jumping and kicking near a vending machine	exists x. (Man(x) & exists y. (VendingMachine(y) & Near(x, y) & Running(x) & Jumping(x) & Kicking(x)))	c		
70	Three men are jumping off a wall	exists x. exists y. exists z. (Man(x) & Man(y) & Man(z) & JumpingOffWall(x) & JumpingOffWall(y) & JumpingOffWall(z))			Three young men are furiously running, jumping and kicking near a vending machine	exists x. exists y. exists z. (YoungMan(x) & YoungMan(y) & YoungMan(z) & (FuriouslyRunning(x) & FuriouslyRunning(y) & FuriouslyRunning(z) & NearVendingMachine(x) & NearVendingMachine(y) & NearVendingMachine(z)))	n		
71	The man is not stirring the sauce for the chicken	not exists x. (Man(x) & StirringSauce(x, chicken))			The man is stirring the sauce for the chicken	all x.all y. (Man(x) & Sauce(y) & Chicken(z) -> Stirring(x, y, z))	c		
72	A man is playing an electric guitar	exists x. (Man(x) & Playing(x, ElectricGuitar))			A man is playing guitar	exists x. (Man(x) & PlayingGuitar(x))	e		
73	A man is playing a guitar	exists x. (Man(x) & PlayingGuitar(x))			A man is strumming a guitar	exists x. (Man(x) & StrummingGuitar(x))	e		
74	Three boys in karate costumes aren't fighting	not exists x.exists y.exists z. (Boy(x) & Boy(y) & Boy(z) & KarateCostume(x) & KarateCostume(y) & KarateCostume(z) & Fighting(x, y, z))			Three boys in karate costumes are fighting	exists x. exists y. exists z. (Boy(x) & Boy(y) & Boy(z) & KarateCostume(x) & KarateCostume(y) & KarateCostume(z) & Fighting(x, y, z))	c		
75	Three men are practicing karate outdoors	exists x. exists y. exists z. (Man(x) & Man(y) & Man(z) & PracticingKarate(x) & PracticingKarate(y) & PracticingKarate(z) & Outdoors(x) & Outdoors(y) & Outdoors(z))			Three boys in karate costumes are fighting	exists x. exists y. exists z. (Boy(x) & Boy(y) & Boy(z) & KarateCostume(x) & KarateCostume(y) & KarateCostume(z) & Fighting(x, y, z))	n		
76	A woman is planting some flowers	exists x. (Woman(x) & PlantingFlowers(x))			A woman is cutting broccoli	exists x. (Woman(x) & Cutting(x, Broccoli))	n		
77	A hole is being burrowed by the badger	exists x. exists y. (Hole(x) & Badger(y) & Burrowing(y, x))			A badger is shrewdly digging the earth	all x. (Badger(x) -> ShrewdlyDiggingEarth(x))	e		
78	A snake is being fed a mouse by a man	exists x. exists y. exists z. (Snake(x) & Mouse(y) & Man(z) & Feeds(z, x, y))			No snake is being fed a mouse by a man	not exists x. (Snake(x) & Mouse(y) & Man(z) & Feeds(z, x, y))	c		
79	Some ingredients are being mixed in a bowl by a person	exists x. exists y. exists z. (Ingredient(x) & Bowl(y) & Person(z) & MixingIn(x, y, z))			Some ingredients are being separated in a bowl by a person	exists x.exists y.exists z. (Ingredient(x) & Bowl(y) & Person(z) & SeparatesIn(x, y, z))	n		
80	A boat is sailing peacefully over the water	all x. (Boat(x) -> SailingPeacefullyOverWater(x))			The guitar is being played by the man	exists x. exists y. (Guitar(x) & Man(y) & Playing(y, x))	n		
81	The milk is being drunk by a cat	exists x.exists y. (Milk(x) & Cat(y) & Drinking(y, x))			The cat is drinking some milk	exists x. (Cat(x) & Drinking(x, milk))	e		
82	A man is emptying a container made of plastic completely	all x. all y. (Man(x) & Container(y) & MadeOfPlastic(y) -> Emptying(x, y))			A man is emptying a container made of plastic	exists x. exists y. (Man(x) & Container(y) & MadeOfPlastic(y) & Emptying(x, y))	e		
83	A man is emptying a container made of plastic	exists x. exists y. (Man(x) & Container(y) & MadeOfPlastic(y) & Emptying(x, y))			A man is carelessly holding a frog	exists x. exists y. (Man(x) & Frog(y) & CarelesslyHolding(x, y))	n		
84	A flute is being played in a lovely way by a girl	exists x.exists y. (Flute(x) & Girl(y) & Playing(y, x) & Lovely(y))			A flute is being played by a girl	exists x. exists y. (Flute(x) & Girl(y) & Playing(y, x))	e		
85	The adult is playing the guitar loudly	all x. (Adult(x) & PlayingGuitar(x) -> PlayingGuitarLoudly(x))			A flute is being played by a man	exists x. exists y. (Flute(x) & Man(y) & Playing(y, x))	n		
86	A man is playing the guitar loudly	exists x. (Man(x) & PlayingGuitar(x) & PlayingGuitarLoudly(x))			A flute isn't being played by a man	not exists x. (Man(x) & PlaysFlute(x))	n		
87	The girl, who is little, is carefully combing her hair into a pony tail	all x. (Girl(x) & Little(x) -> CarefullyCombingHairIntoPonyTail(x))			The girl, who is little, is combing her hair into a pony tail.	all x. (Girl(x) & Little(x) -> CombingPonyTail(x))	e		
88	One man is sitting on the chair	exists x. exists y. (Man(x) & Chair(y) & SittingOn(x, y))			The girl, who is little, is ruffling her hair	all x. (Girl(x) & Little(x) -> RufflingHair(x))	n		
89	The microphone in front of the talking parrot is being muted	all x.all y. (Microphone(x) & Parrot(y) & InFrontOf(x, y) -> Muted(x))			The parrot is talking into the microphone	exists x. exists y. (Parrot(x) & Microphone(y) & TalkingInto(x, y))	n		
90	The kittens on the trays are being eaten as food for an advertisement	all x.all y.all z. (Kitten(x) & Tray(y) & Advertisement(z) -> EatenAsFood(x, y, z))			The food on the trays is being eaten by the kittens	all x.all y.all z. (Food(x) & Tray(y) & Kitten(z) -> Eats(z, x, y))	n		
91	The food on the trays is being eaten by the kittens	all x.all y.all z. (Food(x) & Tray(y) & Kitten(z) -> Eats(z, x, y))			A few kittens are eating	exists x.exists y.exists z. (Kitten(x) & Eating(x) & Eating(y) & Eating(z) & not (Eating(x) & Eating(y) & Eating(z)))	e		
92	One person is playing the guitar and singing	exists x. (Person(x) & PlayingGuitar(x) & Singing(x))			A person is playing a guitar and singing	exists x. (Person(x) & PlayingGuitar(x) & Singing(x))	e		
93	The horse is being ridden by a man	exists x.exists y. (Horse(x) & Man(y) & Riding(y, x))			A man is riding the horse	exists x. exists y. (Man(x) & Horse(y) & Riding(x, y))	e		
94	A man is dangerously throwing knives at a tree	exists x. exists y. exists z. (Man(x) & Knife(y) & Tree(z) & ThrowsAt(x, y, z))			Some dangerous men with knives are throwing a bike against a tree	exists x. (DangerousMan(x) & Knife(x) & ThrowingBikeAgainstTree(x))	n		
95	A lady is cutting up some meat precisely	all x. all y. (Lady(x) & Meat(y) -> CuttingUp(x, y))			Some meat is being cut into pieces by a woman	exists x.exists y. (Meat(x) & Woman(y) & CutsIntoPieces(y, x))	e		
96	The man is denying an interview	exists x. (Man(x) & DenyingInterview(x))			The man is granting an interview	GrantInterview(man)	c		
97	The man is granting an interview	GrantInterview(man)			A man's white car is being driven away	all x. (Man(x) & WhiteCar(x) -> BeingDrivenAway(x))	n		
98	A small boy is scolding a dog	exists x. exists y. (SmallBoy(x) & Dog(y) & Scolding(x, y))			A small boy is playing with a dog	exists x.exists y. (SmallBoy(x) & Dog(y) & PlayingWith(x, y))	n		
99	The picture of a camera set up is being taken by a man on the beach at the sunset	all x.all y.all z. (Camera(x) & Picture(y) & Man(z) & SetUp(x) & OnBeach(z) & Sunset(y) -> Taking(z, y))			A man is taking pictures of a lake	exists x. exists y. (Man(x) & Lake(y) & TakingPictures(x, y))	n		
100	A woman is sewing with a machine	exists x. (Woman(x) & SewingMachine(x))			A woman is using a machine made for sewing	all x.all y. (Woman(x) & Machine(y) & MadeForSewing(y) -> Using(x, y))	e		
101	Someone is falling off a horse	exists x. (FallingOffHorse(x))			The man is not knocked off of a horse	all x. all y. (Man(x) & Horse(y) -> not KnockedOff(x, y))	n		
102	A woman is tapping her fingers on a table	exists x. (Woman(x) & TappingFingers(x))			A woman is resting her fingers on a table	exists x. exists y. (Woman(x) & Table(y) & RestingFingersOn(x, y))	n		
103	A woman is tapping her fingers	exists x. (Woman(x) & TappingFingers(x))			A woman is resting her fingers on a table	exists x. exists y. (Woman(x) & Table(y) & RestingFingersOn(x, y))	n		
104	The cat is playing passionately with a watermelon	exists x. exists y. (Cat(x) & Watermelon(y) & Playing(x, y) & Passionate(x))			The cat is playing with a watermelon	exists x. exists y. (Cat(x) & Watermelon(y) & PlayingWith(x, y))	e		
105	The cat is playing passionately with a watermelon	exists x. exists y. (Cat(x) & Watermelon(y) & Playing(x, y) & Passionate(x))			A cat is playing with a watermelon	exists x. exists y. (Cat(x) & Watermelon(y) & PlayingWith(x, y))	e		
106	A person is burning some cameras with a blow torch	exists x. exists y. exists z. (Person(x) & Camera(y) & BlowTorch(z) & BurnsWith(x, y, z))			The tall person is setting fire to the cameras	all x. (TallPerson(x) -> SetsFireToCameras(x))	n		
107	Some cameras are being burned by a person with a blow torch	exists x.exists y.exists z. (Camera(x) & Person(y) & BlowTorch(z) & Burns(y, x, z))			The person is setting fire to the cameras	all x. (Person(x) & SetsFireTo(x, cameras))	e		
108	A person by some cameras is blowing on a burning torch	all x. all y. all z. (Person(x) & Camera(y) & Torch(z) & BlowingOn(x, z) -> Burning(z))			The person is setting fire to the cameras	all x. (Person(x) & SetsFireTo(x, cameras))	n		
109	A person is cutting an onion into pieces	exists x. (Person(x) & Cutting(x, Onion) & IntoPieces(x))			A person is slicing a carrot into pieces	exists x. exists y. (Person(x) & Carrot(y) & Slicing(x, y))	n		
110	The man is not slicing the potato	not exists x. (Man(x) & Slicing(x, potato))			The man is slicing a potato	exists x. exists y. (Man(x) & Potato(y) & Slicing(x, y))	c		
111	Someone is cutting a tomato	exists x. (Person(x) & Cutting(x, tomato))			The woman is holding a whole tomato	exists x. (Woman(x) & exists y. (Tomato(y) & Whole(y) & Holds(x, y)))	n		
112	The lady is slicing a tomato	exists x. exists y. (Lady(x) & Tomato(y) & Slicing(x, y))			There is no one cutting a tomato	not exists x. (Cutting(x) & Tomato(x))	c		
113	The lady is slicing a tomato	exists x. exists y. (Lady(x) & Tomato(y) & Slicing(x, y))			Someone is cutting a tomato	exists x. (Person(x) & Cutting(x, tomato))	e		
114	A man is preparing some dish	exists x. (Man(x) & PreparingDish(x))			An onion is being sliced with a knife by the woman	exists x. exists y. exists z. (Onion(x) & Knife(y) & Woman(z) & Slicing(z, x, y))	n		
115	One man is running down the road	exists x. (Man(x) & Running(x))			A man is running	exists x. (Man(x) & Running(x))	e		
116	Some people are singing	exists x. (Person(x) & Singing(x))			A group of people is singing	exists x. (Group(x) & People(x) & Singing(x))	e		
117	The man is playing a guitar	exists x. (Man(x) & PlayingGuitar(x))			A man is playing a trumpet	exists x. (Man(x) & PlayingTrumpet(x))	n		
118	A few people are floating on a raft	exists x.exists y.exists z. (Person(x) & Person(y) & Raft(z) & FloatingOn(x, z) & FloatingOn(y, z))			People are riding and paddling a raft	all x.all y. (Person(x) & Raft(y) -> (Riding(x, y) & Paddling(x, y)))	n		
