	p_1_nl	p_1_fol	p_2_nl	p_2_fol	h_nl	h_fol	label	exception
10	Two men are taking a break from a trip on a snowy road	exists x. exists y. (Man(x) & Man(y) & TakingBreak(x, y) & Trip(x, y) & SnowyRoad(x, y))			Two men are breaking into a car during a trip on a snowy road	exists x. exists y. exists z. (Man(x) & Man(y) & Car(z) & BreakingInto(x, z) & BreakingInto(y, z) & SnowyRoad(z))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: SnowyRoad/2, SnowyRoad/1.


Fatal error:  The following symbols are used with multiple arities: SnowyRoad/2, SnowyRoad/1"
11	The children aren't playing in front of a large door	not exists x. (Child(x) & PlayingInFrontOf(x, LargeDoor))			A group of boys are playing with a ball in front of a large door made of wood	exists x.exists y.exists z. (Group(x) & Boy(y) & Ball(z) & PlayingWith(y, z) & InFrontOf(y, z, x) & LargeDoor(x) & MadeOfWood(x))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: LargeDoor/1, LargeDoor/0.


Fatal error:  The following symbols are used with multiple arities: LargeDoor/1, LargeDoor/0"
12	A black, red, white and pink dress is being worn by a woman	exists x. (Dress(x) & Black(x) & Red(x) & White(x) & Pink(x) & WornBy(x, Woman))			A woman is taking off a cloak, which is very large, and revealing extravagant apparel	all x.all y. (Woman(x) & Cloak(y) & VeryLarge(y) -> TakesOffAndRevealsExtravagantApparel(x, y))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Woman/1, Woman/0.


Fatal error:  The following symbols are used with multiple arities: Woman/1, Woman/0"
13	A woman is taking off a cloak, which is very large, and revealing an extravagant dress	all x.all y. (Woman(x) & Cloak(y) & VeryLarge(y) -> (TakesOff(x, y) & RevealsExtravagantDress(x)))			A black, red, white and pink dress is being worn by a woman	exists x. (Dress(x) & Black(x) & Red(x) & White(x) & Pink(x) & WornBy(x, Woman))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Woman/1, Woman/0.


Fatal error:  The following symbols are used with multiple arities: Woman/1, Woman/0"
14	A person is climbing a rock with a rope, which is pink	all x.all y.all z. (Person(x) & Rock(y) & Rope(z) & Climbing(x, y, z) -> (Pink(y)))			One man is climbing the cliff with a rope	exists x. (Man(x) & Climbing(x, cliff) & UsesRope(x))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Climbing/3, Climbing/2.


Fatal error:  The following symbols are used with multiple arities: Climbing/3, Climbing/2"
15	Two persons of large size are sitting on a park bench and they have a bottle of soda between them	exists x. exists y. (Person(x) & Person(y) & LargeSize(x) & LargeSize(y) & SittingOnParkBench(x, y) & BottleOfSoda(x, y))			Two large persons are sitting on a park bench and they have a bottle of soda between them	exists x. exists y. exists z. (LargePerson(x) & LargePerson(y) & ParkBench(z) & SittingOn(x, z) & SittingOn(y, z) & BottleOfSoda(z))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: BottleOfSoda/2, BottleOfSoda/1.


Fatal error:  The following symbols are used with multiple arities: BottleOfSoda/2, BottleOfSoda/1"
16	A married couple is walking up the aisle	all x.all y. (MarriedCouple(x) & MarriedCouple(y) -> WalkingUpAisle(x, y))			A married couple is walking down the aisle	exists x.exists y. (MarriedCouple(x, y) & WalkingDownAisle(x, y))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: MarriedCouple/1, MarriedCouple/2.


Fatal error:  The following symbols are used with multiple arities: MarriedCouple/1, MarriedCouple/2"
17	A girl in a uniform, which is blue, is lowering her arm	all x. (Girl(x) & WearingUniform(x, blue) -> LoweringArm(x))			A girl in a uniform, which is blue, is raising her arm.	all x. (Girl(x) & WearingUniform(x) & BlueUniform(x) -> RaisingArm(x))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: WearingUniform/2, WearingUniform/1.


Fatal error:  The following symbols are used with multiple arities: WearingUniform/2, WearingUniform/1"
18	The man is doing a wheelie with a motorcycle on ground which is mostly barren	all x.all y.all z. (Man(x) & Motorcycle(y) & Ground(z) & Wheelie(x, y, z) -> (Barren(z)))			A courageous performer is doing a wheelie with a motorcycle over a man in a blue jumpsuit	all x.all y.all z. (Performer(x) & Motorcycle(y) & Man(z) & Wheelie(x, y) & Over(x, z) & BlueJumpsuit(z) -> Courageous(x))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Wheelie/3, Wheelie/2.


Fatal error:  The following symbols are used with multiple arities: Wheelie/3, Wheelie/2"
19	Two toddlers are eating on a really small wagon full of corndogs 	exists x. exists y. (Toddler(x) & Toddler(y) & Eating(x) & Eating(y) & SmallWagon(w) & Corndogs(w) & On(x, w) & On(y, w))			Two toddlers are eating corndogs in a wagon, which is really small	exists x. exists y. exists z. (Toddler(x) & Toddler(y) & Corndog(z) & Eating(x, z) & Eating(y, z) & Wagon(w) & Small(w))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Eating/1, Eating/2.


Fatal error:  The following symbols are used with multiple arities: Eating/1, Eating/2"
20	A horse is tossing the cowboy wearing pants of blue and red color	all x.all y. (Horse(x) & Cowboy(y) -> Tossing(x, y, BluePants, RedPants))			The cowboy in blue and red pants is being tossed by a horse	all x.all y. (Cowboy(x) & Horse(y) & BluePants(x) & RedPants(x) -> BeingTossedBy(x, y))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: RedPants/1, RedPants/0, BluePants/1, BluePants/0.


Fatal error:  The following symbols are used with multiple arities: RedPants/1, RedPants/0, BluePants/1, BluePants/0"
21	A horse is tossing the cowboy wearing pants of blue and red color	all x.all y. (Horse(x) & Cowboy(y) -> Tossing(x, y, BluePants, RedPants))			The cowboy is tossing the blue and red pants towards the horse	all x.all y.all z. (Cowboy(x) & BluePants(y) & RedPants(z) -> TossesTowardsHorse(x, y, z))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: RedPants/1, RedPants/0, BluePants/1, BluePants/0.


Fatal error:  The following symbols are used with multiple arities: RedPants/1, RedPants/0, BluePants/1, BluePants/0"
22	A dog is riding a skateboard in a park	exists x. exists y. exists z. (Dog(x) & Skateboard(y) & Park(z) & Riding(x, y, z))			A dog is riding a skateboard	exists x. exists y. (Dog(x) & Skateboard(y) & Riding(x, y))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Riding/3, Riding/2.


Fatal error:  The following symbols are used with multiple arities: Riding/3, Riding/2"
23	There is no woman dancing and singing in the rain	not exists x. (Woman(x) & Dancing(x) & Singing(x) & InRain(x))			A woman is dancing and singing with other women	all x.all y.all z. (Woman(x) & Woman(y) & Woman(z) -> (Dancing(x, y) & Singing(x, z)))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Singing/1, Singing/2, Dancing/1, Dancing/2.


Fatal error:  The following symbols are used with multiple arities: Singing/1, Singing/2, Dancing/1, Dancing/2"
24	A steak is being rinsed with water by a person	all x.all y. (Steak(x) & Person(y) -> RinsingWithWater(y, x))			A person is rinsing a steak with water	exists x. (Person(x) & Rinsing(x, Steak) & With(x, Water))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Steak/1, Steak/0.


Fatal error:  The following symbols are used with multiple arities: Steak/1, Steak/0"
25	A man is rinsing a large steak	exists x. exists y. (Man(x) & Steak(y) & Large(y) & Rinsing(x, y))			A person is rinsing a steak with water	exists x. (Person(x) & Rinsing(x, Steak) & With(x, Water))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Steak/1, Steak/0.


Fatal error:  The following symbols are used with multiple arities: Steak/1, Steak/0"
26	The oil is being stirred by a man	exists x. exists y. (Oil(x) & Man(y) & Stirring(y, x))			The man is stirring oil	exists x. (Man(x) & Stirring(x, Oil))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Oil/1, Oil/0.


Fatal error:  The following symbols are used with multiple arities: Oil/1, Oil/0"
27	Mimes are performing on a small stage	all x.all y.all z. (Mime(x) & Stage(y) & Small(z) -> PerformsOn(x, y, z))			Mimes are performing on a stage	all x.all y. (Mime(x) & Stage(y) -> PerformsOn(x, y))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: PerformsOn/3, PerformsOn/2.


Fatal error:  The following symbols are used with multiple arities: PerformsOn/3, PerformsOn/2"
28	The man is pouring some oil on the tomatoes	exists x. exists y. exists z. (Man(x) & Oil(y) & Tomato(z) & Pouring(x, y, z))			Somebody is pouring tomato oil on the man	exists x. (Pouring(x, TomatoOil, Man))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Man/1, Man/0.


Fatal error:  The following symbols are used with multiple arities: Man/1, Man/0"
29	There is no baby being put into a trash can by a woman	not exists x. (Baby(x) & Woman(y) & TrashCan(z) & PutInto(x, y, z))			The baby is being put into a trash can by a woman	exists x.exists y. (Baby(x) & Woman(y) & TrashCan(z) & PutInto(x, z) & By(x, y))	c	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: PutInto/3, PutInto/2.


Fatal error:  The following symbols are used with multiple arities: PutInto/3, PutInto/2"
30	A boy in his teens is talking to a girl with a webcam	all x.all y. (Boy(x) & Girl(y) & Teen(x) & Webcam(x) -> TalkingTo(x, y))			The teens are talking to a boy and a girl with a webcam	all x.all y.all z. (Teen(x) & Boy(y) & Girl(z) -> TalkingTo(x, y, z, Webcam))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: TalkingTo/2, TalkingTo/4, Webcam/1, Webcam/0.


Fatal error:  The following symbols are used with multiple arities: TalkingTo/2, TalkingTo/4, Webcam/1, Webcam/0"
31	One man is talking to a girl with an internet camera	exists x. exists y. exists z. (Man(x) & Girl(y) & InternetCamera(z) & TalkingTo(x, y, z))			A boy in his teens isn't talking to a girl with a webcam	all x. all y. (Boy(x) & Teen(x) & Girl(y) & Webcam(y) -> not TalkingTo(x, y))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: TalkingTo/3, TalkingTo/2.


Fatal error:  The following symbols are used with multiple arities: TalkingTo/3, TalkingTo/2"
32	One man is talking to a girl with an internet camera	exists x. exists y. exists z. (Man(x) & Girl(y) & InternetCamera(z) & TalkingTo(x, y, z))			The teens are talking to a boy and a girl with a webcam	all x.all y.all z. (Teen(x) & Boy(y) & Girl(z) -> TalkingTo(x, y, z, Webcam))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: TalkingTo/3, TalkingTo/4.


Fatal error:  The following symbols are used with multiple arities: TalkingTo/3, TalkingTo/4"
33	A woman is beating the man that is keeping two eggs in the bowl, using a wire whisk 	all x.all y.all z. (Woman(x) & Man(y) & Eggs(z) & Beating(x, y) & Keeping(y, z) & UsingWireWhisk(x) -> Beat(x, y))			A woman is beating two eggs in a bowl and using a whisk made of wire	all x. all y. all z. (Woman(x) & Egg(y) & Bowl(z) & Beating(x, y, z) -> (UsesWhisk(x) & MadeOfWire(x)))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Beating/2, Beating/3.


Fatal error:  The following symbols are used with multiple arities: Beating/2, Beating/3"
34	A white car is being driven by the man	all x.all y. (WhiteCar(x) & Man(y) -> Driving(y, x))			A person is driving the white car	exists x. (Person(x) & Driving(x, WhiteCar))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: WhiteCar/1, WhiteCar/0.


Fatal error:  The following symbols are used with multiple arities: WhiteCar/1, WhiteCar/0"
35	Two kids are pushing an inflatable crocodile in a pool	exists x. exists y. exists z. (Kid(x) & Kid(y) & InflatableCrocodile(z) & Pushing(x, z) & Pushing(y, z))			Two kids are pushing past a crocodile in an inflatable pool	exists x. exists y. exists z. (Kid(x) & Kid(y) & Crocodile(z) & Pushing(x, y, z) & InflatablePool(z))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Pushing/2, Pushing/3.


Fatal error:  The following symbols are used with multiple arities: Pushing/2, Pushing/3"
36	Someone is banging a camera lens against a nail	exists x. (Person(x) & Banging(x, CameraLens, Nail))			A camera is being hammered onto the nail by the man	exists x. exists y. exists z. (Camera(x) & Man(y) & Nail(z) & HammeredOnto(x, y, z))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Nail/1, Nail/0.


Fatal error:  The following symbols are used with multiple arities: Nail/1, Nail/0"
37	There is no one banging a camera lens against a nail	not exists x. (Person(x) & Banging(x, CameraLens, Nail))			The man is hammering a nail with a camera	exists x. exists y. exists z. (Man(x) & Nail(y) & Camera(z) & Hammering(x, y, z))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Nail/1, Nail/0.


Fatal error:  The following symbols are used with multiple arities: Nail/1, Nail/0"
38	The woman is not slicing an onion with a knife	not exists x. (Woman(x) & SlicingOnion(x, Knife))			The woman is slicing an onion with a knife	exists x. exists y. exists z. (Woman(x) & Onion(y) & Knife(z) & Slicing(x, y, z))	c	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Knife/1, Knife/0.


Fatal error:  The following symbols are used with multiple arities: Knife/1, Knife/0"
39	A man is riding a motorcycle through the town	exists x. exists y. exists z. (Man(x) & Motorcycle(y) & Town(z) & Riding(x, y, z))			A man is riding a motorbike	exists x. exists y. (Man(x) & Motorbike(y) & Riding(x, y))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Riding/3, Riding/2.


Fatal error:  The following symbols are used with multiple arities: Riding/3, Riding/2"
40	A man is riding a motorcycle through the town	exists x. exists y. exists z. (Man(x) & Motorcycle(y) & Town(z) & Riding(x, y, z))			A man is getting off the motorcycle	exists x. (Man(x) & Motorcycle(y) & Riding(x, y) & not Riding(x, y))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Riding/3, Riding/2.


Fatal error:  The following symbols are used with multiple arities: Riding/3, Riding/2"
41	A man is riding a motorcycle through the town	exists x. exists y. exists z. (Man(x) & Motorcycle(y) & Town(z) & Riding(x, y, z))			A man is riding a motorcycle	exists x. exists y. (Man(x) & Motorcycle(y) & Riding(x, y))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Riding/3, Riding/2.


Fatal error:  The following symbols are used with multiple arities: Riding/3, Riding/2"
42	Someone is slicing a tomato	exists x. (Person(x) & Slicing(x, tomato))			Nobody is slicing a tomato	not exists x. (Slicing(x) & Tomato(x))	c	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Slicing/2, Slicing/1.


Fatal error:  The following symbols are used with multiple arities: Slicing/2, Slicing/1"
43	The lady is eating slices of meat	exists x. (Lady(x) & Eating(x, Meat))			The lady is slicing up the meat	exists x. exists y. (Lady(x) & Meat(y) & Slicing(x, y))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Meat/1, Meat/0.


Fatal error:  The following symbols are used with multiple arities: Meat/1, Meat/0"
44	The woman is slicing an onion	exists x. (Woman(x) & Slicing(x, Onion))			An onion is being sliced by the woman	exists x.exists y. (Onion(x) & Woman(y) & Slicing(y, x))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Onion/1, Onion/0.


Fatal error:  The following symbols are used with multiple arities: Onion/1, Onion/0"
45	An onion is being sliced by the woman	exists x.exists y. (Onion(x) & Woman(y) & Slicing(y, x))			A man is slicing a carrot with a knife	exists x. exists y. exists z. (Man(x) & Carrot(y) & Knife(z) & Slicing(x, y, z))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Slicing/2, Slicing/3.


Fatal error:  The following symbols are used with multiple arities: Slicing/2, Slicing/3"
46	The woman is not cooking something	not exists x. (Woman(x) & Cooking(x))			A woman is cooking eggs	exists x. (Woman(x) & Cooking(x, Eggs))	c	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Cooking/1, Cooking/2.


Fatal error:  The following symbols are used with multiple arities: Cooking/1, Cooking/2"
47	The woman is cooking eggs	exists x. (Woman(x) & Cooking(x, Eggs))			The woman is cooking something	exists x. (Woman(x) & Cooking(x))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Cooking/2, Cooking/1.


Fatal error:  The following symbols are used with multiple arities: Cooking/2, Cooking/1"
48	A woman is cooking eggs	exists x. (Woman(x) & Cooking(x, Eggs))			The woman is cooking something	exists x. (Woman(x) & Cooking(x))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Cooking/2, Cooking/1.


Fatal error:  The following symbols are used with multiple arities: Cooking/2, Cooking/1"
49	Some cats are playing with each other	exists x.exists y.exists z. (Cat(x) & Cat(y) & Cat(z) & PlayingWith(x, y) & PlayingWith(y, z) & PlayingWith(z, x))			The cats are playing with each other	all x.all y.all z. (Cat(x) & Cat(y) & Cat(z) -> PlayingWith(x, y, z))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: PlayingWith/2, PlayingWith/3.


Fatal error:  The following symbols are used with multiple arities: PlayingWith/2, PlayingWith/3"
50	Two men are fighting in a cow pasture	exists x. exists y. (Man(x) & Man(y) & Fighting(x, y) & CowPasture(x, y))			Nobody is fighting in a cow pasture	not exists x. (Fighting(x) & InCowPasture(x))	c	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Fighting/2, Fighting/1.


Fatal error:  The following symbols are used with multiple arities: Fighting/2, Fighting/1"
51	The man is eating a banana by a tree	exists x. exists y. exists z. (Man(x) & Banana(y) & Tree(z) & Eating(x, y, z))			A banana is being eaten by a man	exists x. exists y. (Banana(x) & Man(y) & Eating(y, x))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Eating/3, Eating/2.


Fatal error:  The following symbols are used with multiple arities: Eating/3, Eating/2"
52	The man on stage is singing into the microphone	all x.all y. (Man(x) & Stage(y) & OnStage(x, y) -> SingingIntoMicrophone(x))			The man on stage isn't singing into the microphone	all x. (Man(x) & OnStage(x) -> not SingingIntoMicrophone(x))	c	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: OnStage/2, OnStage/1.


Fatal error:  The following symbols are used with multiple arities: OnStage/2, OnStage/1"
53	Two boy are playing on a trampoline	exists x. exists y. (Boy(x) & Boy(y) & PlayingOnTrampoline(x, y))			Nobody is playing on a trampoline	not exists x. (Person(x) & PlayingOnTrampoline(x))	c	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: PlayingOnTrampoline/2, PlayingOnTrampoline/1.


Fatal error:  The following symbols are used with multiple arities: PlayingOnTrampoline/2, PlayingOnTrampoline/1"
54	A box is being cut by a man	exists x.exists y. (Box(x) & Man(y) & Cutting(y, x))			The man is cutting the tape on the box	exists x. exists y. (Man(x) & Tape(y) & Box(z) & Cutting(x, y, z))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Cutting/2, Cutting/3.


Fatal error:  The following symbols are used with multiple arities: Cutting/2, Cutting/3"
55	The man is cutting the tape on the box	exists x. exists y. (Man(x) & Tape(y) & Box(z) & Cutting(x, y, z))			There is no man cutting a box	not exists x. (Man(x) & Cutting(x, box))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Cutting/3, Cutting/2.


Fatal error:  The following symbols are used with multiple arities: Cutting/3, Cutting/2"
56	A man is cutting a box	exists x. exists y. (Man(x) & Box(y) & Cutting(x, y))			The man is cutting the tape on the box	exists x. exists y. (Man(x) & Tape(y) & Box(z) & Cutting(x, y, z))	n	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Cutting/2, Cutting/3.


Fatal error:  The following symbols are used with multiple arities: Cutting/2, Cutting/3"
57	A man is walking a woman through the woods	exists x. exists y. (Man(x) & Woman(y) & Walking(x, y) & Woods(z) & Through(x, z))			The man and woman are walking	exists x. exists y. (Man(x) & Woman(y) & Walking(x) & Walking(y))	e	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Walking/2, Walking/1.


Fatal error:  The following symbols are used with multiple arities: Walking/2, Walking/1"
58	There is no one typing	not exists x. (Person(x) & Typing(x))			Someone is typing on a keyboard	exists x. (Person(x) & Typing(x, Keyboard))	c	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Typing/1, Typing/2.


Fatal error:  The following symbols are used with multiple arities: Typing/1, Typing/2"
59	Someone is cleaning an animal	exists x. (Cleaning(x, Animal))			Someone is dirtying an animal	exists x.exists y. (Person(x) & Animal(y) & Dirtying(x, y))	c	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Animal/1, Animal/0.


Fatal error:  The following symbols are used with multiple arities: Animal/1, Animal/0"
60	There is no woman riding a water scooter	not exists x. (Woman(x) & Riding(x, WaterScooter))			A woman is riding a water scooter	exists x. exists y. (Woman(x) & WaterScooter(y) & Riding(x, y))	c	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: WaterScooter/1, WaterScooter/0.


Fatal error:  The following symbols are used with multiple arities: WaterScooter/1, WaterScooter/0"
61	A man is chopping a log with an axe	exists x. exists y. exists z. (Man(x) & Log(y) & Axe(z) & Chopping(x, y, z))			There is no man chopping a log with an axe	not exists x. (Man(x) & Chopping(x, log) & UsingAxe(x))	c	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Chopping/3, Chopping/2.


Fatal error:  The following symbols are used with multiple arities: Chopping/3, Chopping/2"
62	The man is not chopping a tree trunk with an axe	not exists x. (Man(x) & Chopping(x, TreeTrunk, Axe))			The man is chopping a tree trunk with an axe	exists x. exists y. exists z. (Man(x) & TreeTrunk(y) & Axe(z) & Chopping(x, y, z))	c	"(FATAL)
%%ERROR: The following symbols are used with multiple arities: Axe/1, Axe/0, TreeTrunk/1, TreeTrunk/0.


Fatal error:  The following symbols are used with multiple arities: Axe/1, Axe/0, TreeTrunk/1, TreeTrunk/0"
