	p_1_nl	p_1_fol	p_2_nl	p_2_fol	h_nl	h_fol	label	exception
26	Two children are lying in the snow and are making snow angels	exists x. exists y. (Child(x) & Child(y) & LyingInSnow(x) & LyingInSnow(y) & MakingSnowAngels(x) & MakingSnowAngels(y))			Two people in snowsuits are lying in the snow and making snow angels	all x.all y.all z. (Person(x) & Person(y) & Snowsuit(x) & Snowsuit(y) & Snow(z) -> (LyingIn(x, z) & LyingIn(y, z) & MakingSnowAngels(x, y)))	n	[WinError 193] %1 is not a valid Win32 application
27	People wearing costumes are gathering in a forest and are looking in the same direction	all x.all y.all z. (Person(x) & Costume(x) & Forest(y) & Direction(z) & Wearing(x, y) & LookingInDirection(x, z) -> Gathering(x, y))			Masked people are looking in the same direction in a forest	all x.all y.all z. (MaskedPerson(x) & Person(y) & Forest(z) -> LookingInSameDirection(x, y, z))	e	[WinError 193] %1 is not a valid Win32 application
28	People wearing costumes are gathering in a forest and are looking in the same direction	all x.all y.all z. (Person(x) & Costume(x) & Forest(y) & Direction(z) & Wearing(x, y) & LookingInDirection(x, z) -> Gathering(x, y))			People wearing costumes are scattering in a forest and are looking in different directions	all x. (Person(x) & WearingCostume(x) -> (ScatteringInForest(x) & LookingInDifferentDirections(x)))	n	[WinError 193] %1 is not a valid Win32 application
29	People are looking at some costumes gathered in the vicinity of the forest	all x.all y.all z. (Person(x) & Costume(y) & Forest(z) -> LookingAtInVicinity(x, y, z))			People wearing costumes are gathering in a forest and are looking in the same direction	all x.all y.all z. (Person(x) & Costume(x) & Forest(y) & Direction(z) & Wearing(x, y) & LookingInDirection(x, z) -> Gathering(x, y))	n	[WinError 193] %1 is not a valid Win32 application
30	A little girl is looking at a woman in costume	exists x. exists y. (LittleGirl(x) & Woman(y) & Costume(y) & LookingAt(x, y))			People wearing costumes are scattering in a forest and are looking in different directions	all x. (Person(x) & WearingCostume(x) -> (ScatteringInForest(x) & LookingInDifferentDirections(x)))	n	[WinError 193] %1 is not a valid Win32 application
31	A little girl is looking at a woman in costume	exists x. exists y. (LittleGirl(x) & Woman(y) & Costume(y) & LookingAt(x, y))			People are looking at some costumes gathered in the vicinity of the forest	all x.all y.all z. (Person(x) & Costume(y) & Forest(z) -> LookingAtInVicinity(x, y, z))	n	[WinError 193] %1 is not a valid Win32 application
32	A young girl is looking at a woman in costume	exists x. exists y. (YoungGirl(x) & Woman(y) & Costume(y) & LookingAt(x, y))			People wearing costumes are gathering in a forest and are looking in the same direction	all x.all y.all z. (Person(x) & Costume(x) & Forest(y) & Direction(z) & Wearing(x, y) & LookingInDirection(x, z) -> Gathering(x, y))	n	[WinError 193] %1 is not a valid Win32 application
33	People wearing costumes are gathering in a forest and are looking in the same direction	all x.all y.all z. (Person(x) & Costume(x) & Forest(y) & Direction(z) & Wearing(x, y) & LookingInDirection(x, z) -> Gathering(x, y))			The little girl is looking at a man in costume	exists x.exists y. (LittleGirl(x) & ManInCostume(y) & LookingAt(x, y))	n	[WinError 193] %1 is not a valid Win32 application
34	People wearing costumes are gathering in a forest and are looking in the same direction	all x.all y.all z. (Person(x) & Costume(x) & Forest(y) & Direction(z) & Wearing(x, y) & LookingInDirection(x, z) -> Gathering(x, y))			A little girl in costume looks like a woman	all x. (LittleGirlInCostume(x) -> LooksLikeWoman(x))	n	[WinError 193] %1 is not a valid Win32 application
35	A lone biker is jumping in the air	exists x. (Biker(x) & JumpingInAir(x))			A biker is jumping in the air, alone	exists x. (Biker(x) & JumpingInAir(x))	e	[WinError 193] %1 is not a valid Win32 application
36	There is no biker jumping in the air	not exists x. (Biker(x) & JumpingInAir(x))			A lone biker is jumping in the air	exists x. (Biker(x) & JumpingInAir(x))	c	[WinError 193] %1 is not a valid Win32 application
37	A man is jumping into an empty pool	exists x. exists y. (Man(x) & Pool(y) & JumpsInto(x, y) & Empty(y))			A man is jumping into a full pool	exists x. exists y. (Man(x) & Pool(y) & Full(y) & JumpsInto(x, y))	c	[WinError 193] %1 is not a valid Win32 application
38	A man is jumping into an empty pool	exists x. exists y. (Man(x) & Pool(y) & JumpsInto(x, y) & Empty(y))			The man's jumper is in the empty pool	all x.all y. (Man(x) & Jumper(x, y) & Pool(y) -> Empty(y))	n	[WinError 193] %1 is not a valid Win32 application
39	A lone biker is jumping in the air	exists x. (Biker(x) & JumpingInAir(x))			A man is jumping into a full pool	exists x. exists y. (Man(x) & Pool(y) & Full(y) & JumpsInto(x, y))	n	[WinError 193] %1 is not a valid Win32 application
40	The man's jumper is in the empty pool	all x.all y. (Man(x) & Jumper(x, y) & Pool(y) -> Empty(y))			A lone biker is jumping in the air	exists x. (Biker(x) & JumpingInAir(x))	n	[WinError 193] %1 is not a valid Win32 application
41	A lone biker is jumping in the air	exists x. (Biker(x) & JumpingInAir(x))			A man is jumping into an empty pool	exists x. exists y. (Man(x) & Pool(y) & JumpsInto(x, y) & Empty(y))	n	[WinError 193] %1 is not a valid Win32 application
42	Four kids are doing backbends in the park	exists x. exists y. exists z. exists w. (Kid(x) & Kid(y) & Kid(z) & Kid(w) & Park(p) & Backbend(x) & Backbend(y) & Backbend(z) & Backbend(w) & In(x, y, z, w, p))			Four children are doing backbends in the park	exists x. exists y. exists z. exists w. (Child(x) & Child(y) & Child(z) & Child(w) & Park(p) & DoingBackbend(x, p) & DoingBackbend(y, p) & DoingBackbend(z, p) & DoingBackbend(w, p))	e	[WinError 193] %1 is not a valid Win32 application
43	Four children are doing backbends in the gym	exists x. exists y. exists z. exists w. (Child(x) & Child(y) & Child(z) & Child(w) & DoingBackbend(x) & DoingBackbend(y) & DoingBackbend(z) & DoingBackbend(w) & InGym(x) & InGym(y) & InGym(z) & InGym(w))			Four children are doing backbends in the park	exists x. exists y. exists z. exists w. (Child(x) & Child(y) & Child(z) & Child(w) & Park(p) & DoingBackbend(x, p) & DoingBackbend(y, p) & DoingBackbend(z, p) & DoingBackbend(w, p))	n	[WinError 193] %1 is not a valid Win32 application
44	Four girls are doing backbends and playing in the garden	exists x. exists y. exists z. exists w. (Girl(x) & Girl(y) & Girl(z) & Girl(w) & DoingBackbend(x) & DoingBackbend(y) & DoingBackbend(z) & DoingBackbend(w) & PlayingInGarden(x) & PlayingInGarden(y) & PlayingInGarden(z) & PlayingInG			Four girls are doing backbends and playing outdoors	all x.all y.all z.all w. (Girl(x) & Girl(y) & Girl(z) & Girl(w) -> (DoingBackbend(x) & DoingBackbend(y) & DoingBackbend(z) & DoingBackbend(w) & PlayingOutdoors(x) & PlayingOutdoors(y) & PlayingOutdoors(z) & PlayingOutdoors(w	e	"End of input found.  Expected token ')'.
all x.all y.all z.all w. (Girl(x) & Girl(y) & Girl(z) & Girl(w) -> (DoingBackbend(x) & DoingBackbend(y) & DoingBackbend(z) & DoingBackbend(w) & PlayingOutdoors(x) & PlayingOutdoors(y) & PlayingOutdoors(z) & PlayingOutdoors(w
                                                                                                                                                                                                                                ^"
45	A man who is playing is running with the ball in his hands	all x. (Man(x) & Playing(x) -> RunningWithBallInHands(x))			A player is running with the ball	all x. (Player(x) & Running(x) -> WithBall(x))	e	[WinError 193] %1 is not a valid Win32 application
46	Two groups of people are playing football	exists x. exists y. (Group(x) & Group(y) & PlayingFootball(x) & PlayingFootball(y))			A player is running with the ball	all x. (Player(x) & Running(x) -> WithBall(x))	n	[WinError 193] %1 is not a valid Win32 application
47	Two teams are competing in a baseball game	exists x. exists y. (Team(x) & Team(y) & BaseballGame(x, y) & Competing(x, y))			A player is running with the ball	all x. (Player(x) & Running(x) -> WithBall(x))	n	[WinError 193] %1 is not a valid Win32 application
48	A player is running with the ball	all x. (Player(x) & Running(x) -> WithBall(x))			Two teams are competing in a football match	exists x. exists y. (Team(x) & Team(y) & FootballMatch(x, y))	n	[WinError 193] %1 is not a valid Win32 application
49	Five wooden stands are in front of each child's hut	all x.all y. (Child(x) & Hut(y) -> WoodenStandInFront(x, y))			Five children are standing in front of a wooden hut	exists x. exists y. (Child(x) & Child(y) & WoodenHut(z) & StandingInFrontOf(x, z) & StandingInFrontOf(y, z))	n	[WinError 193] %1 is not a valid Win32 application
50	Five kids are standing close together and one kid has a gun	exists x.exists y.exists z.exists w.exists v. (Kid(x) & Kid(y) & Kid(z) & Kid(w) & Kid(v) & StandingCloseTogether(x, y, z) & HasGun(v))			Five kids are standing close together and none of the kids has a gun	exists x. exists y. exists z. exists w. exists v. (Kid(x) & Kid(y) & Kid(z) & Kid(w) & Kid(v) & StandingCloseTogether(x, y, z, w, v) & not HasGun(x) & not HasGun(y) & not HasGun(z) & not HasGun(w) & not HasGun(v	c	"End of input found.  Expected token ')'.
exists x. exists y. exists z. exists w. exists v. (Kid(x) & Kid(y) & Kid(z) & Kid(w) & Kid(v) & StandingCloseTogether(x, y, z, w, v) & not HasGun(x) & not HasGun(y) & not HasGun(z) & not HasGun(w) & not HasGun(v
                                                                                                                                                                                                                   ^"
51	Five kids are standing close together and none of the kids has a gun	exists x. exists y. exists z. exists w. exists v. (Kid(x) & Kid(y) & Kid(z) & Kid(w) & Kid(v) & StandingCloseTogether(x, y, z, w, v) & not HasGun(x) & not HasGun(y) & not HasGun(z) & not HasGun(w) & not HasGun(v			Five children are standing in front of a wooden hut	exists x. exists y. (Child(x) & Child(y) & WoodenHut(z) & StandingInFrontOf(x, z) & StandingInFrontOf(y, z))	n	"End of input found.  Expected token ')'.
exists x. exists y. exists z. exists w. exists v. (Kid(x) & Kid(y) & Kid(z) & Kid(w) & Kid(v) & StandingCloseTogether(x, y, z, w, v) & not HasGun(x) & not HasGun(y) & not HasGun(z) & not HasGun(w) & not HasGun(v
                                                                                                                                                                                                                   ^"
52	Five children are standing in a wooden hut	exists x. exists y. exists z. exists w. exists v. (Child(x) & Child(y) & Child(z) & Child(w) & Child(v) & WoodenHut(h) & StandingIn(x, h) & StandingIn(y, h) & StandingIn(z, h) & StandingIn(w, h) & StandingIn(v, h))			Five kids are standing close together and one kid has a gun	exists x.exists y.exists z.exists w.exists v. (Kid(x) & Kid(y) & Kid(z) & Kid(w) & Kid(v) & StandingCloseTogether(x, y, z) & HasGun(v))	n	[WinError 193] %1 is not a valid Win32 application
53	Five wooden stands are in front of each child's hut	all x.all y. (Child(x) & Hut(y) -> WoodenStandInFront(x, y))			Five kids are standing close together and one kid has a gun	exists x.exists y.exists z.exists w.exists v. (Kid(x) & Kid(y) & Kid(z) & Kid(w) & Kid(v) & StandingCloseTogether(x, y, z) & HasGun(v))	n	[WinError 193] %1 is not a valid Win32 application
54	An old man is sitting in a field	exists x. (OldMan(x) & SittingInField(x))			A man is sitting in a field	exists x. exists y. (Man(x) & Field(y) & SittingIn(x, y))	e	[WinError 193] %1 is not a valid Win32 application
55	A man is sitting in a field	exists x. exists y. (Man(x) & Field(y) & SittingIn(x, y))			A man is running in a field	exists x. exists y. (Man(x) & Field(y) & RunningIn(x, y))	n	[WinError 193] %1 is not a valid Win32 application
56	A person is wearing a hat and is sitting on the grass	exists x. (Person(x) & WearingHat(x) & SittingOnGrass(x))			A person is sitting in a field and is wearing a hat	exists x. (Person(x) & SittingInField(x) & WearingHat(x))	n	[WinError 193] %1 is not a valid Win32 application
57	A person is sitting and wearing a grass hat	exists x. (Person(x) & Sitting(x) & WearingGrassHat(x))			A person is wearing a hat and is sitting on the grass	exists x. (Person(x) & WearingHat(x) & SittingOnGrass(x))	n	[WinError 193] %1 is not a valid Win32 application
58	A person is sitting and wearing a grass hat	exists x. (Person(x) & Sitting(x) & WearingGrassHat(x))			A man is sitting in a field	exists x. exists y. (Man(x) & Field(y) & SittingIn(x, y))	n	[WinError 193] %1 is not a valid Win32 application
59	A man is sitting in a field	exists x. exists y. (Man(x) & Field(y) & SittingIn(x, y))			A person is wearing a hat and is sitting on the grass	exists x. (Person(x) & WearingHat(x) & SittingOnGrass(x))	n	[WinError 193] %1 is not a valid Win32 application
60	The current is being ridden by a group of friends in a raft	all x.all y.all z. (Current(x) & GroupOfFriends(y) & Raft(z) -> Riding(y, x, z))			A group of friends are riding the current in a raft	all x.all y.all z. (FriendGroup(x) & Raft(y) & Current(z) -> Riding(x, y, z))	e	[WinError 193] %1 is not a valid Win32 application
61	A group of friends are riding the current in a raft	all x.all y.all z. (FriendGroup(x) & Raft(y) & Current(z) -> Riding(x, y, z))			A group is not riding the current in a raft	all x. (Group(x) -> not RidingCurrentInRaft(x))	c	[WinError 193] %1 is not a valid Win32 application
62	The current is being ridden by a group of friends in a raft	all x.all y.all z. (Current(x) & GroupOfFriends(y) & Raft(z) -> Riding(y, x, z))			This group of people is practicing water safety and wearing preservers	all x. (Group(x) & PracticesWaterSafety(x) -> WearsPreservers(x))	n	[WinError 193] %1 is not a valid Win32 application
63	A group of friends are riding the current in a raft	all x.all y.all z. (FriendGroup(x) & Raft(y) & Current(z) -> Riding(x, y, z))			This group of people is practicing water safety and wearing preservers	all x. (Group(x) & PracticesWaterSafety(x) -> WearsPreservers(x))	n	[WinError 193] %1 is not a valid Win32 application
64	A deer is jumping over a fence	exists x. exists y. (Deer(x) & Fence(y) & JumpsOver(x, y))			A deer isn't jumping over the fence	all x. (Deer(x) -> not JumpingOverFence(x))	c	[WinError 193] %1 is not a valid Win32 application
65	People are walking inside a building that has many murals on it	all x.all y. (Person(x) & Building(y) & WalkingInside(x, y) -> HasManyMurals(y))			People are walking outside a building that has many murals on it	all x.all y. (Person(x) & Building(y) & WalkingOutside(x, y) & HasManyMurals(y) -> WalkingOutsideMuralBuilding(x, y))	n	[WinError 193] %1 is not a valid Win32 application
66	Several people are in front of a colorful building	exists x. exists y. exists z. (Person(x) & Person(y) & Person(z) & Building(b) & Colorful(b) & InFrontOf(x, y, z, b))			Nobody is in front of the colorful building	not exists x. (Person(x) & InFrontOf(x, ColorfulBuilding))	c	[WinError 193] %1 is not a valid Win32 application
67	People are walking outside a building that has many murals on it	all x.all y. (Person(x) & Building(y) & WalkingOutside(x, y) & HasManyMurals(y) -> WalkingOutsideMuralBuilding(x, y))			Nobody is in front of the colorful building	not exists x. (Person(x) & InFrontOf(x, ColorfulBuilding))	n	[WinError 193] %1 is not a valid Win32 application
68	People are walking outside the building that has several murals on it	all x.all y. (Person(x) & Building(y) & Outside(x, y) & HasMurals(y) -> Walking(x, y))			Several people are in front of a colorful building	exists x. exists y. exists z. (Person(x) & Person(y) & Person(z) & Building(b) & Colorful(b) & InFrontOf(x, y, z, b))	e	[WinError 193] %1 is not a valid Win32 application
69	A family is watching a little boy who is hitting a baseball	exists x. exists y. exists z. (Family(x) & LittleBoy(y) & Baseball(z) & Watching(x, y) & Hitting(y, z))			A family is watching a little boy who is missing a baseball	all x.all y. (Family(x) & LittleBoy(y) & MissingBaseball(y) -> Watching(x, y))	n	[WinError 193] %1 is not a valid Win32 application
70	A child is hitting a baseball	exists x. exists y. (Child(x) & Baseball(y) & Hitting(x, y))			A family is watching a little boy who is missing a baseball	all x.all y. (Family(x) & LittleBoy(y) & MissingBaseball(y) -> Watching(x, y))	n	[WinError 193] %1 is not a valid Win32 application
71	A child is missing a baseball	exists x. (Child(x) & MissingBaseball(x))			A family is watching a little boy who is hitting a baseball	exists x. exists y. exists z. (Family(x) & LittleBoy(y) & Baseball(z) & Watching(x, y) & Hitting(y, z))	n	[WinError 193] %1 is not a valid Win32 application
72	A purple crowd of people is eating on various red lit restaurant tables	all x.all y.all z. (PurpleCrowd(x) & RedLitRestaurantTable(y) & Person(z) -> EatingOn(x, y, z))			Various people are eating at red tables in a crowded restaurant with purple lights	exists x. exists y. exists z. (Person(x) & Person(y) & Person(z) & RedTable(x) & RedTable(y) & RedTable(z) & CrowdedRestaurant(x) & CrowdedRestaurant(y) & CrowdedRestaurant(z) & PurpleLights(x) & PurpleLights(y) & PurpleLights(z))	n	[WinError 193] %1 is not a valid Win32 application
73	A large group of Asian people is eating at a restaurant	exists x. exists y. (AsianPerson(x) & Group(x) & Restaurant(y) & EatingAt(x, y))			Various customers are eating in a crowded restaurant with purple lights	exists x. exists y. (Customer(x) & Restaurant(y) & Crowded(y) & PurpleLights(y) & Eating(x, y))	n	[WinError 193] %1 is not a valid Win32 application
74	A purple crowd of people is eating on various red lit restaurant tables	all x.all y.all z. (PurpleCrowd(x) & RedLitRestaurantTable(y) & Person(z) -> EatingOn(x, y, z))			A large group of Asian people is eating at a restaurant	exists x. exists y. (AsianPerson(x) & Group(x) & Restaurant(y) & EatingAt(x, y))	n	[WinError 193] %1 is not a valid Win32 application
75	Various people are eating at red tables in a crowded restaurant with purple lights	exists x. exists y. exists z. (Person(x) & Person(y) & Person(z) & RedTable(x) & RedTable(y) & RedTable(z) & CrowdedRestaurant(x) & CrowdedRestaurant(y) & CrowdedRestaurant(z) & PurpleLights(x) & PurpleLights(y) & PurpleLights(z))			A small group of people is waiting to eat in a restaurant	exists x.exists y. (SmallGroup(x) & Person(y) & WaitingToEat(y, x))	n	[WinError 193] %1 is not a valid Win32 application
76	A motorcycle rider is standing up on the seat of a white motorcycle	all x.all y. (MotorcycleRider(x) & Motorcycle(y) & White(y) -> StandingUpOnSeat(x, y))			No motorcycle rider is standing up on the seat of a motorcycle	all x.all y. (MotorcycleRider(x) & Motorcycle(y) -> not StandingUpOnSeat(x, y))	c	[WinError 193] %1 is not a valid Win32 application
77	Nobody is on a motorcycle and is standing on the seat	not exists x. (Motorcycle(x) & On(x)) & exists y. (StandingOnSeat(y))			Someone is on a black and white motorcycle and is standing on the seat	exists x. (Motorcycle(x) & BlackAndWhite(x) & StandingOnSeat(x))	c	[WinError 193] %1 is not a valid Win32 application
78	A motorcyclist is riding a motorbike dangerously along a roadway	all x.all y.all z. (Motorcyclist(x) & Motorbike(y) & Roadway(z) -> RidesDangerously(x, y, z))			A motorcyclist is riding a motorbike along a roadway	all x.all y.all z. (Motorcyclist(x) & Motorbike(y) & Roadway(z) -> Riding(x, y, z))	e	[WinError 193] %1 is not a valid Win32 application
79	There is no motorcyclist riding a motorbike along a roadway	not exists x. (Motorcyclist(x) & RidingMotorbike(x) & AlongRoadway(x))			A motorcyclist is riding a motorbike along a roadway	all x.all y.all z. (Motorcyclist(x) & Motorbike(y) & Roadway(z) -> Riding(x, y, z))	c	[WinError 193] %1 is not a valid Win32 application
80	A man with a helmet painted red is riding a blue motorcycle down the road	all x.all y.all z. (Man(x) & Helmet(y) & Red(y) & Motorcycle(z) & Blue(z) & Riding(x, z) -> PaintedRed(y))			A motorcyclist with a red helmet is riding a blue motorcycle down the road	all x.all y.all z. (Motorcyclist(x) & RedHelmet(x) & Motorcycle(y) & Blue(y) & Road(z) -> Riding(x, y, z))	e	[WinError 193] %1 is not a valid Win32 application
81	A motorcyclist without a helmet is waiting on a blue motorcycle near the road	all x.all y.all z. (Motorcyclist(x) & Motorcycle(y) & Road(z) & not WearsHelmet(x) & Owns(x, y) & Near(x, z) -> Waiting(x, y))			A motorcyclist is riding a motorbike along a roadway	all x.all y.all z. (Motorcyclist(x) & Motorbike(y) & Roadway(z) -> Riding(x, y, z))	n	[WinError 193] %1 is not a valid Win32 application
