,p_nl,h_nl,p_fol,h_fol,label,e_pred,c_pred
10,A girl in white is dancing,The blond girl is dancing in front of the sound equipment,all x. (Girl(x) & WearingWhite(x) -> Dancing(x)),DancingInFrontOfSoundEquipment(blondGirl),n,False,False
11,The children of a family are playing and waiting,An Asian man is dancing and three kids are looking,"all x.all y. (Family(x) & Child(y, x) -> (Plays(y) & Waits(y)))","exists x. exists y. exists z. (AsianMan(x) & Dancing(x) & Kid(y) & Kid(z) & LookingAt(y, x) & LookingAt(z, x))",n,False,False
12,A hiker is on top of the mountain and is doing a joyful dance,A hiker is on top of the mountain and is dancing,all x. (Hiker(x) -> (OnTopOfMountain(x) & JoyfulDance(x))),exists x. (Hiker(x) & OnTopOfMountain(x) & Dancing(x)),e,False,False
13,A boy is standing outside the water,The boy is wading through the blue ocean,exists x. (Boy(x) & StandingOutsideWater(x)),"Boy(x) & Wading(x) & BlueOcean(y) & Through(x, y)",n,False,False
14,A bald person is playing a guitar,A person has blonde and flyaway hair and is playing a guitar,"all x. (Bald(x) -> exists y. (Guitar(y) & Playing(x, y)))",exists x. (Person(x) & BlondeHair(x) & FlyawayHair(x) & PlayingGuitar(x)),n,False,False
15,"An old, topless woman is covered in paint","A young, topless woman is covered in paint",exists x. (Woman(x) & Old(x) & Topless(x) & CoveredInPaint(x)),all x. (Young(x) & Topless(x) -> CoveredInPaint(x)),n,False,False
16,A group of children in uniforms is standing at a gate and there is no one kissing the mother,A crowd of people is near the water,"all x.all y.all z. (GroupOfChildren(x) & Uniforms(y) & Gate(z) -> (StandingAt(x, z) & not KissingMother(x)))","exists x. (Crowd(x) & Near(x, Water))",n,False,False
17,A brown and white dog is running through the tall grass,A brown and white dog is moving through the wild grass,"exists x. (Dog(x) & Brown(x) & White(x) & Running(x) & Through(x, tallGrass))",all x. (Dog(x) & Brown(x) & White(x) -> MovingThroughWildGrass(x)),n,False,False
18,A white and tan dog is running through the tall and green grass,A white and tan dog is running through a field,"all x. (Dog(x) & White(x) & Tan(x) -> exists y. (TallGrass(y) & Green(y) & RunningThrough(x, y)))","all x. (Dog(x) & White(x) & Tan(x) -> exists y. (Field(y) & RunningThrough(x, y)))",e,False,False
19,A man is sitting near a bike and is writing a note,A man is standing near a bike and is writing on a piece paper,"exists x. exists y. exists z. (Man(x) & Bike(y) & Note(z) & SittingNear(x, y) & Writing(x, z))","exists x. exists y. exists z. (Man(x) & Bike(y) & Paper(z) & StandingNear(x, y) & WritingOn(x, z))",n,False,False
20,A group of scouts are hiking through the grass,A group of explorers are walking through the grass,"all x.all y. (ScoutGroup(x) & Grass(y) -> HikingThrough(x, y))","exists x. exists y. (Explorer(x) & Grass(y) & WalkingThrough(x, y))",n,False,False
21,Two men are taking a break from a trip on a snowy road,Two men with cars are on the side of a snowy road,"exists x. exists y. (Man(x) & Man(y) & TakingBreak(x, y) & Trip(x, y) & SnowyRoad(x, y))","exists x. exists y. (Man(x) & Man(y) & Car(x) & Car(y) & OnSideOfRoad(x, y) & Snowy(x, y))",n,False,False
22,A lady is surfing and riding a wave,A blond girl is looking at the waves,all x. (Lady(x) -> (Surfing(x) & RidingWave(x))),exists x. (Girl(x) & Blond(x) & LookingAtWaves(x)),n,False,False
23,"The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike",Pink bellbottoms and a pink scarf aren't to be worn by women with silver pants or bike riding people,all x. (Woman(x) & WearingSilverPants(x) & WearingPinkBellbottoms(x) & WearingPinkScarf(x) -> RidingBike(x)),all x. all y. (PinkBellbottoms(x) & PinkScarf(y) -> not (Woman(x) & SilverPants(x) & BikeRiding(x))),n,False,False
24,"The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike",A pedestrian woman is building pink bicycles for boa wearing riders,all x. (Woman(x) & WearingSilverPants(x) & WearingPinkBellbottoms(x) & WearingPinkScarf(x) -> RidingBike(x)),"all x.all y.all z. (Pedestrian(x) & Woman(x) & PinkBicycle(y) & BoaWearingRider(z) -> BuildsFor(x, y, z))",n,False,False
25,A biker is wearing gear which is black,A biker wearing black is breaking the gears,all x. (Biker(x) -> WearingBlackGear(x)),all x. (Biker(x) & WearingBlack(x) -> BreakingGears(x)),n,False,False
26,"A woman is taking off a cloak, which is very large, and revealing an extravagant dress","A woman is putting on a cloak, which is very large, and concealing an extravagant dress","all x.all y. (Woman(x) & Cloak(y) & VeryLarge(y) -> (TakesOff(x, y) & RevealsExtravagantDress(x)))","all x.all y. (Woman(x) & Cloak(y) & Wears(x, y) -> (VeryLarge(y) & ConcealsExtravagantDress(x)))",c,False,False
27,A boy is climbing up a wall artificially built for climbing and is attached to a rope,"A little boy, who looks fearful, is on a climbing wall.","all x.all y.all z. (Boy(x) & Wall(y) & Rope(z) & ClimbsUp(x, y) & AttachedTo(x, z) -> ArtificialClimbing(x, y))",all x. (LittleBoy(x) & LooksFearful(x) -> OnClimbingWall(x)),n,False,False
28,A man isn't tossing a kid into the swimming pool that is near the ocean,The man is tossing a kid into the swimming pool that is near the ocean,"not exists x. (Man(x) & Tossing(x, y) & Kid(y) & Near(y, ocean) & Near(y, swimmingPool))","exists x. exists y. exists z. (Man(x) & Kid(y) & SwimmingPool(z) & TossesInto(x, y, z) & NearOcean(z))",c,False,False
29,One man is climbing a cliff with a rope,A person with pink climbing gear roped the rock,"exists x. exists y. exists z. (Man(x) & Cliff(y) & Rope(z) & Climbing(x, y, z))",all x. (Person(x) & PinkClimbingGear(x) -> RopeRock(x)),n,False,False
30,"A person is climbing a rock with a rope, which is pink",One man is climbing a cliff with a rope,"all x.all y.all z. (Person(x) & Rock(y) & Rope(z) & Climbing(x, y, z) -> (Pink(y)))","exists x. exists y. exists z. (Man(x) & Cliff(y) & Rope(z) & Climbing(x, y, z))",n,False,False
31,One white dog is staring at the black street,Two dogs of different breeds are looking at each other across a street,"exists x. (WhiteDog(x) & StaringAt(x, BlackStreet))","exists x. exists y. (Dog(x) & Dog(y) & BreedDifferent(x, y) & LookingAtEachOther(x, y))",n,False,False
32,A dog which is furry and black is in a back yard and is carrying a basket in its mouth,"A dog next to a tree, which is probably a pine, is biting a bucket",all x. (Dog(x) & Furry(x) & Black(x) -> (InBackYard(x) & CarryingBasket(x))),"all x.all y.all z. (Dog(x) & Tree(y) & Bucket(z) & NextTo(x, y) & ProbablyPine(y) -> Biting(x, z))",n,False,False
33,A few men in a competition are running outside,A few men in a competition are running indoors,"exists x.exists y.exists z. (Man(x) & Man(y) & Man(z) & Competition(x) & Competition(y) & Competition(z) & not (Competition(x) & Competition(y) & Competition(z)) & exists w. (Outside(w) & Running(x, w) & Running(y, w) & Running(z, w)))",exists x.exists y.exists z. (Man(x) & Man(y) & Man(z) & Competition(x) & Competition(y) & Competition(z) & not (Indoors(x) & Indoors(y) & Indoors(z))),c,True,True
34,A few men in a competition are running outside,A few men are running competitions outside,"exists x.exists y.exists z. (Man(x) & Man(y) & Man(z) & Competition(x) & Competition(y) & Competition(z) & not (Competition(x) & Competition(y) & Competition(z)) & exists w. (Outside(w) & Running(x, w) & Running(y, w) & Running(z, w)))","exists x.exists y. (Man(x) & Man(y) & RunningCompetition(x, y) & Outside(y))",n,True,True
35,The kid is happily sliding in the snow,A boy on a hill covered in snow is wearing a red jacket and a black hat and is sliding on his knees,all x. (Kid(x) & SlidingInSnow(x) -> HappilySliding(x)),all x. (Boy(x) & OnHill(x) & CoveredInSnow(x) -> (WearsRedJacket(x) & WearsBlackHat(x) & SlidesOnKnees(x))),n,False,False
36,"A woman, who is old, is near a white dog",A woman and a dog are sitting on a tree stump,all x. (Woman(x) & Old(x) -> NearWhiteDog(x)),"exists x. exists y. exists z. (Woman(x) & Dog(y) & TreeStump(z) & SittingOn(x, z) & SittingOn(y, z))",n,False,False
37,A group of people is equipped with protective gear,A group of people is equipped with gear used for protection,all x. (GroupOfPeople(x) -> EquippedWithProtectiveGear(x)),"all x.all y. (Group(x) & Person(y) & UsesGear(y) -> Protection(x, y))",e,False,False
38,One white dog and one black one are running side by side on the grass,"A dog, which has a black coat, and a white dog are running on the grass",exists x.exists y. (WhiteDog(x) & BlackDog(y) & RunningOnGrass(x) & RunningOnGrass(y)),"all x. all y. (Dog(x) & Dog(y) & BlackCoat(x) & WhiteCoat(y) -> RunOnGrass(x, y))",e,False,False
39,Not a lot of people are in an ice skating park,An ice skating rink placed outdoors is full of people,not (exists x. (Person(x) & InIceSkatingPark(x))),all x. (IceSkatingRink(x) & Outdoors(x) -> FullOfPeople(x)),n,False,False
40,The girl in the blue and white uniform is cheering,The girl is cheering the man in the blue and white uniform,"Cheering(girl, blueAndWhiteUniform)","Cheer(girl, man, blueAndWhiteUniform)",n,False,False
41,A woman is being kissed by a man,There is no woman being kissed by a man,"exists x. exists y. (Woman(x) & Man(y) & Kissing(y, x))","not exists x. (Woman(x) & Man(y) & Kissing(y, x))",c,False,False
42,The girl in the red shirt is blowing a bubble ,The young girl is blowing a bubble that is huge,all x. (Girl(x) & WearsRedShirt(x) -> BlowingBubble(x)),"all x. all y. (YoungGirl(x) & Bubble(y) & Blowing(x, y) -> Huge(y))",n,False,False
43,"Some corndogs are being eaten by two toddlers who are in a wagon, which is really small","Two toddlers are eating corndogs in a wagon, which is really small","exists x.exists y.exists z. (Corndog(x) & Toddler(y) & Toddler(z) & Eating(y, x) & Eating(z, x) & Wagon(w) & Small(w))","exists x. exists y. exists z. (Toddler(x) & Toddler(y) & Corndog(z) & Eating(x, z) & Eating(y, z) & Wagon(w) & Small(w))",e,True,False
44,A man is getting on a horse on a track laid in the wild,A horse is tossing the cowboy wearing pants of blue and red color,"exists x. exists y. exists z. (Man(x) & Horse(y) & Track(z) & LaidInWild(z) & GetsOn(x, y, z))","all x.all y. (Horse(x) & Cowboy(y) -> Tossing(x, y, BluePants, RedPants))",n,False,False
45,An adult is in the amphitheater and is talking to a boy,There is no adult in the amphitheater talking to a boy,"exists x. exists y. (Adult(x) & Amphitheater(y) & In(x, y) & TalkingTo(x, y))",not exists x. (Adult(x) & InAmphitheater(x) & TalkingToBoy(x)),c,False,False
46,A talk about an adult and a boy is given in the amphitheater,An adult is in the amphitheater and is talking to a boy,"all x.all y.all z. (Adult(x) & Boy(y) & Amphitheater(z) -> TalkGiven(x, y, z))","exists x. exists y. (Adult(x) & Amphitheater(y) & In(x, y) & TalkingTo(x, y))",n,False,False
47,The snowboarder isn't leaping over white snow,A person who is practicing snowboarding jumps into the air,not exists x. (Snowboarder(x) & LeapingOverWhiteSnow(x)),all x. (PracticesSnowboarding(x) -> JumpsIntoAir(x)),n,False,False
48,A woman is riding a horse,A man is opening a small package that contains headphones,"exists x. exists y. (Woman(x) & Horse(y) & Riding(x, y))","exists x. exists y. (Man(x) & SmallPackage(y) & ContainsHeadphones(y) & Opens(x, y))",n,False,False
49,A fish is hunting for a turtle in the sea,The turtle is following the fish,"exists x. exists y. (Fish(x) & Turtle(y) & Hunting(x, y) & InSea(x, y))","exists x. exists y. (Turtle(x) & Fish(y) & Follows(x, y))",n,False,False
50,A potato is being sliced by a woman,A woman is slicing a carrot,"exists x. exists y. (Potato(x) & Woman(y) & Slicing(y, x))","exists x. exists y. (Woman(x) & Carrot(y) & Slicing(x, y))",n,False,False
51,A woman is combing her hair,A woman is arranging her hair,exists x. (Woman(x) & CombingHair(x)),exists x. (Woman(x) & ArrangingHair(x)),n,False,False
52,A woman is combing her hair,There is no woman combing her hair,exists x. (Woman(x) & CombingHair(x)),not exists x. (Woman(x) & CombingHair(x)),c,False,True
53,A man and a woman are hiking through a wooded area,A man and a woman are walking together through the woods,"exists x. exists y. (Man(x) & Woman(y) & Hiking(x, y) & WoodedArea(x, y))","exists x. exists y. (Man(x) & Woman(y) & WalkingTogether(x, y) & InWoods(x, y))",e,False,False
54,A man and a woman are walking together through the woods,A man and a woman are walking through a wooded area,"exists x. exists y. (Man(x) & Woman(y) & WalkingTogether(x, y) & InWoods(x, y))","exists x. exists y. (Man(x) & Woman(y) & Walking(x, y) & WoodedArea(x, y))",e,False,False
55,A man is slicing a bun,A man is slicing a tomato,"exists x. exists y. (Man(x) & Bun(y) & Slicing(x, y))","exists x. exists y. (Man(x) & Tomato(y) & Slicing(x, y))",n,False,False
56,Some women are dancing and singing ,A woman is dancing and singing in the rain,exists x. (Woman(x) & Dancing(x) & Singing(x)),exists x. (Woman(x) & Dancing(x) & Singing(x) & InRain(x)),n,False,False
57,A band is playing on a stage,A band is playing onstage,"all x.all y. (Band(x) & Stage(y) -> PlayingOn(x, y))",exists x. (Band(x) & PlayingOnstage(x)),e,False,False
58,A man is playing flute,A man is playing a game with a ball,exists x. (Man(x) & PlayingFlute(x)),"exists x. exists y. exists z. (Man(x) & Ball(y) & Game(z) & Plays(x, z, y))",n,False,False
59,The woman is measuring the other woman,A woman is being measured by another woman,"exists x. exists y. (Woman(x) & Woman(y) & Measuring(x, y))","exists x. exists y. (Woman(x) & Woman(y) & Measuring(x, y))",e,True,False
60,A person is standing near a motorcycle,A person is chopping an onion,"exists x. exists y. (Person(x) & Motorcycle(y) & StandingNear(x, y))","exists x. (Person(x) & Chopping(x, Onion))",n,False,False
61,A man is screaming,A man is scared,exists x. (Man(x) & Screaming(x)),exists x. (Man(x) & Scared(x)),n,False,False
62,A sad man is crying,A man is screaming,all x. (Man(x) & Sad(x) -> Crying(x)),exists x. (Man(x) & Screaming(x)),n,False,False
63,A woman is cutting shrimps,A man is chopping butter into a small container,"exists x. (Woman(x) & Cutting(x, shrimps))","exists x. exists y. exists z. (Man(x) & Butter(y) & SmallContainer(z) & Chopping(x, y, z))",n,False,False
64,Men are sawing logs,Men are cutting wood,all x. (Man(x) -> SawingLogs(x)),all x. (Man(x) -> CuttingWood(x)),e,False,False
65,A man is talking on the radio,A man is spitting,exists x. (Man(x) & TalkingOnRadio(x)),exists x. (Man(x) & Spitting(x)),n,False,False
66,"Three young men are running, jumping and kicking near a vending machine","There is no man running, jumping and kicking near a vending machine",exists x. exists y. exists z. (YoungMan(x) & YoungMan(y) & YoungMan(z) & Running(x) & Jumping(x) & Kicking(x) & NearVendingMachine(x)),"exists x. (Man(x) & exists y. (VendingMachine(y) & Near(x, y) & Running(x) & Jumping(x) & Kicking(x)))",c,False,False
67,Three men are jumping off a wall,"Three young men are furiously running, jumping and kicking near a vending machine",exists x. exists y. exists z. (Man(x) & Man(y) & Man(z) & JumpingOffWall(x) & JumpingOffWall(y) & JumpingOffWall(z)),exists x. exists y. exists z. (YoungMan(x) & YoungMan(y) & YoungMan(z) & (FuriouslyRunning(x) & FuriouslyRunning(y) & FuriouslyRunning(z) & NearVendingMachine(x) & NearVendingMachine(y) & NearVendingMachine(z))),n,False,False
68,The man is not stirring the sauce for the chicken,The man is stirring the sauce for the chicken,"not exists x. (Man(x) & StirringSauce(x, chicken))","all x.all y. (Man(x) & Sauce(y) & Chicken(z) -> Stirring(x, y, z))",c,False,False
69,A man is playing an electric guitar,A man is playing guitar,"exists x. (Man(x) & Playing(x, ElectricGuitar))",exists x. (Man(x) & PlayingGuitar(x)),e,False,False
70,A man is playing a guitar,A man is strumming a guitar,exists x. (Man(x) & PlayingGuitar(x)),exists x. (Man(x) & StrummingGuitar(x)),e,False,False
71,Three boys in karate costumes aren't fighting,Three boys in karate costumes are fighting,"not exists x.exists y.exists z. (Boy(x) & Boy(y) & Boy(z) & KarateCostume(x) & KarateCostume(y) & KarateCostume(z) & Fighting(x, y, z))","exists x. exists y. exists z. (Boy(x) & Boy(y) & Boy(z) & KarateCostume(x) & KarateCostume(y) & KarateCostume(z) & Fighting(x, y, z))",c,False,True
72,Three men are practicing karate outdoors,Three boys in karate costumes are fighting,exists x. exists y. exists z. (Man(x) & Man(y) & Man(z) & PracticingKarate(x) & PracticingKarate(y) & PracticingKarate(z) & Outdoors(x) & Outdoors(y) & Outdoors(z)),"exists x. exists y. exists z. (Boy(x) & Boy(y) & Boy(z) & KarateCostume(x) & KarateCostume(y) & KarateCostume(z) & Fighting(x, y, z))",n,False,False
73,A woman is planting some flowers,A woman is cutting broccoli,exists x. (Woman(x) & PlantingFlowers(x)),"exists x. (Woman(x) & Cutting(x, Broccoli))",n,False,False
74,A hole is being burrowed by the badger,A badger is shrewdly digging the earth,"exists x. exists y. (Hole(x) & Badger(y) & Burrowing(y, x))",all x. (Badger(x) -> ShrewdlyDiggingEarth(x)),e,False,False
75,A snake is being fed a mouse by a man,No snake is being fed a mouse by a man,"exists x. exists y. exists z. (Snake(x) & Mouse(y) & Man(z) & Feeds(z, x, y))","not exists x. (Snake(x) & Mouse(y) & Man(z) & Feeds(z, x, y))",c,False,False
76,Some ingredients are being mixed in a bowl by a person,Some ingredients are being separated in a bowl by a person,"exists x. exists y. exists z. (Ingredient(x) & Bowl(y) & Person(z) & MixingIn(x, y, z))","exists x.exists y.exists z. (Ingredient(x) & Bowl(y) & Person(z) & SeparatesIn(x, y, z))",n,False,False
77,A boat is sailing peacefully over the water,The guitar is being played by the man,all x. (Boat(x) -> SailingPeacefullyOverWater(x)),"exists x. exists y. (Guitar(x) & Man(y) & Playing(y, x))",n,False,False
78,The milk is being drunk by a cat,The cat is drinking some milk,"exists x.exists y. (Milk(x) & Cat(y) & Drinking(y, x))","exists x. (Cat(x) & Drinking(x, milk))",e,False,False
79,A man is emptying a container made of plastic completely,A man is emptying a container made of plastic,"all x. all y. (Man(x) & Container(y) & MadeOfPlastic(y) -> Emptying(x, y))","exists x. exists y. (Man(x) & Container(y) & MadeOfPlastic(y) & Emptying(x, y))",e,False,False
80,A man is emptying a container made of plastic,A man is carelessly holding a frog,"exists x. exists y. (Man(x) & Container(y) & MadeOfPlastic(y) & Emptying(x, y))","exists x. exists y. (Man(x) & Frog(y) & CarelesslyHolding(x, y))",n,False,False
81,A flute is being played in a lovely way by a girl,A flute is being played by a girl,"exists x.exists y. (Flute(x) & Girl(y) & Playing(y, x) & Lovely(y))","exists x. exists y. (Flute(x) & Girl(y) & Playing(y, x))",e,True,False
82,The adult is playing the guitar loudly,A flute is being played by a man,all x. (Adult(x) & PlayingGuitar(x) -> PlayingGuitarLoudly(x)),"exists x. exists y. (Flute(x) & Man(y) & Playing(y, x))",n,False,False
83,A man is playing the guitar loudly,A flute isn't being played by a man,exists x. (Man(x) & PlayingGuitar(x) & PlayingGuitarLoudly(x)),not exists x. (Man(x) & PlaysFlute(x)),n,False,False
84,"The girl, who is little, is carefully combing her hair into a pony tail","The girl, who is little, is combing her hair into a pony tail.",all x. (Girl(x) & Little(x) -> CarefullyCombingHairIntoPonyTail(x)),all x. (Girl(x) & Little(x) -> CombingPonyTail(x)),e,False,False
85,One man is sitting on the chair,"The girl, who is little, is ruffling her hair","exists x. exists y. (Man(x) & Chair(y) & SittingOn(x, y))",all x. (Girl(x) & Little(x) -> RufflingHair(x)),n,False,False
86,The microphone in front of the talking parrot is being muted,The parrot is talking into the microphone,"all x.all y. (Microphone(x) & Parrot(y) & InFrontOf(x, y) -> Muted(x))","exists x. exists y. (Parrot(x) & Microphone(y) & TalkingInto(x, y))",n,False,False
87,The kittens on the trays are being eaten as food for an advertisement,The food on the trays is being eaten by the kittens,"all x.all y.all z. (Kitten(x) & Tray(y) & Advertisement(z) -> EatenAsFood(x, y, z))","all x.all y.all z. (Food(x) & Tray(y) & Kitten(z) -> Eats(z, x, y))",n,False,False
88,The food on the trays is being eaten by the kittens,A few kittens are eating,"all x.all y.all z. (Food(x) & Tray(y) & Kitten(z) -> Eats(z, x, y))",exists x.exists y.exists z. (Kitten(x) & Eating(x) & Eating(y) & Eating(z) & not (Eating(x) & Eating(y) & Eating(z))),e,False,True
89,One person is playing the guitar and singing,A person is playing a guitar and singing,exists x. (Person(x) & PlayingGuitar(x) & Singing(x)),exists x. (Person(x) & PlayingGuitar(x) & Singing(x)),e,True,False
90,The horse is being ridden by a man,A man is riding the horse,"exists x.exists y. (Horse(x) & Man(y) & Riding(y, x))","exists x. exists y. (Man(x) & Horse(y) & Riding(x, y))",e,True,False
91,A man is dangerously throwing knives at a tree,Some dangerous men with knives are throwing a bike against a tree,"exists x. exists y. exists z. (Man(x) & Knife(y) & Tree(z) & ThrowsAt(x, y, z))",exists x. (DangerousMan(x) & Knife(x) & ThrowingBikeAgainstTree(x)),n,False,False
92,A lady is cutting up some meat precisely,Some meat is being cut into pieces by a woman,"all x. all y. (Lady(x) & Meat(y) -> CuttingUp(x, y))","exists x.exists y. (Meat(x) & Woman(y) & CutsIntoPieces(y, x))",e,False,False
93,The man is denying an interview,The man is granting an interview,exists x. (Man(x) & DenyingInterview(x)),GrantInterview(man),c,False,False
94,The man is granting an interview,A man's white car is being driven away,GrantInterview(man),all x. (Man(x) & WhiteCar(x) -> BeingDrivenAway(x)),n,False,False
95,A small boy is scolding a dog,A small boy is playing with a dog,"exists x. exists y. (SmallBoy(x) & Dog(y) & Scolding(x, y))","exists x.exists y. (SmallBoy(x) & Dog(y) & PlayingWith(x, y))",n,False,False
96,The picture of a camera set up is being taken by a man on the beach at the sunset,A man is taking pictures of a lake,"all x.all y.all z. (Camera(x) & Picture(y) & Man(z) & SetUp(x) & OnBeach(z) & Sunset(y) -> Taking(z, y))","exists x. exists y. (Man(x) & Lake(y) & TakingPictures(x, y))",n,False,False
97,A woman is sewing with a machine,A woman is using a machine made for sewing,exists x. (Woman(x) & SewingMachine(x)),"all x.all y. (Woman(x) & Machine(y) & MadeForSewing(y) -> Using(x, y))",e,False,False
98,Someone is falling off a horse,The man is not knocked off of a horse,exists x. (FallingOffHorse(x)),"all x. all y. (Man(x) & Horse(y) -> not KnockedOff(x, y))",n,False,False
99,A woman is tapping her fingers on a table,A woman is resting her fingers on a table,exists x. (Woman(x) & TappingFingers(x)),"exists x. exists y. (Woman(x) & Table(y) & RestingFingersOn(x, y))",n,False,False
100,A woman is tapping her fingers,A woman is resting her fingers on a table,exists x. (Woman(x) & TappingFingers(x)),"exists x. exists y. (Woman(x) & Table(y) & RestingFingersOn(x, y))",n,False,False
101,The cat is playing passionately with a watermelon,The cat is playing with a watermelon,"exists x. exists y. (Cat(x) & Watermelon(y) & Playing(x, y) & Passionate(x))","exists x. exists y. (Cat(x) & Watermelon(y) & PlayingWith(x, y))",e,False,False
102,The cat is playing passionately with a watermelon,A cat is playing with a watermelon,"exists x. exists y. (Cat(x) & Watermelon(y) & Playing(x, y) & Passionate(x))","exists x. exists y. (Cat(x) & Watermelon(y) & PlayingWith(x, y))",e,False,False
103,A person is burning some cameras with a blow torch,The tall person is setting fire to the cameras,"exists x. exists y. exists z. (Person(x) & Camera(y) & BlowTorch(z) & BurnsWith(x, y, z))",all x. (TallPerson(x) -> SetsFireToCameras(x)),n,False,False
104,Some cameras are being burned by a person with a blow torch,The person is setting fire to the cameras,"exists x.exists y.exists z. (Camera(x) & Person(y) & BlowTorch(z) & Burns(y, x, z))","all x. (Person(x) & SetsFireTo(x, cameras))",e,False,False
105,A person by some cameras is blowing on a burning torch,The person is setting fire to the cameras,"all x. all y. all z. (Person(x) & Camera(y) & Torch(z) & BlowingOn(x, z) -> Burning(z))","all x. (Person(x) & SetsFireTo(x, cameras))",n,False,False
106,A person is cutting an onion into pieces,A person is slicing a carrot into pieces,"exists x. (Person(x) & Cutting(x, Onion) & IntoPieces(x))","exists x. exists y. (Person(x) & Carrot(y) & Slicing(x, y))",n,False,False
107,The man is not slicing the potato,The man is slicing a potato,"not exists x. (Man(x) & Slicing(x, potato))","exists x. exists y. (Man(x) & Potato(y) & Slicing(x, y))",c,False,False
108,Someone is cutting a tomato,The woman is holding a whole tomato,"exists x. (Person(x) & Cutting(x, tomato))","exists x. (Woman(x) & exists y. (Tomato(y) & Whole(y) & Holds(x, y)))",n,False,False
109,The lady is slicing a tomato,There is no one cutting a tomato,"exists x. exists y. (Lady(x) & Tomato(y) & Slicing(x, y))",not exists x. (Cutting(x) & Tomato(x)),c,False,False
110,The lady is slicing a tomato,Someone is cutting a tomato,"exists x. exists y. (Lady(x) & Tomato(y) & Slicing(x, y))","exists x. (Person(x) & Cutting(x, tomato))",e,False,False
111,A man is preparing some dish,An onion is being sliced with a knife by the woman,exists x. (Man(x) & PreparingDish(x)),"exists x. exists y. exists z. (Onion(x) & Knife(y) & Woman(z) & Slicing(z, x, y))",n,False,False
112,One man is running down the road,A man is running,exists x. (Man(x) & Running(x)),exists x. (Man(x) & Running(x)),e,True,False
113,Some people are singing,A group of people is singing,exists x. (Person(x) & Singing(x)),exists x. (Group(x) & People(x) & Singing(x)),e,False,False
114,The man is playing a guitar,A man is playing a trumpet,exists x. (Man(x) & PlayingGuitar(x)),exists x. (Man(x) & PlayingTrumpet(x)),n,False,False
115,A few people are floating on a raft,People are riding and paddling a raft,"exists x.exists y.exists z. (Person(x) & Person(y) & Raft(z) & FloatingOn(x, z) & FloatingOn(y, z))","all x.all y. (Person(x) & Raft(y) -> (Riding(x, y) & Paddling(x, y)))",n,False,False
116,People are riding and paddling a raft,Four people are floating on a raft,"all x.all y. (Person(x) & Raft(y) -> (Riding(x, y) & Paddling(x, y)))","exists x. exists y. exists z. exists w. (Person(x) & Person(y) & Person(z) & Person(w) & FloatingOnRaft(x, y, z, w))",n,False,False
